measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1229.941,12424.0,12424.0,,,
2003-02-01,1079.452,10904.0,10904.0,,,
2003-03-01,1147.2820000000002,11589.0,11589.0,,,
2003-04-01,932.3720000000001,9418.0,9418.0,,,
2003-05-01,959.855,9696.0,9696.0,,,
2003-06-01,1040.463,10510.0,10510.0,,,
2003-07-01,1191.102,12032.0,12032.0,,,
2003-08-01,1131.87,11434.0,11434.0,,,
2003-09-01,1065.182,10760.0,10760.0,,,
2003-10-01,1070.688,10816.0,10816.0,,,
2003-11-01,1127.2,11386.0,11386.0,,,
2003-12-01,1162.592,11744.0,11744.0,,,
2004-01-01,,,,1062.15,53928.0,53928.0
2004-02-01,,,,1062.15,53928.0,53928.0
2004-03-01,,,,1062.15,53928.0,53928.0
2004-04-01,,,,1062.15,53928.0,53928.0
2004-05-01,,,,1062.15,53928.0,53928.0
2004-06-01,,,,1062.15,53928.0,53928.0
2004-07-01,,,,1062.15,53928.0,53928.0
2004-08-01,,,,1062.15,53928.0,53928.0
2004-09-01,,,,1062.15,53928.0,53928.0
2004-10-01,,,,1062.15,53928.0,53928.0
2004-11-01,,,,1062.15,53928.0,53928.0
2004-12-01,,,,1062.15,53928.0,53928.0
2005-01-01,881.023,41878.72,41878.72,,,
2005-02-01,781.05,37126.57,37126.57,,,
2005-03-01,932.046,44304.05,44304.05,,,
2005-04-01,955.576,45422.52,45422.52,,,
2005-05-01,775.201,36848.54,36848.54,,,
2005-06-01,1318.846,62690.25,62690.25,,,
2005-07-01,1699.518,80785.21,80785.21,,,
2005-08-01,1817.04,86371.48,86371.48,,,
2005-09-01,1201.988,57135.52,57135.52,,,
2005-10-01,831.238,39512.19,39512.19,,,
