measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,116388.0,116388.0
2003-02-01,0.0,94037.0,94037.0
2003-03-01,0.0,98515.0,98515.0
2003-04-01,0.0,94616.0,94616.0
2003-05-01,0.0,115251.0,115251.0
2003-06-01,0.0,115333.0,115333.0
2003-07-01,0.0,125675.0,125675.0
2003-08-01,0.0,130359.0,130359.0
2003-09-01,0.0,108747.0,108747.0
2003-10-01,0.0,102681.0,102681.0
2003-11-01,0.0,92318.0,92318.0
2003-12-01,0.0,106677.0,106677.0
