measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,7.542000000000001,88.0,88.0,31.626,357.0,357.0
2001-02-01,6.808000000000001,79.0,79.0,28.549000000000003,322.0,322.0
2001-03-01,6.583,77.0,77.0,27.608,312.0,312.0
2001-04-01,6.237,73.0,73.0,26.155,295.0,295.0
2001-05-01,7.423,87.0,87.0,31.13,352.0,352.0
2001-06-01,8.525,100.0,100.0,35.751000000000005,404.0,404.0
2001-07-01,10.621,124.0,124.0,44.542,503.0,503.0
2001-08-01,10.194,119.0,119.0,42.748000000000005,483.0,483.0
2001-09-01,7.893000000000001,92.0,92.0,33.099000000000004,374.0,374.0
2001-10-01,7.381,86.0,86.0,30.952,350.0,350.0
2001-11-01,6.816000000000001,80.0,80.0,28.584,323.0,323.0
2001-12-01,6.977,81.0,81.0,29.258000000000003,330.0,330.0
2002-01-01,20.81,423.0,423.0,0.554,12.0,12.0
2002-02-01,18.465,375.0,375.0,0.49100000000000005,11.0,11.0
2002-03-01,19.878,404.0,404.0,0.529,11.0,11.0
2002-04-01,20.038,407.0,407.0,0.533,11.0,11.0
2002-05-01,21.773,442.0,442.0,0.5790000000000001,12.0,12.0
2002-06-01,24.754,503.0,503.0,0.659,14.0,14.0
2002-07-01,28.187,572.0,572.0,0.75,16.0,16.0
2002-08-01,28.542,580.0,580.0,0.76,16.0,16.0
2002-09-01,23.603,479.0,479.0,0.628,14.0,14.0
2002-10-01,19.524,397.0,397.0,0.52,11.0,11.0
2002-11-01,17.565,357.0,357.0,0.467,10.0,10.0
2002-12-01,19.862000000000002,403.0,403.0,0.529,11.0,11.0
2003-01-01,1.103,12.0,12.0,3.387,40.0,40.0
2003-02-01,0.9830000000000001,11.0,11.0,3.019,36.0,36.0
2003-03-01,0.9820000000000001,11.0,11.0,3.0170000000000003,36.0,36.0
2003-04-01,1.038,12.0,12.0,3.1870000000000003,38.0,38.0
2003-05-01,1.131,13.0,13.0,3.474,41.0,41.0
2003-06-01,1.265,14.0,14.0,3.885,46.0,46.0
2003-07-01,1.649,18.0,18.0,5.066,60.0,60.0
2003-08-01,1.671,19.0,19.0,5.132000000000001,61.0,61.0
2003-09-01,1.111,12.0,12.0,3.414,41.0,41.0
2003-10-01,1.064,12.0,12.0,3.269,39.0,39.0
2003-11-01,0.875,10.0,10.0,2.686,32.0,32.0
2003-12-01,1.1280000000000001,13.0,13.0,3.463,41.0,41.0
2004-01-01,0.0,0.0,0.0,2.333,32.0,32.0
2004-02-01,0.094,1.0,1.0,2.333,32.0,32.0
2004-03-01,0.094,1.0,1.0,2.333,32.0,32.0
2004-04-01,0.0,0.0,0.0,2.333,32.0,32.0
2004-05-01,0.112,2.0,2.0,2.333,32.0,32.0
2004-06-01,0.075,1.0,1.0,2.333,32.0,32.0
2004-07-01,7.506,102.0,102.0,2.333,32.0,32.0
2004-08-01,0.094,1.0,1.0,2.333,32.0,32.0
2004-09-01,0.42700000000000005,6.0,6.0,2.333,32.0,32.0
2004-10-01,0.225,3.0,3.0,2.333,32.0,32.0
2004-11-01,0.131,2.0,2.0,2.333,32.0,32.0
2004-12-01,0.24300000000000002,3.0,3.0,2.333,32.0,32.0
2005-01-01,1.1720000000000002,15.3,15.3,1.589,20.33,20.33
2005-02-01,0.595,7.77,7.77,1.3190000000000002,16.88,16.88
2005-03-01,0.72,9.4,9.4,1.6340000000000001,20.9,20.9
2005-04-01,0.75,9.79,9.79,1.61,20.6,20.6
2005-05-01,0.884,11.54,11.54,1.8980000000000001,24.28,24.28
2005-06-01,0.8,10.45,10.45,2.395,30.64,30.64
2005-07-01,1.282,16.73,16.73,3.0020000000000002,38.4,38.4
2005-08-01,1.4180000000000001,18.51,18.51,3.11,39.78,39.78
2005-09-01,1.409,18.38,18.38,2.366,30.27,30.27
2005-10-01,0.84,10.97,10.97,1.89,24.18,24.18
2005-11-01,0.67,8.74,8.74,1.613,20.63,20.63
2005-12-01,1.459,19.04,19.04,1.574,20.13,20.13
2006-01-01,17.33,205.0,205.0,63.458000000000006,754.0,754.0
2006-02-01,17.149,203.0,203.0,75.287,895.0,895.0
2006-03-01,15.036000000000001,178.0,178.0,85.872,1020.0,1020.0
2006-04-01,19.835,235.0,235.0,96.05,1141.0,1141.0
2006-05-01,17.926000000000002,212.0,212.0,111.25,1322.0,1322.0
2006-06-01,21.439,254.0,254.0,141.763,1684.0,1684.0
2006-07-01,20.798000000000002,246.0,246.0,178.226,2118.0,2118.0
2006-08-01,22.382,265.0,265.0,180.47400000000002,2144.0,2144.0
2006-09-01,15.901000000000002,188.0,188.0,122.795,1459.0,1459.0
2006-10-01,20.466,242.0,242.0,111.18,1321.0,1321.0
2006-11-01,17.864,211.0,211.0,82.568,981.0,981.0
2006-12-01,19.873,235.0,235.0,86.07600000000001,1023.0,1023.0
