measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-06-01,10942.0,131735.0,131735.0,0.0,0.0,0.0,,,
2003-07-01,2552.0,66806.0,66806.0,0.0,0.0,0.0,,,
2003-08-01,20419.0,317147.0,317147.0,0.0,0.0,0.0,,,
2003-09-01,1631.0,24002.0,24002.0,0.0,0.0,0.0,,,
2003-10-01,-647.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,-701.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,3.0,31.0,31.0,0.0,0.0,0.0,,,
2004-01-01,-782.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,-571.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,-449.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,1555.0,21869.0,21869.0,0.0,0.0,0.0,,,
2004-05-01,-508.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,9726.0,127860.0,127860.0,0.0,0.0,0.0,,,
2004-07-01,11922.0,142919.0,142919.0,0.0,0.0,0.0,,,
2004-08-01,9873.0,120592.0,120592.0,0.0,0.0,0.0,,,
2004-09-01,1614.0,27628.0,27628.0,0.0,0.0,0.0,,,
2004-10-01,4334.0,144937.0,144937.0,0.0,0.0,0.0,,,
2004-11-01,33404.0,610522.0,610522.0,0.0,0.0,0.0,,,
