measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2003-01-01,21236.0,359134.0,359134.0,615.0,10395.0,10395.0,5947.0,100572.0,100572.0
2003-02-01,22613.0,395964.0,395964.0,927.0,16224.0,16224.0,4779.0,83691.0,83691.0
2003-03-01,29673.0,510950.0,510950.0,589.0,10137.0,10137.0,6614.0,113883.0,113883.0
2003-04-01,25442.0,437869.0,437869.0,229.0,3933.0,3933.0,9082.0,156312.0,156312.0
2003-05-01,20219.0,356526.0,356526.0,181.0,3193.0,3193.0,11273.0,198775.0,198775.0
2003-06-01,21038.0,379917.0,379917.0,384.0,6932.0,6932.0,6667.0,120392.0,120392.0
2003-07-01,27838.0,524739.0,524739.0,682.0,12857.0,12857.0,7753.0,146146.0,146146.0
2003-08-01,27887.0,520039.0,520039.0,343.0,6391.0,6391.0,8809.0,164271.0,164271.0
2003-09-01,29235.0,531815.0,531815.0,521.0,9470.0,9470.0,7537.0,137112.0,137112.0
2003-10-01,31364.0,584874.0,584874.0,527.0,9828.0,9828.0,7397.0,137937.0,137937.0
2003-11-01,29651.0,575271.0,575271.0,1111.0,21563.0,21563.0,5282.0,102470.0,102470.0
2003-12-01,29576.0,550915.0,550915.0,1072.0,19970.0,19970.0,4174.0,77745.0,77745.0
2004-01-01,28989.19931,525313.68,865200.15,405.28582,7344.19,12096.0,5005.59487,90706.45,149395.0
2004-02-01,26172.24899,474267.67,774151.2,152.30356,2759.89,4505.0,5233.42745,94835.01,154800.0
2004-03-01,22368.58327,405341.42,705102.0,151.99554,2754.31,4791.2,3644.20019,66036.6,114872.4
2004-04-01,31912.83792,578292.99,838954.5,453.00809,8208.97,11909.1,6245.97399,113183.38,164200.0
2004-05-01,32902.20993,596221.39,892905.0,378.39725,6856.94,10269.0,5390.38283,97679.2,146285.0
2004-06-01,33051.10445,598919.52,871392.25,632.03119,11453.05,16663.5,5356.45436,97064.38,141222.9
2004-07-01,16899.25676,306231.68,372918.7,347.82446,6302.93,7675.5,3867.87778,70089.87,85353.1
2004-08-01,28442.86284,515413.53,873163.0,1256.50987,22769.23,38573.4,4160.41729,75390.98,127720.0
2004-09-01,32769.28794,593812.72,897255.0,634.89343,11504.91,17384.0,5749.86864,104193.45,157437.0
2004-10-01,27844.54227,504571.34,748399.55,362.66757,6571.9,9747.7,10813.95016,195959.74,290655.0
2004-11-01,25321.73525,458855.52,760612.75,1315.15013,23831.85,39504.4,7044.42462,127652.12,211600.0
2004-12-01,31601.42919,572649.94,911200.0,2179.98533,39503.54,62858.0,4942.92548,89570.82,142525.0
2005-01-01,29006.32335,525624.0,843817.55,2443.98835,44287.55,71097.61,4437.74729,80416.48,129097.68
2005-02-01,26964.56642,488625.28,794999.52,1298.99689,23539.14,38298.48,4775.60668,86538.83,140799.78
2005-03-01,15024.62921,272261.53,579700.38,487.15456,8827.73,18796.05,3195.63624,57908.17,123298.32
2005-04-01,16038.05437,290625.83,564300.22,474.61027,8600.42,16699.2,4240.48436,76841.88,149201.78
2005-05-01,18940.84703,343227.37,655499.79,418.91215,7591.11,14497.6,2811.53082,50947.79,97300.71
2005-06-01,24638.34213,446471.74,737699.6,601.33819,10896.86,18004.74,8219.49968,148945.67,246101.04
2005-07-01,26679.87941,483466.47,806399.63,552.61189,10013.89,16702.7,7748.6187,140412.83,234202.08
2005-08-01,31083.12517,563257.76,927200.0,415.57924,7530.72,12396.6,4793.84459,86869.33,142998.9
2005-09-01,31543.45867,571599.45,912899.79,490.62269,8890.58,14199.12,5207.12964,94358.47,150699.63
2005-10-01,32199.37836,583485.38,942700.22,850.62697,15414.22,24903.78,5980.85467,108379.15,175101.3
2005-11-01,27628.67795,500659.66,851900.28,1005.2681,18216.48,30996.35,3865.90395,70054.1,119200.95
2005-12-01,29683.4978,537895.08,892999.52,1914.56071,34693.78,57597.72,3533.40149,64028.82,106298.99
2006-01-01,29479.05579,534190.38,835800.0,1879.91021,34065.88,53299.84,4292.41399,77782.89,121699.95
2006-02-01,26090.39342,472784.38,741199.77,1791.6404,32466.34,50898.56,3294.73617,59703.96,93599.88
2006-03-01,17240.28441,312411.43,606699.84,608.25001,11022.11,21404.82,2037.43558,36920.4,71699.04
2006-04-01,24324.12995,440777.9,672399.86,1349.23995,24449.6,37297.48,5552.87011,100623.64,153499.8
2006-05-01,32402.53392,587166.77,854800.0,1774.21386,32150.55,46804.92,5587.43222,101249.94,147400.11
2006-06-01,29655.14458,537381.27,811699.7,2078.81106,37670.16,56899.75,5308.40437,96193.67,145297.9
2006-07-01,29631.95301,536961.03,827400.28,1561.61844,28298.11,43604.4,6005.92855,108833.51,167700.96
2006-08-01,28568.53267,517690.78,831700.0,1030.59857,18675.49,30003.25,6330.63776,114717.57,184300.38
2006-09-01,28600.05123,518261.94,809099.76,1007.57611,18258.3,28504.48,5524.80266,100115.03,156297.5
2006-10-01,17370.44783,314770.13,542400.3,851.75098,15434.59,26596.32,7394.53118,133996.4,230897.67
2006-11-01,11994.40783,217350.83,344199.6,634.24425,11493.15,18200.7,8450.41791,153130.14,242498.88
2006-12-01,15160.26744,274719.42,409699.78,928.94117,16833.36,25104.24,11245.3914,203777.89,303901.92
2007-01-01,19075.574,345669.0,568800.0,1904.711,34515.0,56795.0,7250.595,131388.0,216200.0
2007-02-01,21883.957,396559.0,693000.0,1998.7820000000002,36220.0,63295.0,3220.9990000000003,58368.0,101999.0
2007-03-01,20924.118,379166.0,681300.0,1065.711,19311.0,34700.0,3363.06,60942.0,109503.0
2007-04-01,27145.243000000002,491899.0,776800.0,1876.4,34003.0,53696.0,5357.097000000001,97076.0,153301.0
2007-05-01,27089.463,490889.0,752700.0,1471.978,26674.0,40900.0,7176.269,130041.0,199398.0
2007-06-01,28023.587,507816.0,807999.0,1186.088,21493.0,34198.0,6170.104,111809.0,177902.0
2007-07-01,27566.165,499527.0,807600.0,686.3,12437.0,20106.0,6905.186000000001,125129.0,202300.0
2007-08-01,28492.724000000002,516317.0,811800.0,217.825,3947.0,6206.0,7858.451,142403.0,223899.0
2007-09-01,26654.816,483012.0,785900.0,919.2760000000001,16659.0,27104.0,6257.569,113394.0,184500.0
2007-10-01,23059.997,417871.0,715800.0,815.0110000000001,14768.0,25299.0,5170.67,93698.0,160502.0
2007-11-01,17694.939,320650.0,520200.0,1159.971,21020.0,34101.0,6551.33,118717.0,192598.0
2007-12-01,28271.948,512316.0,847400.0,1935.1670000000001,35067.0,58003.0,3056.1240000000003,55380.0,91602.0
2008-01-01,27729.611,499873.0,792583.0,2081.424,37521.0,59492.0,3129.965,56423.0,89462.0
2008-02-01,26631.671000000002,479917.0,738933.0,1962.257,35361.0,54446.0,3098.072,55829.0,85960.0
2008-03-01,32197.413,578972.0,837584.0,2337.463,42032.0,60807.0,4308.124,77468.0,112072.0
2008-04-01,26947.386,485279.0,712361.0,1933.159,34813.0,51104.0,6966.455,125455.0,184160.0
2008-05-01,26564.271,478449.0,723225.0,1542.749,27786.0,42002.0,6834.9800000000005,123105.0,186086.0
2008-06-01,27490.805,495305.0,755451.0,1231.294,22184.0,33836.0,6893.901000000001,124208.0,189445.0
2008-07-01,27023.133,486387.0,738907.0,788.898,14199.0,21571.0,8966.968,161396.0,245188.0
2008-08-01,29464.626,531291.0,805281.0,586.686,10579.0,16034.0,8231.688,148429.0,224976.0
2008-09-01,24959.068,450770.0,727213.0,953.125,17214.0,27770.0,7751.808,140000.0,225858.0
2008-10-01,8070.968000000001,144490.0,210006.0,449.552,8048.0,11697.0,17541.481,314036.0,456428.0
2008-11-01,14564.076000000001,261085.0,389124.0,950.183,17034.0,25387.0,8694.741,155867.0,232307.0
2008-12-01,16347.44,293723.0,438234.0,1674.065,30079.0,44878.0,8335.494,149768.0,223454.0
2009-01-01,15122.34,272165.0,412341.0,3029.755,54528.0,82612.0,5484.905000000001,98715.0,149557.0
2009-02-01,14111.692,253534.0,359150.0,2245.5730000000003,40344.0,57151.0,8052.735000000001,144677.0,204946.0
2009-03-01,17433.385000000002,313667.0,488708.0,1341.597,24138.0,37609.0,6262.018,112668.0,175542.0
2009-04-01,21507.177,389745.0,650373.0,3195.194,57902.0,96622.0,2394.629,43395.0,72413.0
2009-05-01,21381.579,388611.0,670730.0,2879.976,52344.0,90344.0,2002.445,36394.0,62816.0
2009-06-01,21803.028,397912.0,677636.0,3195.472,58318.0,99315.0,1671.5,30505.0,51950.0
2009-07-01,24007.943,438026.0,725355.0,1991.143,36328.0,60159.0,3197.914,58346.0,96619.0
2009-08-01,24492.574,445874.0,744232.0,1151.178,20957.0,34980.0,5078.2480000000005,92447.0,154308.0
2009-09-01,23551.11,429063.0,721064.0,1049.671,19123.0,32138.0,5344.219,97363.0,163624.0
2009-10-01,14250.153,261184.0,504743.0,448.819,8226.0,15897.0,4045.0280000000002,74139.0,143276.0
2009-11-01,19802.166,360108.0,594610.0,562.936,10237.0,16904.0,3749.898,68193.0,112600.0
2009-12-01,26948.044,488879.0,777052.0,2028.88,36807.0,58503.0,3800.076,68939.0,109576.0
2010-01-01,28313.524,512808.0,800418.0,2436.205,44124.0,68871.0,3426.271,62056.0,96860.0
2010-02-01,26364.345,477128.0,719482.0,1913.1000000000001,34622.0,52208.0,3051.5550000000003,55225.0,83277.0
2010-03-01,26973.333,488108.0,747215.0,1341.332,24273.0,37158.0,4531.335,81999.0,125527.0
2010-04-01,25542.708,461623.0,717062.0,1073.23,19396.0,30129.0,4228.062,76412.0,118695.0
2010-05-01,31040.438000000002,559286.0,817306.0,1360.403,24512.0,35820.0,5339.159000000001,96201.0,140582.0
2010-06-01,25054.642,452582.0,712310.0,920.908,16635.0,26182.0,4921.45,88900.0,139918.0
2010-07-01,18799.237,343762.0,629631.0,1089.353,19920.0,36485.0,4272.41,78125.0,143093.0
2010-08-01,24369.162,443149.0,739754.0,1121.584,20396.0,34047.0,4979.254,90547.0,151151.0
2010-09-01,23210.871,420335.0,666661.0,614.876,11135.0,17660.0,7924.253000000001,143504.0,227600.0
2010-10-01,16957.689,305561.0,482340.0,454.475,8189.0,12927.0,5035.836,90741.0,143238.0
2010-11-01,22737.407,410639.0,669325.0,664.666,12004.0,19566.0,2926.927,52860.0,86160.0
2010-12-01,29065.727,523798.0,775503.0,1818.9260000000002,32779.0,48531.0,3417.347,61585.0,91178.0
2011-01-01,26341.618,474284.0,707166.0,2136.013,38459.0,57343.0,4027.369,72513.0,108119.0
2011-02-01,27228.369,490102.0,721329.0,1781.109,32059.0,47185.0,3164.522,56960.0,83834.0
2011-03-01,30447.074,547650.0,794435.0,2036.051,36622.0,53125.0,3609.875,64931.0,94190.0
2011-04-01,31169.184,556178.0,777764.0,2426.707,43302.0,60554.0,4269.109,76177.0,106527.0
2011-05-01,26826.825,478556.0,724424.0,1333.281,23784.0,36004.0,4863.894,86766.0,131343.0
2011-06-01,31489.988,561713.0,799115.0,1597.832,28502.0,40548.0,5518.18,98432.0,140034.0
2011-07-01,31601.393,563449.0,820475.0,1541.216,27480.0,40015.0,5843.391,104187.0,151714.0
2011-08-01,31620.73,564586.0,823611.0,1369.414,24451.0,35669.0,5642.856,100753.0,146977.0
2011-09-01,22959.683,403571.0,632348.0,1291.051,22693.0,35558.0,5720.266,100547.0,157546.0
2011-10-01,21585.974,388773.0,599915.0,523.632,9431.0,14553.0,8941.394,161038.0,248498.0
2011-11-01,29060.551,520109.0,735424.0,1249.803,22368.0,31628.0,8792.646,157366.0,222512.0
2011-12-01,30458.444,545158.0,778053.0,496.829,8892.0,12691.0,7259.727,129938.0,185448.0
2012-01-01,29379.753,525018.0,745184.0,299.48,5352.0,7596.0,9117.767,162935.0,231262.0
2012-02-01,30919.699,554048.0,791419.0,57.729,1034.0,1478.0,8133.572,145745.0,208187.0
2012-03-01,29824.428,535226.0,795225.0,193.208,3467.0,5152.0,6041.364,108418.0,161084.0
2012-04-01,29518.888,529908.0,780369.0,33.003,592.0,872.0,7236.109,129899.0,191296.0
2012-05-01,28415.433,509873.0,807730.0,362.106,6497.0,10293.0,6122.461,109859.0,174035.0
2012-06-01,26474.579,474650.0,776944.0,627.629,11252.0,18419.0,6087.792,109145.0,178657.0
2012-07-01,18937.332,339331.0,589103.0,492.153,8819.0,15310.0,8385.515,150257.0,260857.0
2012-08-01,30585.601,552706.0,937377.0,113.907,2058.0,3491.0,4890.492,88375.0,149882.0
2012-09-01,27609.455,497562.0,808174.0,214.097,3858.0,6267.0,7130.448,128501.0,208720.0
2012-10-01,17656.023,318953.0,578511.0,511.548,9241.0,16761.0,5090.429,91958.0,166791.0
2012-11-01,26999.408,487505.0,758826.0,1205.388,21765.0,33878.0,6269.204,113198.0,176198.0
2012-12-01,22783.322,412992.0,672640.0,569.312,10320.0,16808.0,7545.366,136774.0,222765.0
2013-01-01,26622.034,481201.0,770390.0,899.533,16259.0,26031.0,6863.433,124059.0,198615.0
2013-02-01,25029.522,450837.0,697133.0,855.902,15417.0,23839.0,7263.576,130833.0,202308.0
2013-03-01,24167.082,435449.0,708634.0,171.889,3097.0,5040.0,7197.029,129678.0,211033.0
2013-04-01,30751.881,552491.0,815373.0,511.964,9198.0,13575.0,8621.155,154888.0,228586.0
2013-05-01,34046.815,612557.0,888524.0,571.158,10276.0,14906.0,8494.027,152821.0,221670.0
2013-06-01,31782.584,572089.0,854374.0,817.618,14717.0,21979.0,7321.798,131793.0,196823.0
2013-07-01,32363.637,583300.0,895927.0,700.938,12633.0,19404.0,7219.425,130118.0,199856.0
2013-08-01,32112.455,578760.0,870835.0,946.791,17064.0,25675.0,7181.754,129436.0,194757.0
2013-09-01,23651.407,426495.0,717620.0,323.322,5830.0,9810.0,3868.271,69755.0,117369.0
2013-10-01,27198.997,488350.0,763415.0,804.64,14447.0,22584.0,6003.363,107789.0,168501.0
2013-11-01,27590.778,495549.0,775285.0,906.766,16286.0,25480.0,4522.456,81226.0,127078.0
2013-12-01,30882.667,553699.0,803980.0,1258.774,22569.0,32770.0,7935.559,142278.0,206589.0
2014-01-01,23173.097,411576.0,689731.0,429.399,7627.0,12781.0,3879.504,68904.0,115471.0
2014-02-01,17785.427,315172.0,598573.0,174.292,3089.0,5866.0,1163.281,20614.0,39151.0
2014-03-01,18080.959,320590.0,603498.0,208.015,3688.0,6943.0,1991.026,35302.0,66456.0
2014-04-01,18584.395,335473.0,587625.0,367.059,6626.0,11606.0,1890.546,34127.0,59778.0
2014-05-01,20948.055,371736.0,641047.0,508.791,9029.0,15570.0,1321.154,23445.0,40430.0
2014-06-01,19626.511,349181.0,619806.0,90.434,1609.0,2856.0,1811.055,32221.0,57193.0
2014-07-01,20259.822,362065.0,666067.0,89.549,1600.0,2944.0,1614.629,28855.0,53083.0
2014-08-01,16456.231,297374.0,609155.0,143.546,2594.0,5314.0,1897.223,34284.0,70229.0
2014-09-01,12698.662,226377.0,396550.0,297.182,5298.0,9280.0,7158.156,127607.0,223533.0
2014-10-01,13132.109,233883.0,377175.0,454.192,8089.0,13045.0,6512.699,115991.0,187055.0
2014-11-01,17665.611,314179.0,571758.0,361.392,6427.0,11697.0,3500.997,62264.0,113312.0
2014-12-01,20555.492,366525.0,685645.0,35.604,635.0,1188.0,1931.904,34448.0,64440.0
2015-01-01,17707.151,317519.0,565982.0,872.73,15650.0,27895.0,3349.119,60055.0,107049.0
2015-02-01,15374.096,275482.0,605257.0,1537.86,27556.0,60543.0,2356.044,42217.0,92754.0
2015-03-01,12215.616,217100.0,431778.0,1159.05,20599.0,40968.0,5830.334,103619.0,206081.0
2015-04-01,16669.206,299052.0,625629.0,207.114,3716.0,7773.0,3702.68,66428.0,138969.0
2015-05-01,19539.142,353197.0,808390.0,172.028,3110.0,7117.0,1528.83,27636.0,63252.0
2015-06-01,17339.401,314902.0,697773.0,73.356,1332.0,2952.0,1198.243,21761.0,48220.0
2015-07-01,16724.449,301788.0,667005.0,29.881,539.0,1192.0,1336.67,24120.0,53309.0
2015-08-01,17316.665,309501.0,684304.0,17.046,305.0,674.0,980.289,17521.0,38738.0
2015-09-01,17082.255,305580.0,615798.0,72.345,1294.0,2608.0,1022.4,18289.0,36856.0
2015-10-01,12435.39,224673.0,442554.0,757.941,13694.0,26974.0,2632.669,47565.0,93692.0
2015-11-01,13749.101,246672.0,463941.0,846.533,15188.0,28565.0,2276.366,40840.0,76812.0
2015-12-01,14161.888,256598.0,475706.0,1076.182,19499.0,36150.0,2029.93,36780.0,68186.0
2016-01-01,14846.884,67503.0,542664.0,1486.44,6758.0,54330.0,1364.676,6205.0,49880.0
2016-02-01,22873.405,102629.0,643111.0,3313.31,14866.0,93157.0,2561.285,11492.0,72013.0
2016-03-01,27462.274,123068.0,723309.0,2890.216,12952.0,76123.0,4937.51,22127.0,130045.0
2016-04-01,29528.522,132351.0,749987.0,1091.286,4891.0,27717.0,6761.192,30305.0,171726.0
2016-05-01,28488.211,127571.0,736302.0,1653.769,7406.0,42743.0,6991.02,31306.0,180689.0
2016-06-01,24423.118,109900.0,684075.0,428.227,1927.0,11994.0,3283.655,14776.0,91973.0
2016-07-01,19834.556,88907.0,606357.0,123.1,552.0,3763.0,2914.344,13063.0,89094.0
2016-08-01,21533.13,95820.0,663274.0,346.357,1541.0,10669.0,1349.513,6005.0,41568.0
2016-09-01,18185.016,81835.0,562178.0,1420.363,6392.0,43910.0,2895.621,13031.0,89516.0
2016-10-01,15690.618,70345.0,459861.0,2799.186,12549.0,82039.0,4731.196,21211.0,138662.0
2016-11-01,18796.029,83625.0,539783.0,1662.692,7397.0,47749.0,3010.279,13393.0,86449.0
2016-12-01,21840.792,97176.0,688357.0,990.104,4405.0,31205.0,1402.104,6238.0,44190.0
2017-01-01,21330.556,95329.0,636579.0,0.0,0.0,0.0,2072.444,9262.0,61849.0
2017-02-01,17332.477,78293.0,567371.0,0.0,0.0,0.0,2457.523,11101.0,80446.0
2017-03-01,19305.147,85777.0,573419.0,0.0,0.0,0.0,3878.853,17235.0,115213.0
2017-04-01,20029.27,88657.0,597459.0,0.0,0.0,0.0,2587.73,11454.0,77190.0
2017-05-01,21007.621,93394.0,651641.0,0.0,0.0,0.0,2036.379,9053.0,63167.0
2017-06-01,19862.198,88874.0,637679.0,0.0,0.0,0.0,2141.802,9584.0,68763.0
2017-07-01,17079.09,77659.0,584522.0,0.0,0.0,0.0,3616.91,16446.0,123787.0
2017-08-01,17668.781,80316.0,596710.0,0.0,0.0,0.0,3352.219,15238.0,113211.0
2017-09-01,19586.94,87390.0,578526.0,0.0,0.0,0.0,3519.06,15701.0,103940.0
2017-10-01,15216.318,67163.0,410233.0,0.0,0.0,0.0,10008.682,44177.0,269835.0
2017-11-01,20021.783,89596.0,608867.0,0.0,0.0,0.0,2898.217,12969.0,88135.0
2017-12-01,26855.523,120646.0,684073.0,0.0,0.0,0.0,8461.477,38012.0,215534.0
2018-01-01,28136.095,126085.0,722517.0,0.0,0.0,0.0,5741.905,25731.0,147448.0
2018-02-01,26705.762,119526.0,684111.0,0.0,0.0,0.0,5028.238,22505.0,128806.0
2018-03-01,30343.042,135709.0,725562.0,0.0,0.0,0.0,11241.958,50280.0,268817.0
2018-04-01,29681.581,132929.0,743895.0,0.0,0.0,0.0,8206.419,36752.0,205673.0
2018-05-01,26323.847,118912.0,736445.0,0.0,0.0,0.0,5970.153,26969.0,167023.0
2018-06-01,25119.008,113848.0,728553.0,0.0,0.0,0.0,4564.992,20690.0,132403.0
2018-07-01,17550.304,80090.0,629132.0,0.0,0.0,0.0,2598.696,11859.0,93156.0
2018-08-01,12995.536,59909.0,542274.0,0.0,0.0,0.0,1799.464,8296.0,75088.0
2018-09-01,17468.048,78623.0,608230.0,0.0,0.0,0.0,1947.952,8768.0,67827.0
2018-10-01,15142.052,67253.0,567183.0,0.0,0.0,0.0,2000.948,8887.0,74950.0
2018-11-01,24642.886,108902.0,676193.0,0.0,0.0,0.0,3832.114,16935.0,105152.0
2018-12-01,31504.94,138768.0,764203.0,0.0,0.0,0.0,6926.06,30507.0,168003.0
2019-01-01,31106.444,137029.0,688690.0,0.0,0.0,0.0,5232.556,23050.0,115848.0
2019-02-01,29644.989,130618.0,651957.0,0.0,0.0,0.0,3887.011,17126.0,85484.0
2019-03-01,25581.157,112682.0,597787.0,0.0,0.0,0.0,490.843,2162.0,11470.0
2019-04-01,16539.944,72667.0,594288.0,0.0,0.0,0.0,4080.056,17926.0,146598.0
2019-05-01,18589.205,81902.0,513633.0,0.0,0.0,0.0,4434.795,19539.0,122536.0
2019-06-01,21200.357,93122.0,633418.0,0.0,0.0,0.0,2699.643,11858.0,80659.0
2019-07-01,33061.843,146183.0,809033.0,0.0,0.0,0.0,9241.157,40860.0,226134.0
2019-08-01,34981.478,154419.0,793658.0,0.0,0.0,0.0,8924.522,39396.0,202479.0
2019-09-01,33071.539,146626.0,770518.0,0.0,0.0,0.0,8652.461,38361.0,201590.0
2019-10-01,28200.031,125586.0,675711.0,0.0,0.0,0.0,7003.969,31191.0,167825.0
2019-11-01,28095.776,125294.0,701225.0,0.0,0.0,0.0,4212.224,18785.0,105130.0
2019-12-01,33457.71,148817.0,778262.0,0.0,0.0,0.0,6092.29,27098.0,141713.0
2020-01-01,33892.596,150503.0,774228.0,0.0,0.0,0.0,9164.404,40695.0,209348.0
2020-02-01,33819.011,149476.0,752334.0,0.0,0.0,0.0,7609.989,33635.0,169291.0
2020-03-01,28374.083,125165.0,716064.0,0.0,0.0,0.0,4835.917,21332.0,122042.0
2020-04-01,22478.657,99299.0,489186.0,0.0,0.0,0.0,7742.343,34202.0,168491.0
2020-05-01,24346.365,106719.0,409897.0,0.0,0.0,0.0,17028.635,74642.0,286695.0
2020-06-01,33430.062,147508.0,760378.0,0.0,0.0,0.0,7130.938,31465.0,162196.0
2020-07-01,33609.688,148409.0,803421.0,0.0,0.0,0.0,7892.312,34850.0,188661.0
2020-08-01,24502.891,108412.0,683412.0,0.0,0.0,0.0,6330.109,28007.0,176554.0
2020-09-01,30821.169,135758.0,746056.0,0.0,0.0,0.0,6527.831,28753.0,158012.0
2020-10-01,36244.191,159609.0,864640.0,0.0,0.0,0.0,4577.809,20159.0,109208.0
2020-11-01,36748.63,161818.0,845131.0,0.0,0.0,0.0,5030.37,22151.0,115687.0
2020-12-01,37733.199,166277.0,865771.0,0.0,0.0,0.0,6288.801,27713.0,144294.0
2021-01-01,35240.865,155238.0,811023.0,0.0,0.0,0.0,8239.135,36294.0,189613.0
2021-02-01,32315.689,142419.0,747042.0,0.0,0.0,0.0,6261.311,27594.0,144743.0
2021-03-01,35144.681,154818.0,837196.0,0.0,0.0,0.0,8029.319,35370.0,191270.0
2021-04-01,29920.391,132194.0,755996.0,0.0,0.0,0.0,6397.609,28266.0,161648.0
2021-05-01,9745.326,45301.0,440409.0,0.0,0.0,0.0,1506.674,7004.0,68089.0
2021-06-01,33004.984,145444.0,799605.0,0.0,0.0,0.0,7520.016,33139.0,182186.0
2021-07-01,36258.537,159961.0,899921.0,0.0,0.0,0.0,5577.463,24606.0,138430.0
2021-08-01,35244.415,155522.0,878815.0,0.0,0.0,0.0,5731.585,25292.0,142916.0
2021-09-01,33627.044,148235.0,815005.0,0.0,0.0,0.0,7844.956,34582.0,190135.0
2021-10-01,25744.203,113513.0,660940.0,0.0,0.0,0.0,6204.797,27359.0,159298.0
2021-11-01,32137.657,141486.0,770025.0,0.0,0.0,0.0,6708.343,29534.0,160733.0
2021-12-01,29705.943,130667.0,663792.0,0.0,0.0,0.0,12382.057,54465.0,276682.0
2022-01-01,29976.298,132531.0,658632.0,0.0,0.0,0.0,12526.702,55383.0,275233.0
2022-02-01,28227.645,125128.0,621084.0,0.0,0.0,0.0,11208.355,49685.0,246614.0
2022-03-01,35451.476,157463.0,766601.0,0.0,0.0,0.0,10708.524,47563.0,231561.0
2022-04-01,26544.268,118278.0,674342.0,0.0,0.0,0.0,4421.732,19703.0,112332.0
2022-05-01,35299.381,156706.0,825226.0,0.0,0.0,0.0,8455.619,37537.0,197675.0
2022-06-01,30435.053,135043.0,692820.0,0.0,0.0,0.0,10921.947,48462.0,248626.0
2022-07-01,29567.785,130964.0,679655.0,0.0,0.0,0.0,10577.215,46849.0,243131.0
2022-08-01,28955.189,127303.0,685806.0,0.0,0.0,0.0,6939.811,30511.0,164370.0
2022-09-01,16009.39,70589.0,399950.0,0.0,0.0,0.0,5079.61,22397.0,126900.0
2022-10-01,16775.662,73720.0,395477.0,0.0,0.0,0.0,7604.338,33417.0,179268.0
