measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,13019.682,133334.56,133334.56,,,,1668.891,43774.0,152426.0
2003-02-01,,,,9015.884,92331.67,92331.67,,,,1155.675,30312.0,105552.0
2003-03-01,,,,9251.346,94743.03,94743.03,,,,1185.857,31104.0,108308.0
2003-04-01,,,,9356.817000000001,95823.16,95823.16,,,,1199.377,31459.0,109543.0
2003-05-01,,,,8520.536,87258.81,87258.81,,,,1092.181,28647.0,99753.0
2003-06-01,,,,8836.815,90497.82,90497.82,,,,1132.722,29710.0,103455.0
2003-07-01,,,,9981.109,102216.54,102216.54,,,,1279.4,33558.0,116852.0
2003-08-01,,,,10101.801,103452.54,103452.54,,,,1294.871,33963.0,118265.0
2003-09-01,,,,9428.538,96557.66,96557.66,,,,1208.57,31700.0,110383.0
2003-10-01,,,,10950.952,112148.7,112148.7,,,,1403.717,36818.0,128206.0
2003-11-01,,,,9870.805,101086.91,101086.91,,,,1265.261,33187.0,115561.0
2003-12-01,,,,10442.945,106946.2,106946.2,,,,1338.5990000000002,35110.0,122259.0
2004-01-01,,,,13957.02,139877.25,139877.25,,,,1716.9,9920.41,131117.12
2004-02-01,,,,13690.71,137208.3,137208.3,,,,1612.14,9315.1,118192.36
2004-03-01,,,,12616.56,126443.16,126443.16,,,,1617.96,9348.73,119268.64
2004-04-01,,,,13141.26,131701.71,131701.71,,,,1402.62,8104.47,103779.28
2004-05-01,,,,10573.2,105964.61,105964.61,,,,1152.36,6658.45,92939.2
2004-06-01,,,,6410.25,64243.53,64243.53,,,,1018.5,5884.99,84982.87
2004-07-01,,,,8167.5,81854.69,81854.69,,,,891.43,5150.77,82149.3
2004-08-01,,,,10949.4,109734.89,109734.89,,,,960.3,5548.71,93966.99
2004-09-01,,,,13216.5,132455.76,132455.76,,,,832.26,4808.88,91997.88
2004-10-01,,,,10502.91,105260.16,105260.16,,,,1158.18,6692.08,111012.72
2004-11-01,,,,8086.32,81041.1,81041.1,,,,1460.82,8440.76,125983.26
2004-12-01,,,,10884.06,109080.05,109080.05,,,,1629.6,9415.99,146774.94
2005-01-01,,,,11889.9,118887.11,118887.11,,,,1693.62,9785.9,153378.42
2005-02-01,,,,12864.06,128627.74,128627.74,,,,1501.56,8676.16,138454.29
2005-03-01,,,,15248.97,152474.45,152474.45,,,,1635.42,9449.61,149147.68
2005-04-01,,,,12799.71,127984.3,127984.3,,,,1274.58,7364.65,118950.88
2005-05-01,,,,14128.29,141268.77,141268.77,,,,826.44,4775.25,109077.12
2005-06-01,,,,13277.88,132765.52,132765.52,,,,884.64,5111.54,94017.0
2005-07-01,,,,10416.78,104157.38,104157.38,,,,1035.96,5985.88,92975.4
2005-08-01,,,,7375.5,73747.63,73747.63,,,,1222.2,7061.99,96063.5
2005-09-01,,,,9781.2,97802.22,97802.22,,,,1321.14,7633.67,99469.12
2005-10-01,,,,12047.31,120461.05,120461.05,,,,1519.02,8777.04,114268.32
2005-11-01,,,,12849.21,128479.25,128479.25,,,,1571.4,9079.7,124921.44
2005-12-01,,,,12922.47,129211.78,129211.78,,,,1775.1,10256.7,146224.0
2006-01-01,,,,12834.36,127304.0,127304.0,,,,1740.18,10054.93,152205.12
2006-02-01,,,,10365.3,102813.0,102813.0,,,,1565.58,9046.07,134607.0
2006-03-01,,,,15258.87,151353.0,151353.0,,,,1588.86,9180.59,142137.6
2006-04-01,,,,13387.77,132793.0,132793.0,,,,1530.66,8844.3,124277.26
2006-05-01,,,,13539.24,134296.0,134296.0,,,,1321.14,7633.67,112431.54
2006-06-01,,,,13872.87,137605.0,137605.0,,,,1088.34,6288.53,94736.4
2006-07-01,,,,12237.39,121383.0,121383.0,,,,1065.06,6154.02,69662.46
2006-08-01,,,,10307.88,102244.0,102244.0,,,,1105.8,6389.42,94923.08
2006-09-01,,,,10330.65,102470.0,102470.0,,,,1094.16,6322.16,95161.5
2006-10-01,,,,10738.53,106515.0,106515.0,,,,1350.24,7801.82,112775.04
2006-11-01,,,,13398.66,132901.0,132901.0,,,,1548.12,8945.19,119287.7
2006-12-01,,,,14936.13,148151.0,148151.0,,,,1658.7,9584.13,131896.1
2007-01-01,,,,15221.25,150447.0,150447.0,,,,1757.64,10157.0,141852.0
2007-02-01,,,,13659.03,135006.0,135006.0,,,,1594.68,9217.0,133379.0
2007-03-01,,,,15153.93,149781.0,149781.0,,,,1722.72,9956.0,140529.0
2007-04-01,,,,13711.5,135524.0,135524.0,,,,1577.22,9115.0,124134.0
2007-05-01,,,,13797.63,136376.0,136376.0,,,,1326.96,7666.0,107138.0
2007-06-01,,,,12732.39,125847.0,125847.0,,,,1152.36,6657.0,95428.0
2007-07-01,,,,6782.49,67038.0,67038.0,,,,1094.16,6322.0,93865.0
2007-08-01,,,,8605.08,85053.0,85053.0,,,,1146.54,6626.0,93581.0
