measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,52.0,616.0,616.0,6.0,77.0,77.0,58355.0,740038.0,740038.0
2003-02-01,,,,27.0,325.0,325.0,0.0,0.0,0.0,52254.0,668188.0,668188.0
2003-03-01,,,,234.0,2839.0,2839.0,15.0,204.0,204.0,26812.0,353172.0,353172.0
2003-04-01,,,,39.0,472.0,472.0,0.0,0.0,0.0,57686.0,722185.0,722185.0
2003-05-01,,,,25.0,299.0,299.0,9.0,111.0,111.0,60019.0,751507.0,751507.0
2003-06-01,,,,81.0,966.0,966.0,1.0,12.0,12.0,53315.0,676236.0,676236.0
2003-07-01,,,,45.0,552.0,552.0,0.0,0.0,0.0,56275.0,737678.0,737678.0
2003-08-01,,,,92.0,1117.0,1117.0,0.0,0.0,0.0,51513.0,706345.0,706345.0
2003-09-01,,,,47.0,507.0,507.0,0.0,0.0,0.0,61644.0,717463.0,717463.0
2003-10-01,,,,66.0,775.0,775.0,1.0,17.0,17.0,56162.0,718884.0,718884.0
2003-11-01,,,,24.0,291.0,291.0,7.0,94.0,94.0,56250.0,717201.0,717201.0
2003-12-01,,,,102.0,1220.0,1220.0,0.0,0.0,0.0,52183.0,654470.0,654470.0
2004-01-01,,,,34.649,416.0,416.0,41.978,551.0,551.0,61005.502,783287.0,783287.0
2004-02-01,,,,39.519,475.0,475.0,38.111000000000004,501.0,501.0,50875.629,653223.0,653223.0
2004-03-01,,,,23.53,283.0,283.0,39.385,517.0,517.0,46182.963,592971.0,592971.0
2004-04-01,,,,62.447,750.0,750.0,37.517,493.0,493.0,42739.81,548762.0,548762.0
2004-05-01,,,,36.123000000000005,434.0,434.0,41.566,546.0,546.0,45210.021,580479.0,580479.0
2004-06-01,,,,99.45700000000001,1194.0,1194.0,38.49,505.0,505.0,50706.892,651056.0,651056.0
2004-07-01,,,,79.99300000000001,961.0,961.0,30.633000000000003,402.0,402.0,54911.825,705046.0,705046.0
2004-08-01,,,,41.316,496.0,496.0,27.955,367.0,367.0,54900.722,704904.0,704904.0
2004-09-01,,,,42.703,513.0,513.0,33.229,436.0,436.0,54825.928,703943.0,703943.0
2004-10-01,,,,54.355,653.0,653.0,31.081000000000003,408.0,408.0,56742.718,728554.0,728554.0
2004-11-01,,,,51.719,621.0,621.0,27.653000000000002,363.0,363.0,51526.709,661583.0,661583.0
2004-12-01,,,,30.189,363.0,363.0,39.402,517.0,517.0,55825.281,716775.0,716775.0
2005-01-01,,,,,,,,,,61598.515,787997.41,787997.41
2005-02-01,,,,,,,,,,53631.736,686082.6,686082.6
2005-03-01,,,,,,,,,,55642.779,711808.8,711808.8
2005-04-01,,,,,,,,,,49588.661,634361.66,634361.66
2005-05-01,,,,,,,,,,54438.38,696401.57,696401.57
2005-06-01,,,,,,,,,,60633.066,775646.94,775646.94
2005-07-01,,,,,,,,,,64095.566,819940.88,819940.88
2005-08-01,,,,,,,,,,64808.691,829063.5,829063.5
2005-09-01,,,,,,,,,,59391.763,759767.59,759767.59
2005-10-01,,,,,,,,,,56084.396,717458.2,717458.2
2005-11-01,,,,,,,,,,54679.687,699488.5,699488.5
2005-12-01,,,,,,,,,,61065.76,781182.16,781182.16
2006-01-01,,,,,,,,,,53859.271,688071.0,688071.0
2006-02-01,,,,,,,,,,51295.044,655312.0,655312.0
2006-03-01,,,,,,,,,,52414.045,669608.0,669608.0
2006-04-01,,,,,,,,,,44592.681,569687.0,569687.0
2006-05-01,,,,,,,,,,47655.3,608813.0,608813.0
2006-06-01,,,,,,,,,,51627.366,659558.0,659558.0
2006-07-01,,,,,,,,,,58726.034,750246.0,750246.0
2006-08-01,,,,,,,,,,59149.775,755659.0,755659.0
2006-09-01,,,,,,,,,,49146.325,627861.0,627861.0
2006-10-01,,,,,,,,,,50834.132,649424.0,649424.0
2006-11-01,,,,,,,,,,50262.586,642122.0,642122.0
2006-12-01,,,,,,,,,,54413.442,695151.0,695151.0
2007-01-01,,,,0.0,0.0,0.0,,,,49401.0,644252.0,644252.0
2007-02-01,,,,,,,,,,45052.0,586839.0,586839.0
2007-03-01,,,,,,,,,,22177.0,293253.0,293253.0
2007-04-01,,,,0.0,0.0,0.0,,,,42940.0,523245.0,523245.0
