measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2012-01-01,1347.256,232844.0,232844.0
2012-02-01,1824.445,315314.0,315314.0
2012-03-01,2048.836,354094.0,354094.0
2012-04-01,2341.619,404696.0,404696.0
2012-05-01,1846.771,319173.0,319173.0
2012-06-01,3165.085,547014.0,547014.0
2012-07-01,5194.512,897754.0,897754.0
2012-08-01,2436.894,421161.0,421161.0
2012-09-01,1685.214,291251.0,291251.0
2012-10-01,698.505,120721.0,120721.0
2012-11-01,1001.621,173107.0,173107.0
2012-12-01,703.242,121539.0,121539.0
2013-01-01,2903.56,41764.0,41764.0
2013-02-01,2900.567,41722.0,41722.0
2013-03-01,5412.894,77859.0,77859.0
2013-04-01,4660.679,67040.0,67040.0
2013-05-01,3394.182,48822.0,48822.0
2013-06-01,3161.662,45477.0,45477.0
2013-07-01,8596.668,123654.0,123654.0
2013-08-01,5979.068,86004.0,86004.0
2013-09-01,3528.237,50751.0,50751.0
2013-10-01,1680.818,24177.0,24177.0
2013-11-01,2432.277,34986.0,34986.0
2013-12-01,2284.388,32859.0,32859.0
2014-01-01,9035.476,664455.0,664455.0
2014-02-01,2213.395,162769.0,162769.0
2014-03-01,3155.713,232066.0,232066.0
2014-04-01,2767.028,203482.0,203482.0
2014-05-01,8543.794,628297.0,628297.0
2014-06-01,7421.555,545769.0,545769.0
2014-07-01,5332.212,392123.0,392123.0
2014-08-01,9851.098,724435.0,724435.0
2014-09-01,6194.607,455542.0,455542.0
2014-10-01,7720.326,567741.0,567741.0
2014-11-01,5206.593,382885.0,382885.0
2014-12-01,6179.203,454409.0,454409.0
2015-01-01,1575.468,17918.0,46486.0
2015-02-01,1407.055,16003.0,41516.0
2015-03-01,1524.53,17339.0,44982.0
2015-04-01,1423.531,16190.0,42002.0
2015-05-01,1155.09,13137.0,34081.0
2015-06-01,1745.682,19854.0,51508.0
2015-07-01,2535.689,28839.0,74818.0
2015-08-01,1890.23,21498.0,55772.0
2015-09-01,2066.112,23499.0,60962.0
2015-10-01,1689.1,19211.0,49838.0
2015-11-01,1732.985,19710.0,51134.0
2015-12-01,2117.528,24083.0,62479.0
2016-01-01,646.279,7350.0,71864.0
2016-02-01,668.558,7604.0,74344.0
2016-03-01,899.262,10228.0,99997.0
2016-04-01,676.801,7697.0,75260.0
2016-05-01,645.175,7338.0,71743.0
2016-06-01,906.286,10307.0,100779.0
2016-07-01,1471.679,16738.0,163649.0
2016-08-01,1297.157,14753.0,144243.0
2016-09-01,868.241,9875.0,96548.0
2016-10-01,817.22,9295.0,90874.0
2016-11-01,604.917,6880.0,67266.0
2016-12-01,611.425,6954.0,67990.0
2017-01-01,4050.167,47004.0,146271.0
2017-02-01,3958.949,45945.0,142977.0
2017-03-01,4927.99,57192.0,177974.0
2017-04-01,3957.526,45929.0,142926.0
2017-05-01,4292.594,49817.0,155026.0
2017-06-01,5794.829,67252.0,209280.0
2017-07-01,6925.728,80376.0,250122.0
2017-08-01,5631.122,65352.0,203367.0
2017-09-01,4287.241,49755.0,154833.0
2017-10-01,4239.792,49205.0,153119.0
2017-11-01,3180.939,36916.0,114879.0
2017-12-01,5157.023,59850.0,186245.0
2018-01-01,873.776,9938.0,15097.0
2018-02-01,643.855,7323.0,11123.0
2018-03-01,1014.38,11537.0,17524.0
2018-04-01,547.857,6231.0,9465.0
2018-05-01,984.462,11197.0,17007.0
2018-06-01,1080.022,12283.0,18658.0
2018-07-01,1335.785,15192.0,23076.0
2018-08-01,1344.73,15294.0,23231.0
2018-09-01,1078.525,12266.0,18632.0
2018-10-01,715.913,8142.0,12368.0
2018-11-01,838.921,9541.0,14493.0
2018-12-01,621.774,7072.0,10741.0
2019-01-01,205.975,2343.0,3397.0
2019-02-01,186.387,2120.0,3075.0
2019-03-01,196.772,2238.0,3246.0
2019-04-01,215.214,2448.0,3550.0
2019-05-01,196.84,2239.0,3247.0
2019-06-01,230.673,2624.0,3805.0
2019-07-01,382.268,4348.0,6305.0
2019-08-01,326.722,3716.0,5389.0
2019-09-01,209.614,2384.0,3457.0
2019-10-01,201.973,2297.0,3331.0
2019-11-01,207.832,2364.0,3428.0
2019-12-01,287.73,3272.0,4745.0
2020-01-01,101.857,1158.0,1605.0
2020-02-01,92.525,1052.0,1458.0
2020-03-01,96.035,1092.0,1514.0
2020-04-01,70.22,799.0,1106.0
2020-05-01,60.064,683.0,947.0
2020-06-01,92.105,1048.0,1452.0
2020-07-01,132.385,1506.0,2086.0
2020-08-01,98.739,1123.0,1557.0
2020-09-01,64.586,735.0,1018.0
2020-10-01,68.203,776.0,1075.0
2020-11-01,31.686,360.0,500.0
2020-12-01,71.595,814.0,1128.0
2021-01-01,248.45,2826.0,3976.0
2021-02-01,160.634,1827.0,2571.0
2021-03-01,195.121,2219.0,3123.0
2021-04-01,146.034,1661.0,2337.0
2021-05-01,108.592,1235.0,1738.0
2021-06-01,230.904,2626.0,3696.0
2021-07-01,300.079,3413.0,4803.0
2021-08-01,370.76,4217.0,5935.0
2021-09-01,207.051,2355.0,3314.0
2021-10-01,259.413,2950.0,4152.0
2021-11-01,215.886,2455.0,3455.0
2021-12-01,217.076,2469.0,3474.0
2022-01-01,203.196,2311.0,2774.0
2022-02-01,134.755,1533.0,1839.0
2022-03-01,145.133,1651.0,1981.0
2022-04-01,69.122,786.0,944.0
2022-05-01,92.511,1052.0,1263.0
2022-06-01,163.091,1855.0,2225.0
2022-07-01,188.622,2145.0,2574.0
2022-08-01,186.959,2126.0,2552.0
2022-09-01,185.925,2115.0,2538.0
2022-10-01,118.797,1351.0,1621.0
2022-11-01,128.858,1466.0,1759.0
2022-12-01,136.031,1547.0,1856.0
2023-01-01,325.829,3706.0,3908.0
2023-02-01,294.034,3344.0,3527.0
2023-03-01,261.967,2979.0,3142.0
2023-04-01,96.556,1098.0,1158.0
2023-05-01,202.782,2306.0,2432.0
2023-06-01,291.893,3320.0,3501.0
2023-07-01,351.747,4001.0,4219.0
2023-08-01,355.4,4042.0,4263.0
2023-09-01,333.603,3794.0,4001.0
2023-10-01,275.759,3136.0,3307.0
2023-11-01,226.107,2572.0,2712.0
2023-12-01,247.323,2813.0,2967.0
2024-01-01,1241.677,14122.0,16811.0
2024-02-01,1260.522,14336.0,17067.0
2024-03-01,1066.489,12130.0,14439.0
2024-04-01,622.639,7081.0,8430.0
2024-05-01,753.971,8575.0,10208.0
2024-06-01,1311.814,14920.0,17761.0
2024-07-01,1654.275,18815.0,22398.0
2024-08-01,1838.431,20909.0,24891.0
2024-09-01,1624.967,18481.0,22001.0
2024-10-01,1288.792,14658.0,17450.0
2024-11-01,778.323,8852.0,10538.0
2024-12-01,1322.1,15037.0,17901.0
