measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,13.74897,75.75,812.82,2651.24703,14607.02,156738.0
2004-02-01,35.572759999999995,195.99,2103.01,2322.90024,12797.98,137326.5
2004-03-01,38.655539999999995,212.97,2285.26,2692.62146,14834.96,159183.9
2004-04-01,26.32997,145.06,1556.59,2662.47703,14668.87,157401.8
2004-05-01,19.16471,105.59,1132.99,2639.36929,14541.57,156035.7
2004-06-01,16.735689999999998,92.21,989.39,2655.52131,14630.56,156990.6
2004-07-01,24.31656,133.97,1437.56,2516.53444,13864.81,148773.9
2004-08-01,24.509900000000002,135.04,1448.99,2926.2091,16121.91,172993.3
2004-09-01,24.55219,135.27,1451.49,2163.01781,11917.11,127874.5
2004-10-01,27.97243,154.11,1653.69,3351.20957,18463.44,198118.7
2004-11-01,24.04879,132.5,1421.73,2479.06521,13658.38,146558.8
2004-12-01,35.42865,195.19,2094.49,2433.15035,13405.41,143844.3
2005-01-01,1.58425,8.73,134.24,1676.51775,9236.75,142058.1
2005-02-01,1.40439,7.74,119.0,1555.90561,8572.24,131838.2
2005-03-01,1.6759499999999998,9.23,142.01,1682.18405,9267.97,142538.3
2005-04-01,1.7183199999999998,9.47,145.6,1446.30168,7968.38,122551.0
2005-05-01,1.3938899999999999,7.68,118.11,1605.06411,8843.08,136003.6
2005-06-01,2.37154,13.07,200.95,1553.92846,8561.35,131670.6
2005-07-01,3.05604,16.84,258.95,1720.98396,9481.74,145825.8
2005-08-01,3.26728,18.0,276.85,1771.88272,9762.17,150138.7
2005-09-01,2.16135,11.91,183.14,1667.96865,9189.65,141333.7
2005-10-01,1.49468,8.23,126.65,1589.85932,8759.31,134715.3
2005-11-01,1.34161,7.39,113.68,1619.17639,8920.82,137199.4
2005-12-01,1.44959,7.99,122.83,1749.20741,9637.23,148217.4
2006-01-01,1.7127299999999999,9.44,181.13,1376.16627,7581.97,145536.8
2006-02-01,1.70772,9.41,180.6,1249.33528,6883.19,132123.8
2006-03-01,1.8629799999999999,10.26,197.02,1353.13502,7455.08,143101.2
2006-04-01,1.56635,8.63,165.65,1250.6766499999999,6890.58,132265.6
2006-05-01,1.51945,8.37,160.69,1247.68155,6874.09,131949.0
2006-06-01,1.94373,10.71,205.56,1245.57727,6862.49,131726.3
2006-07-01,2.91078,16.04,307.83,1338.44522,7374.14,141547.5
2006-08-01,2.74048,15.1,289.82,1417.30852,7808.64,149887.7
2006-09-01,1.94383,10.71,205.57,1326.27417,7307.09,140260.5
2006-10-01,2.16784,11.94,229.26,1377.33016,7588.38,145659.9
2006-11-01,1.86459,10.27,197.19,1346.88241,7420.63,142439.9
2006-12-01,1.8220399999999999,10.04,192.69,1396.16496,7692.15,147651.8
2007-01-01,0.14700000000000002,1.0,3.0,90.467,480.0,2010.0
2007-02-01,0.139,1.0,3.0,79.551,430.0,1770.0
2007-03-01,0.06,0.0,1.0,67.379,360.0,1500.0
2007-04-01,0.07200000000000001,0.0,2.0,87.211,470.0,1940.0
2007-05-01,0.054,0.0,1.0,83.406,450.0,1860.0
2007-06-01,0.12,1.0,3.0,68.02,360.0,1510.0
2007-07-01,0.165,1.0,4.0,75.843,410.0,1690.0
2007-08-01,0.191,1.0,4.0,98.53200000000001,530.0,2190.0
2007-09-01,0.188,1.0,4.0,87.418,470.0,1940.0
2007-10-01,0.183,1.0,4.0,101.991,550.0,2270.0
2007-11-01,0.182,1.0,4.0,88.186,470.0,1960.0
2007-12-01,0.20700000000000002,1.0,5.0,88.28800000000001,470.0,1960.0
2008-01-01,0.02,0.0,193.0,10.973,60.0,97810.0
2008-02-01,0.02,0.0,180.0,8.103,45.0,72230.0
2008-03-01,0.02,0.0,177.0,10.061,55.0,89680.0
2008-04-01,0.019,0.0,168.0,8.034,44.0,71610.0
2008-05-01,0.009000000000000001,0.0,81.0,7.25,40.0,64630.0
2008-06-01,0.002,0.0,20.0,4.679,26.0,41710.0
2008-07-01,0.013000000000000001,0.0,112.0,10.33,57.0,92070.0
2008-08-01,0.02,0.0,177.0,10.877,60.0,96950.0
2008-09-01,0.019,0.0,168.0,10.663,59.0,95040.0
2008-10-01,0.02,0.0,176.0,11.431000000000001,63.0,101890.0
2008-11-01,0.018000000000000002,0.0,158.0,9.554,53.0,85160.0
2008-12-01,0.021,0.0,184.0,8.424000000000001,46.0,75090.0
2009-01-01,0.35900000000000004,2.0,139.0,214.809,1183.0,82740.0
2009-02-01,0.41100000000000003,2.0,158.0,208.553,1149.0,80310.0
2009-03-01,0.406,2.0,156.0,209.67600000000002,1155.0,80750.0
2009-04-01,0.18,1.0,69.0,135.37900000000002,746.0,52130.0
2009-05-01,0.058,0.0,22.0,161.312,889.0,62120.0
2009-06-01,0.082,0.0,32.0,126.174,695.0,48590.0
2009-07-01,0.41800000000000004,2.0,161.0,234.692,1293.0,90380.0
2009-08-01,0.485,3.0,187.0,217.99,1201.0,83950.0
2009-09-01,0.501,3.0,193.0,216.216,1191.0,83260.0
2009-10-01,0.448,2.0,172.0,226.46900000000002,1248.0,87210.0
2009-11-01,0.425,2.0,164.0,175.262,966.0,67490.0
2009-12-01,0.462,3.0,178.0,134.183,739.0,51670.0
2013-01-01,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,,,
