measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-02-01,20782.496,203459.0,712044.0,,,,,,,12223.025,119662.0,418781.0,5030.983,49256.0,172380.0,294.351,2881.0,10083.0,4486.061000000001,43918.0,153702.0,10475.548,102561.0,358931.0
2003-03-01,21443.854,223402.0,771516.0,,,,,,,13273.747,138284.0,477561.0,5153.008,53682.0,185390.0,338.13100000000003,3526.0,12180.0,4316.529,44970.0,155304.0,9655.836000000001,100593.0,347397.0
2003-04-01,15391.0,156052.0,549972.0,,,,,,,12433.0,126059.0,444268.0,1918.0,19448.0,68540.0,322.0,3264.0,11503.0,4499.0,45620.0,160776.0,9358.0,94880.0,334382.0
2003-05-01,24461.0,293454.0,847788.0,,,,,,,11802.0,141580.0,409025.0,405.0,4855.0,14028.0,347.0,4158.0,12013.0,4492.0,53884.0,155670.0,9970.0,119610.0,345554.0
2003-06-01,21034.0,268546.0,733140.0,,,,,,,12365.0,157865.0,430976.0,586.0,7484.0,20430.0,317.0,4049.0,11052.0,4761.0,60780.0,165930.0,9544.0,121847.0,332647.0
2003-07-01,24312.0,269684.0,772716.0,,,,,,,15451.0,171396.0,491097.0,2582.0,28639.0,82056.0,175.0,1940.0,5559.0,4764.0,52849.0,151428.0,8122.0,90101.0,258163.0
2003-08-01,26194.0,341934.0,859860.0,,,,,,,14039.0,183264.0,460854.0,521.0,6804.0,17110.0,255.0,3330.0,8375.0,4744.0,61933.0,155742.0,10557.0,137807.0,346542.0
2003-09-01,23773.0,300208.0,791100.0,,,,,,,13768.0,173867.0,458171.0,428.0,5406.0,14246.0,302.0,3809.0,10036.0,4622.0,58372.0,153822.0,11347.0,143288.0,377592.0
2003-10-01,23511.0,256545.0,868680.0,,,,,,,11694.0,127603.0,432073.0,513.0,5601.0,18963.0,353.0,3856.0,13057.0,4544.0,49581.0,167886.0,10701.0,116768.0,395387.0
2003-11-01,18822.0,185842.0,751344.0,,,,,,,9849.0,97250.0,393172.0,218.0,2149.0,8686.0,280.0,2762.0,11168.0,4153.0,41002.0,165768.0,10317.0,101871.0,411854.0
2003-12-01,20008.0,190141.0,756492.0,,,,,,,12956.0,123129.0,489878.0,450.0,4275.0,17010.0,270.0,2566.0,10208.0,4898.0,46549.0,185196.0,10765.0,102308.0,407040.0
2004-01-01,20564.43339,115528.02,763032.0,,,,,,,12798.41081,71899.62,474878.0,3225.91168,18122.71,119695.68,234.09806,1315.13,8686.08,4214.42167,23676.01,156373.8,10604.60659,59575.15,393478.1
2004-02-01,21273.52417,119471.4,818976.0,,,,,,,10843.29535,60895.58,417439.0,3527.05106,19807.8,135782.4,172.71595,969.97,6649.12,3923.92431,22036.63,151061.0,10603.36505,59548.14,408202.3
2004-03-01,19304.70938,108181.71,775704.0,,,,,,,8959.21044,50206.54,360000.0,472.86713,2649.9,19000.8,330.94925,1854.61,13298.24,1331.49098,7461.55,53502.12,9284.81801,52031.21,373083.6
2004-04-01,17851.27092,100141.93,656016.0,,,,,,,12452.04625,69853.4,457600.0,757.31081,4248.36,27830.4,351.51342999999997,1971.92,12917.76,1240.49157,6958.9,45586.8,9888.47034,55472.27,363391.2
2004-05-01,18184.59492,101909.14,679603.08,,,,,,,10617.44344,59501.71,396800.0,2598.52081,14562.49,97113.12,217.98939000000001,1221.64,8146.8,3116.38876,17464.7,116467.12,7459.76546,41805.62,278789.8
2004-06-01,21842.24469,122529.1,810935.84,,,,,,,9494.45181,53261.31,352500.0,811.45161,4552.02,30126.72,413.42264,2319.19,15349.12,2636.39271,14789.45,97881.21,8662.40384,48593.75,321608.6
2004-07-01,21054.11603,117863.53,790764.0,,,,,,,10024.32418,56117.4,376500.0,266.48887,1491.84,10008.96,276.97700000000003,1550.55,10402.88,1195.48333,6692.46,44900.73,6353.70155,35568.8,238636.4
2004-08-01,22840.21681,128032.15,821532.4,,,,,,,7281.3352,40815.94,261900.0,708.16281,3969.65,25471.68,470.20911,2635.78,16912.8,2356.99072,13212.25,84777.84,8199.38952,45962.15,294921.2
2004-09-01,22030.90846,123666.37,807443.52,,,,,,,8054.46328,45212.22,295200.0,164.80872,925.12,6040.32,599.33065,3364.23,21965.76,817.92338,4591.26,29977.29,8795.4739,49371.74,322358.4
2004-10-01,22267.69397,125071.22,833410.64,,,,,,,9354.23581,52540.05,350100.0,996.6822000000001,5598.08,37302.72,851.21248,4781.02,31858.24,1647.96626,9256.15,61678.26,9088.88652,51049.66,340168.8
2004-11-01,20992.60982,117760.06,787053.76,,,,,,,7337.57623,41160.84,275100.0,3825.69222,21460.59,143432.64,825.23114,4629.21,30939.52,1151.78662,6461.06,43182.72,8713.11438,48877.05,326671.6
2004-12-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2005-01-01,21354.15997,120979.94,750816.96,,,,,,,0.0,0.0,0.0,15530.51038,87986.61,546056.16,849.73758,4814.11,29876.96,1345.24585,7621.36,47299.14,11088.58822,62821.33,389877.2
2005-02-01,19232.27068,108958.58,749255.44,,,,,,,0.0,0.0,0.0,12801.86745,72527.75,498738.24,630.64449,3572.86,24568.8,717.36888,4064.18,27947.43,10230.25649,57958.53,398552.8
2005-03-01,23980.57248,135859.62,843697.6,,,,,,,0.0,0.0,0.0,15384.79666,87161.08,541276.32,714.94086,4050.43,25153.44,183.88294,1041.77,6469.47,10966.88106,62131.81,385842.8
2005-04-01,14173.57323,80299.02,510760.08,,,,,,,0.0,0.0,0.0,9495.04272,53793.25,342164.16,983.9826,5574.66,35458.88,1666.88421,9443.57,60067.98,8549.95224,48438.93,308106.8
2005-05-01,17681.56424,100173.2,510760.08,,,,,,,0.0,0.0,0.0,11845.08698,67107.2,342164.16,1227.52049,6954.4,35458.88,2079.44177,11780.88,60067.98,10666.08451,60427.68,308106.8
2005-06-01,18361.68533,104026.36,655468.88,,,,,,,0.0,0.0,0.0,8464.06144,47952.33,302147.04,922.86206,5228.39,32944.0,2337.87791,13245.02,83456.73,9717.98626,55056.32,346909.2
2005-07-01,19493.536200000002,110438.75,708965.84,,,,,,,0.0,0.0,0.0,11164.27987,63250.15,406036.8,603.9647,3421.7,21965.76,1977.6018000000001,11203.91,71923.95,6565.09043,37193.89,238767.6
2005-08-01,22989.524,130244.94,667520.0,,,,,,,0.0,0.0,0.0,15011.02954,85043.54,435857.76,581.20184,3292.74,16875.68,726.81708,4117.71,21103.74,10405.10154,58949.1,302120.8
2005-09-01,27811.4121,157562.88,1030150.24,,,,,,,0.0,0.0,0.0,11570.94861,65554.1,428594.4,401.48423,2274.57,14871.2,1846.5491000000002,10461.45,68397.21,8893.67797,50386.28,329426.8
2005-10-01,21341.63909,120909.0,675172.64,,,,,,,0.0,0.0,0.0,11624.99889,65860.31,367773.12,430.7595,2440.43,13627.68,3694.88053,20932.99,116892.72,11269.80299,63847.98,356536.0
2005-11-01,19551.70192,110768.29,657423.76,,,,,,,0.0,0.0,0.0,11329.09456,64183.9,380939.52,411.7712,2332.85,13845.76,2670.51577,15129.55,89795.79,9318.64555,52793.89,313338.4
2005-12-01,21861.42645,123853.81,724890.96,,,,,,,0.0,0.0,0.0,14551.39783,82439.54,482501.76,317.09084,1796.45,10514.24,2022.38329,11457.62,67059.09,11259.45359,63789.35,373346.0
2006-01-01,19945.6334,113000.07,722292.4,,,,,,,0.0,0.0,0.0,12416.9129,70346.82,449654.4,756.99542,4288.68,27413.12,1191.5232,6750.46,43148.7,10851.34508,61477.25,392960.4
2006-02-01,18513.90762,104888.76,684053.04,,,,,,,0.0,0.0,0.0,11989.36546,67924.6,442983.84,669.22478,3791.43,24726.56,1857.61696,10524.15,68635.35,9380.67017,53145.28,346597.6
2006-03-01,21274.00395,120525.83,782369.2,,,,,,,0.0,0.0,0.0,12050.26598,68269.62,443158.56,760.67782,4309.55,27974.56,1230.181,6969.47,45240.93,10814.16724,61266.63,397700.0
2006-04-01,17003.22469,96330.13,605965.12,,,,,,,0.0,0.0,0.0,11082.3229,62785.83,394954.56,952.52272,5396.43,33946.24,830.3363,4704.19,29591.73,9600.73038,54392.01,342153.2
2006-05-01,17136.32157,97084.18,637731.92,,,,,,,0.0,0.0,0.0,10500.71114,59490.77,390786.24,642.47698,3639.89,23909.92,1774.19765,10051.55,66027.15,7649.32266,43336.5,284671.2
2006-06-01,23766.61117,134647.45,800284.96,,,,,,,0.0,0.0,0.0,10751.52203,60911.71,362032.32,730.32549,4137.59,24592.0,1108.98939,6282.87,37342.62,8490.11692,48099.94,285884.8
2006-07-01,24563.9415,139164.64,818784.8,,,,,,,0.0,0.0,0.0,10587.26733,59981.14,352903.2,723.85171,4100.91,24128.0,1478.53313,8376.49,49283.64,8239.16533,46678.2,274634.4
2006-08-01,20877.70421,118280.62,753785.04,,,,,,,0.0,0.0,0.0,8792.39448,49812.46,317447.52,501.20779,2839.54,18096.0,2156.82708,12219.3,77871.78,7141.00344,40456.67,257824.4
