measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2002-01-01,,,,8.95,97.0,97.0,18.811,204.0,204.0,12218.808,131976.0,131976.0
2002-02-01,,,,7.807,84.0,84.0,16.409000000000002,178.0,178.0,10658.66,115125.0,115125.0
2002-03-01,,,,9.919,107.0,107.0,20.847,226.0,226.0,13541.432,146261.0,146261.0
2002-04-01,,,,8.0,87.0,87.0,16.813000000000002,182.0,182.0,10921.187,117960.0,117960.0
2002-05-01,,,,8.295,90.0,90.0,17.433,189.0,189.0,11323.76,122308.0,122308.0
2002-06-01,,,,10.767000000000001,116.0,116.0,22.63,245.0,245.0,14699.668000000001,158772.0,158772.0
2002-07-01,,,,13.001000000000001,141.0,141.0,27.323,296.0,296.0,17748.422,191701.0,191701.0
2002-08-01,,,,12.377,134.0,134.0,26.013,281.0,281.0,16897.32,182509.0,182509.0
2002-09-01,,,,11.158000000000001,121.0,121.0,23.451,254.0,254.0,15233.335,164536.0,164536.0
2002-10-01,,,,9.458,102.0,102.0,19.879,215.0,215.0,12912.53,139469.0,139469.0
2002-11-01,,,,8.712,94.0,94.0,18.311,198.0,198.0,11894.131,128469.0,128469.0
2002-12-01,,,,9.554,103.0,103.0,20.081,217.0,217.0,13043.748,140886.0,140886.0
2003-01-01,,,,8.936,105.0,105.0,12.999,153.0,153.0,11496.751,134663.0,134663.0
2003-02-01,,,,8.245,97.0,97.0,11.993,141.0,141.0,10607.418,124246.0,124246.0
2003-03-01,,,,9.089,106.0,106.0,13.221,155.0,155.0,11693.398000000001,136966.0,136966.0
2003-04-01,,,,8.596,101.0,101.0,12.503,147.0,147.0,11058.277,129527.0,129527.0
2003-05-01,,,,9.842,115.0,115.0,14.315,168.0,168.0,12661.538,148306.0,148306.0
2003-06-01,,,,10.254000000000001,120.0,120.0,14.915,175.0,175.0,13192.057,154520.0,154520.0
2003-07-01,,,,13.166,154.0,154.0,19.15,225.0,225.0,16937.403,198390.0,198390.0
2003-08-01,,,,12.369,145.0,145.0,17.991,211.0,211.0,15912.096000000001,186380.0,186380.0
2003-09-01,,,,11.303,132.0,132.0,16.44,193.0,193.0,14540.641,170316.0,170316.0
2003-10-01,,,,10.637,125.0,125.0,15.472000000000001,182.0,182.0,13684.025,160283.0,160283.0
2003-11-01,,,,9.004,105.0,105.0,13.097000000000001,154.0,154.0,11583.525,135679.0,135679.0
2003-12-01,,,,9.56,112.0,112.0,13.905,163.0,163.0,12298.872,144058.0,144058.0
2004-01-01,,,,0.695,8.0,8.0,8.001000000000001,91.0,91.0,12630.586,144271.0,144271.0
2004-02-01,,,,2.125,24.0,24.0,9.978,114.0,114.0,10826.586,123665.0,123665.0
2004-03-01,,,,1.258,14.0,14.0,12.664000000000001,145.0,145.0,13044.217,148996.0,148996.0
2004-04-01,,,,37.6,428.0,428.0,12.13,139.0,139.0,9464.564,108108.0,108108.0
2004-05-01,,,,52.802,601.0,601.0,13.811,158.0,158.0,11560.717,132051.0,132051.0
2004-06-01,,,,1.209,14.0,14.0,11.931000000000001,136.0,136.0,15343.342,175258.0,175258.0
2004-07-01,,,,2.676,30.0,30.0,22.935,262.0,262.0,14992.929,171255.0,171255.0
2004-08-01,,,,12.729000000000001,145.0,145.0,21.461000000000002,245.0,245.0,15797.072,180440.0,180440.0
2004-09-01,,,,42.108000000000004,480.0,480.0,19.178,219.0,219.0,14252.078000000001,162793.0,162793.0
2004-10-01,,,,1.062,12.0,12.0,13.737,157.0,157.0,10525.315,120224.0,120224.0
2004-11-01,,,,4.2330000000000005,48.0,48.0,13.564,155.0,155.0,12949.413,147913.0,147913.0
2004-12-01,,,,6.502000000000001,74.0,74.0,11.611,133.0,133.0,13563.18,154924.0,154924.0
2005-01-01,,,,13.511000000000001,151.32,151.32,,,,14317.53,160518.88,160518.88
2005-02-01,,,,3.297,36.93,36.93,,,,11897.193,133383.63,133383.63
2005-03-01,,,,4.711,52.76,52.76,,,,14296.343,160281.32,160281.32
2005-04-01,,,,3.869,43.34,43.34,,,,11272.837,126383.74,126383.74
2005-05-01,,,,4.001,44.81,44.81,,,,13279.981,148886.53,148886.53
2005-06-01,,,,3.5,39.2,39.2,,,,13579.784,152247.73,152247.73
2005-07-01,,,,10.21,114.35,114.35,,,,14185.92,159043.33,159043.33
2005-08-01,,,,12.358,138.42,138.42,,,,15298.408,171515.85,171515.85
2005-09-01,,,,10.203000000000001,114.28,114.28,,,,15295.804,171486.64,171486.64
