measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,35.0,461.0,461.0,29393.0,392864.0,392864.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,5574.0,86825.0,86825.0,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.0,12541.0,183828.0,183828.0,0.0,0.0,0.0
2001-04-01,7.0,544.0,544.0,66685.0,963671.0,963671.0,0.0,0.0,0.0
2001-05-01,0.0,0.0,0.0,51181.0,701257.0,701257.0,0.0,0.0,0.0
2001-06-01,11.0,130.0,130.0,54761.0,750308.0,750308.0,0.0,0.0,0.0
2001-07-01,52.0,1697.0,1697.0,79386.0,1023952.0,1023952.0,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.0,92057.0,1193487.0,1193487.0,0.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,52508.0,682471.0,682471.0,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,25092.0,322845.0,322845.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,4106.0,70158.0,70158.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,18934.0,239598.0,239598.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,12186.0,189887.0,189887.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,36669.0,570489.0,570489.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,50420.0,676276.0,676276.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,39018.0,554391.0,554391.0,0.0,0.0,0.0
2002-06-01,12.0,145.0,145.0,48785.0,658830.0,658830.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,65335.0,880657.0,880657.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,48954.0,619476.0,619476.0,0.0,0.0,0.0
2002-09-01,18.0,441.0,441.0,51038.0,664481.0,664481.0,0.0,0.0,0.0
2002-10-01,-9.0,0.0,0.0,29690.0,379502.0,379502.0,0.0,0.0,0.0
2002-11-01,5.0,64.0,64.0,8888.0,115577.0,115577.0,0.0,0.0,0.0
2002-12-01,9.0,145.0,145.0,14662.0,240868.0,240868.0,0.0,0.0,0.0
2003-01-01,0.0,0.0,0.0,32927.0,501235.0,501235.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,16145.0,231305.0,231305.0,0.0,0.0,0.0
2003-03-01,4.5,84.0,84.0,1248.0,24435.0,24435.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,8474.0,144401.0,144401.0,0.0,0.0,0.0
2003-05-01,7.5,124.5,124.5,39801.0,546593.0,546593.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,33090.0,447972.0,447972.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,30217.0,426231.0,426231.0,0.0,0.0,0.0
2003-08-01,-3.0,0.0,0.0,29478.0,430193.0,430193.0,0.0,0.0,0.0
2003-09-01,-3.5,0.0,0.0,28097.0,404724.0,404724.0,0.0,0.0,0.0
2003-10-01,-1.0,0.0,0.0,4820.0,78390.0,78390.0,0.0,0.0,0.0
2003-11-01,2.5,55.0,55.0,12627.0,181292.0,181292.0,0.0,0.0,0.0
2003-12-01,-2.5,0.0,0.0,14986.0,218276.0,218276.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,18094.0,270954.0,270954.0,0.0,0.0,0.0
2004-02-01,2.0,98.5,98.5,14094.0,205331.0,205331.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-199.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,16703.0,268403.0,268403.0,0.0,0.0,0.0
2004-05-01,5.5,75.5,75.5,30408.0,439130.0,439130.0,0.0,0.0,0.0
2004-06-01,5.5,81.0,81.0,28875.0,419469.0,419469.0,0.0,0.0,0.0
2004-07-01,1.5,52.0,52.0,29667.0,435758.0,435758.0,0.0,0.0,0.0
2004-08-01,-0.5,58.0,58.0,29529.0,432509.0,432509.0,0.0,0.0,0.0
2004-09-01,5.0,75.5,75.5,20115.0,297330.0,297330.0,0.0,0.0,0.0
2004-10-01,-3.5,0.0,0.0,7313.0,114499.0,114499.0,0.0,0.0,0.0
2004-11-01,-0.5,58.0,58.0,-248.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,1.0,18.0,18.0,11413.0,174700.0,174700.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,6854.0,112073.82,112073.82,,,
2005-02-01,-141.0,55.1,55.1,0.0,0.0,0.0,,,
2005-03-01,1.0,55.1,55.1,-283.0,0.0,0.0,,,
2005-04-01,2.5,55.1,55.1,384.0,9396.02,9396.02,,,
2005-05-01,3.5,55.1,55.1,12296.0,188704.06,188704.06,,,
2005-06-01,0.0,0.0,0.0,26973.0,391233.16,391233.16,,,
2005-07-01,5.0,66.7,66.7,33416.0,472021.52,472021.52,,,
2005-08-01,2.0,116.0,116.0,36450.0,505574.23,505574.23,,,
2005-09-01,2.5,63.8,63.8,35919.0,516326.11,516326.11,,,
2005-10-01,10.0,130.5,130.5,41664.0,550049.72,550049.72,,,
2005-11-01,1.0,11.6,11.6,13515.0,202420.48,202420.48,,,
2005-12-01,-1.0,0.0,0.0,0.0,0.0,0.0,,,
2006-01-01,3.0,72.5,72.5,0.0,0.0,0.0,,,
2006-02-01,10.0,191.5,191.5,0.0,0.0,0.0,,,
2006-03-01,1.5,37.5,37.5,6496.0,96177.0,96177.0,,,
2006-04-01,4.0,66.5,66.5,7076.0,121114.0,121114.0,,,
2006-05-01,0.0,0.0,0.0,24095.0,355243.0,355243.0,,,
2006-06-01,0.0,0.0,0.0,22529.0,366244.0,366244.0,,,
2006-07-01,0.0,0.0,0.0,39330.0,546097.0,546097.0,,,
2006-08-01,0.0,0.0,0.0,40701.0,591658.0,591658.0,,,
2006-09-01,0.0,0.0,0.0,3308.0,53829.0,53829.0,,,
2006-10-01,0.0,0.0,0.0,0.0,876.0,876.0,,,
2006-11-01,5.5,116.0,116.0,1774.0,37418.0,37418.0,,,
2006-12-01,0.0,0.0,0.0,11159.0,196690.0,196690.0,,,
2007-01-01,16.968,223.5,223.5,29993.064,394708.0,394708.0,,,
2007-02-01,4.9725,75.5,75.5,26583.055,403100.0,403100.0,,,
2007-03-01,3.5220000000000002,61.0,61.0,4889.956,84557.0,84557.0,,,
2007-04-01,0.0,69.5,69.5,5404.0,96160.0,96160.0,,,
2007-05-01,0.0,20.5,20.5,8196.0,141675.0,141675.0,,,
2007-06-01,0.0,49.5,49.5,23324.0,389752.0,389752.0,,,
2007-07-01,0.0,55.0,55.0,19592.0,340569.0,340569.0,,,
2007-08-01,0.0,235.0,235.0,25691.0,420056.0,420056.0,,,
2007-09-01,2.5,55.0,55.0,16547.0,252355.0,252355.0,,,
2007-10-01,0.0,14.5,14.5,0.0,0.0,0.0,,,
2007-11-01,-167.0,81.0,81.0,0.0,0.0,0.0,,,
2007-12-01,-230.5,43.5,43.5,0.0,0.0,0.0,,,
2008-01-01,-2.0,157.0,157.0,6828.0,110847.0,110847.0,,,
2008-02-01,2.7920000000000003,255.0,255.0,-170.396,238.0,238.0,,,
2008-03-01,2.0,87.0,87.0,-351.0,0.0,0.0,,,
2008-04-01,2.0,81.0,81.0,4382.0,75751.0,75751.0,,,
2008-05-01,3.0,110.0,110.0,9855.0,154071.0,154071.0,,,
2008-06-01,4.0,81.0,81.0,10118.0,151753.0,151753.0,,,
2008-07-01,2.0,81.0,81.0,19661.0,280266.0,280266.0,,,
2008-08-01,6.0,197.0,197.0,12752.0,193701.0,193701.0,,,
2008-09-01,3.0,93.0,93.0,18692.0,307686.0,307686.0,,,
2008-10-01,2.94,110.0,110.0,11724.0,153249.0,153249.0,,,
2008-11-01,-1.0,128.0,128.0,-284.0,0.0,0.0,,,
2008-12-01,-5.0,110.0,110.0,1668.0,32323.0,32323.0,,,
2009-01-01,-4.0,110.0,110.0,599.0,16783.0,16783.0,,,
2009-02-01,-1.0,644.0,644.0,668.0,16873.0,16873.0,,,
2009-03-01,-3.0,81.0,81.0,-274.0,0.0,0.0,,,
2009-04-01,-1.0,81.0,81.0,-206.0,0.0,0.0,,,
2009-05-01,1.0,110.0,110.0,4357.0,78472.0,78472.0,,,
2009-06-01,4.0,139.0,139.0,19995.0,328613.0,328613.0,,,
2009-07-01,3.0,128.0,128.0,21603.0,350507.0,350507.0,,,
2009-08-01,-5.0,41.0,41.0,21531.0,348945.0,348945.0,,,
2009-09-01,-3.0,41.0,41.0,4968.0,67144.0,67144.0,,,
2009-10-01,9.0,249.0,249.0,-236.0,0.0,0.0,,,
2009-11-01,1.0,116.0,116.0,-268.0,0.0,0.0,,,
2009-12-01,-5.0,249.0,249.0,-320.0,0.0,0.0,,,
2010-01-01,-6.0,236.0,236.0,4757.0,85226.0,85226.0,,,
2010-02-01,-5.0,0.0,0.0,9645.0,163603.0,163603.0,,,
2010-03-01,-6.0,254.0,254.0,-291.0,0.0,0.0,,,
2010-04-01,-4.0,124.0,124.0,15674.0,181019.0,181019.0,,,
2010-05-01,2.0,0.0,0.0,28909.0,424637.0,424637.0,,,
2010-06-01,2.0,0.0,0.0,20332.0,321797.0,321797.0,,,
2010-07-01,2.0,708.0,708.0,22189.0,360023.0,360023.0,,,
2010-08-01,2.0,118.0,118.0,25991.0,402054.0,402054.0,,,
