measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Generation","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,5.947,68.0,68.0,0.0,0.0,0.0
2003-02-01,4.979,57.0,57.0,0.0,0.0,0.0
2003-03-01,5.577,64.0,64.0,0.0,0.0,0.0
2003-04-01,4.902,56.0,56.0,0.0,0.0,0.0
2003-05-01,4.841,55.0,55.0,0.0,0.0,0.0
2003-06-01,5.448,62.0,62.0,0.0,0.0,0.0
2003-07-01,5.93,68.0,68.0,0.0,0.0,0.0
2003-08-01,6.159000000000001,70.0,70.0,0.0,0.0,0.0
2003-09-01,5.364,61.0,61.0,0.0,0.0,0.0
2003-10-01,5.676,65.0,65.0,0.0,0.0,0.0
2003-11-01,4.797000000000001,55.0,55.0,0.0,0.0,0.0
2003-12-01,5.381,61.0,61.0,0.0,0.0,0.0
2004-01-01,0.893,10.0,10.0,,,
2004-02-01,0.448,5.0,5.0,,,
2004-03-01,4.99,59.0,59.0,,,
2004-04-01,7.0840000000000005,83.0,83.0,,,
2004-05-01,12.404,146.0,146.0,,,
2004-06-01,3.975,47.0,47.0,,,
2004-07-01,4.329000000000001,51.0,51.0,,,
2004-08-01,12.466000000000001,147.0,147.0,,,
2004-09-01,3.257,38.0,38.0,,,
2004-10-01,4.783,56.0,56.0,,,
2004-11-01,0.865,10.0,10.0,,,
2004-12-01,0.507,6.0,6.0,,,
2005-01-01,7.738,91.01,91.01,,,
2005-02-01,1.7810000000000001,20.95,20.95,,,
2005-03-01,1.528,17.98,17.98,,,
2005-04-01,1.5290000000000001,17.99,17.99,,,
2005-05-01,1.542,18.13,18.13,,,
2005-06-01,1.868,21.97,21.97,,,
2005-07-01,3.5380000000000003,41.6,41.6,,,
2005-08-01,3.133,36.84,36.84,,,
2005-09-01,1.743,20.5,20.5,,,
2005-10-01,2.444,28.75,28.75,,,
2005-11-01,1.6460000000000001,19.36,19.36,,,
2005-12-01,4.508,53.02,53.02,,,
2006-01-01,19.744,229.0,229.0,,,
2006-02-01,10.331000000000001,120.0,120.0,,,
2006-03-01,8.679,101.0,101.0,,,
2006-04-01,16.624000000000002,193.0,193.0,,,
2006-05-01,15.539000000000001,181.0,181.0,,,
2006-06-01,14.124,164.0,164.0,,,
2006-07-01,20.459,238.0,238.0,,,
2006-08-01,19.845,231.0,231.0,,,
2006-09-01,9.117,106.0,106.0,,,
2006-10-01,9.631,112.0,112.0,,,
2006-11-01,11.341000000000001,132.0,132.0,,,
2006-12-01,12.565,146.0,146.0,,,
2007-01-01,20.336000000000002,306.0,306.0,,,
2007-02-01,45.171,676.0,676.0,,,
2007-03-01,12.237,182.0,182.0,,,
2007-04-01,11.861,176.0,176.0,,,
2007-05-01,13.324,200.0,200.0,,,
2007-06-01,37.841,570.0,570.0,,,
2007-07-01,23.543000000000003,353.0,353.0,,,
2007-08-01,18.308,276.0,276.0,,,
2007-09-01,12.981,194.0,194.0,,,
2007-10-01,21.177,318.0,318.0,,,
2007-11-01,12.596,188.0,188.0,,,
