measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,4494.0,81848.0,81848.0,,,
2003-02-01,8361.0,98487.0,98487.0,,,
2003-03-01,9515.0,123259.0,123259.0,,,
2003-04-01,44488.0,507486.0,507486.0,,,
2003-05-01,31240.0,360407.0,360407.0,,,
2003-06-01,12230.0,177078.0,177078.0,,,
2003-07-01,86118.0,996992.0,996992.0,,,
2003-08-01,83713.0,983459.0,983459.0,,,
2003-09-01,60011.0,766058.0,766058.0,,,
2003-10-01,76936.0,819984.0,819984.0,,,
2003-11-01,47874.0,505847.0,505847.0,,,
2003-12-01,6668.0,97906.0,97906.0,,,
2004-01-01,-334.0,0.0,0.0,,,
2004-02-01,-375.0,0.0,0.0,,,
2004-03-01,35084.0,450270.0,450270.0,,,
2004-04-01,-1023.0,3220.0,3220.0,,,
2004-05-01,22385.0,320799.0,320799.0,,,
2004-06-01,30901.0,380251.0,380251.0,,,
2004-07-01,-606.0,334.0,334.0,,,
2004-08-01,11659.0,166167.0,166167.0,,,
2004-09-01,5819.0,71724.0,71724.0,,,
2004-10-01,31510.0,389039.0,389039.0,,,
2004-11-01,3513.0,39464.0,39464.0,,,
2004-12-01,-483.0,0.0,0.0,,,
2005-01-01,0.0,0.0,0.0,-453.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,-324.0,0.0,0.0
2005-03-01,25198.0,339166.87,339166.87,0.0,0.0,0.0
2005-04-01,8333.0,112004.05,112004.05,0.0,0.0,0.0
2005-05-01,8017.0,116781.84,116781.84,0.0,0.0,0.0
2005-06-01,30268.0,360935.97,360935.97,0.0,0.0,0.0
2005-07-01,9685.0,119492.78,119492.78,0.0,0.0,0.0
2005-08-01,13673.0,188389.77,188389.77,0.0,0.0,0.0
2005-09-01,41102.0,393028.3,393028.3,0.0,0.0,0.0
2005-10-01,38546.0,430024.04,430024.04,0.0,0.0,0.0
2005-11-01,20799.0,243634.75,243634.75,0.0,0.0,0.0
2005-12-01,687.0,25518.5,25518.5,0.0,0.0,0.0
2006-01-01,-221.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,-192.0,0.0,0.0
2006-03-01,4516.0,84580.0,84580.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,11825.0,160204.0,160204.0,-137.0,0.0,0.0
2006-06-01,1229.0,34158.0,34158.0,0.0,0.0,0.0
2006-07-01,-452.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,-1012.0,2795.0,2795.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,3821.0,56068.0,56068.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0
