measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,691587.0,6787780.0,6787780.0,3112.0,30159.0,30159.0,,,,171182.0,1451298.0,1451298.0
2003-02-01,587832.0,5818006.0,5818006.0,2402.0,23279.0,23279.0,,,,150364.0,1280325.0,1280325.0
2003-03-01,413422.0,4270287.0,4270287.0,3202.0,32387.0,32387.0,,,,31112.0,276470.0,276470.0
2003-04-01,632076.0,5977330.0,5977330.0,6586.0,64500.0,64500.0,,,,154353.0,1282261.0,1282261.0
2003-05-01,679612.0,6687510.0,6687510.0,2722.0,26721.0,26721.0,,,,132260.0,1119669.0,1119669.0
2003-06-01,712290.0,7015052.0,7015052.0,1678.0,16358.0,16358.0,,,,163748.0,1387411.0,1387411.0
2003-07-01,484862.0,4944272.0,4944272.0,4185.0,43102.0,43102.0,,,,179889.0,1578139.0,1578139.0
2003-08-01,504865.0,5128851.0,5128851.0,3474.0,35420.0,35420.0,,,,171694.0,1494369.0,1494369.0
2003-09-01,539021.0,5181486.0,5181486.0,6577.0,63452.0,63452.0,,,,130291.0,1077505.0,1077505.0
2003-10-01,460782.0,4441434.0,4441434.0,6283.0,60283.0,60283.0,,,,181274.0,1503211.0,1503211.0
