measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,38281.05,448379.0,448379.0,9798.94,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,31713.18,371080.0,371080.0,7675.61,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,30489.0,331930.0,331930.0,6903.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,38736.0,406563.0,406563.0,9894.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,37369.0,283299.0,283299.0,10499.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,41182.32,429938.0,429938.0,10784.46,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,41225.97,423496.0,423496.0,10344.08,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,43689.77,382621.0,461619.0,11755.43,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,39895.13,424460.0,424460.0,10531.29,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,41523.76,441066.0,441066.0,11318.93,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,35444.0,355036.0,374214.0,8836.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,34411.0,379782.0,379782.0,8125.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,35639.871,352962.63,384693.89,8168.285000000001,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,36998.009,360670.46,399353.52,7766.809,0.0,0.0
