measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,11850.3,207982.5,207982.5,9695.7,170167.5,170167.5
2003-02-01,,,,10179.95,184228.0,184228.0,8329.05,150732.0,150732.0
2003-03-01,0.0,0.0,0.0,9914.3,183480.0,183480.0,8111.7,150120.0,150120.0
2003-04-01,0.0,0.0,0.0,11550.0,208417.0,208417.0,9450.0,170523.0,170523.0
2003-05-01,,,,11161.9167,216287.5,216287.5,9132.4773,176962.5,176962.5
2003-06-01,0.0,0.0,0.0,10442.1075,212613.5,212613.5,8543.5425,173956.5,173956.5
2003-07-01,0.0,0.0,0.0,5562.7,151970.5,151970.5,4551.3,124339.5,124339.5
2003-08-01,0.0,0.0,0.0,11995.5,207339.0,207339.0,9814.5,169641.0,169641.0
2003-09-01,0.0,0.0,0.0,11557.15,199413.5,199413.5,9455.85,163156.5,163156.5
2003-10-01,0.0,0.0,0.0,12012.0,180411.0,180411.0,9828.0,147609.0,147609.0
2003-11-01,0.0,0.0,0.0,11037.4,168828.0,168828.0,9030.6,138132.0,138132.0
2003-12-01,0.0,0.0,0.0,12594.45,208213.5,208213.5,10304.55,170356.5,170356.5
2004-01-01,0.0,0.0,0.0,8496.4,158186.6,158186.6,6951.6,129425.4,129425.4
2004-02-01,0.0,0.0,0.0,12009.8,207309.85,207309.85,9826.2,169617.15,169617.15
2004-03-01,0.0,0.0,0.0,8202.7,150287.5,150287.5,6711.3,122962.5,122962.5
2004-04-01,0.0,0.0,0.0,11573.1,199273.25,199273.25,9468.9,163041.75,163041.75
2004-05-01,0.0,0.0,0.0,11663.3,209357.5,209357.5,9542.7,171292.5,171292.5
2004-06-01,0.0,0.0,0.0,11892.1,203649.05,203649.05,9729.9,166621.95,166621.95
2004-07-01,0.0,0.0,0.0,11674.85,225722.75,225722.75,9552.15,184682.25,184682.25
2004-08-01,0.0,0.0,0.0,12222.1,233793.45,233793.45,9999.9,191285.55,191285.55
2004-09-01,0.0,0.0,0.0,11115.5,202922.5,202922.5,9094.5,166027.5,166027.5
2004-10-01,0.0,0.0,0.0,10988.45,198014.85,198014.85,8990.55,162012.15,162012.15
2004-11-01,0.0,0.0,0.0,12185.25,215472.4,215472.4,9969.75,176295.6,176295.6
2004-12-01,0.0,0.0,0.0,12681.9,223316.5,223316.5,10376.1,182713.5,182713.5
2005-01-01,,,,11080.16,202011.26,202011.26,8705.84,158723.14,158723.14
2005-02-01,,,,11679.92,207357.7,207357.7,9177.08,162923.9,162923.9
2005-03-01,,,,12108.32,224084.22,224084.22,9513.68,176066.18,176066.18
2005-04-01,,,,7119.28,142932.61,142932.61,5593.72,112304.19,112304.19
2005-05-01,,,,12434.8,227403.9,227403.9,9770.2,178674.5,178674.5
2005-06-01,,,,11998.0,221079.04,221079.04,9427.0,173704.96,173704.96
2005-07-01,,,,11456.48,227130.18,227130.18,9001.52,178459.42,178459.42
2005-08-01,,,,11211.76,207118.91,207118.91,8809.24,162736.29,162736.29
2005-09-01,,,,13390.16,238446.21,238446.21,10520.84,187350.59,187350.59
2005-10-01,,,,12348.0,222453.5,222453.5,9702.0,174784.9,174784.9
2005-11-01,,,,11456.48,202803.33,202803.33,9001.52,159345.47,159345.47
2005-12-01,,,,12950.0,228883.2,228883.2,10175.0,179836.8,179836.8
