measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2021-01-01,24.428,342.0,342.0
2021-02-01,23.757,334.0,334.0
2021-03-01,18.515,260.0,260.0
2021-04-01,21.091,296.0,296.0
2021-05-01,24.141,340.0,340.0
2021-06-01,32.861,462.0,462.0
2021-07-01,36.201,509.0,509.0
2021-08-01,36.917,518.0,518.0
2021-09-01,31.196,438.0,438.0
2021-10-01,26.397,371.0,371.0
2021-11-01,21.712,305.0,305.0
2021-12-01,22.784,320.0,320.0
2022-01-01,23.947,318.0,318.0
2022-02-01,21.319,284.0,284.0
2022-03-01,16.977,227.0,227.0
2022-04-01,17.697,236.0,236.0
2022-05-01,26.143,349.0,349.0
2022-06-01,31.824,425.0,425.0
2022-07-01,37.501,500.0,500.0
2022-08-01,37.696,503.0,503.0
2022-09-01,31.776,424.0,424.0
2022-10-01,24.558,328.0,328.0
2022-11-01,23.018,307.0,307.0
2022-12-01,25.544,341.0,341.0
2023-01-01,24.823,330.0,330.0
2023-02-01,23.413,312.0,312.0
2023-03-01,23.107,308.0,308.0
2023-04-01,22.316,298.0,298.0
2023-05-01,31.861,425.0,425.0
2023-06-01,36.805,491.0,491.0
2023-07-01,40.364,538.0,538.0
2023-08-01,44.427,593.0,593.0
2023-09-01,37.427,499.0,499.0
2023-10-01,27.626,368.0,368.0
2023-11-01,25.614,342.0,342.0
2023-12-01,27.217,362.0,362.0
2024-01-01,21.342,305.0,305.0
2024-02-01,14.735,211.0,211.0
2024-03-01,16.721,240.0,240.0
2024-04-01,15.71,224.0,224.0
2024-05-01,20.99,301.0,301.0
2024-06-01,23.68,340.0,340.0
2024-07-01,25.597,367.0,367.0
2024-08-01,28.922,414.0,414.0
2024-09-01,23.998,343.0,343.0
2024-10-01,20.787,298.0,298.0
2024-11-01,16.653,239.0,239.0
2024-12-01,17.865,256.0,256.0
