measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,,,,1488.0,22695.0,22695.0,,,
2003-03-01,,,,,,,,,,367.0,5307.0,5307.0,,,
2003-04-01,,,,,,,,,,1958.0,17529.0,17529.0,,,
2003-05-01,,,,,,,,,,,,,0.0,0.0,0.0
2003-06-01,,,,,,,,,,2117.0,26683.0,26683.0,0.0,0.0,0.0
2003-07-01,,,,,,,,,,7381.0,106754.0,106754.0,0.0,0.0,0.0
2003-08-01,,,,,,,,,,10127.0,144903.0,144903.0,0.0,0.0,0.0
2003-09-01,,,,,,,,,,2616.0,43456.0,43456.0,0.0,0.0,0.0
2003-10-01,,,,,,,,,,170.0,4315.0,4315.0,0.0,0.0,0.0
2003-11-01,,,,,,,,,,988.0,9740.0,9740.0,0.0,0.0,0.0
2003-12-01,,,,,,,,,,,,,0.0,0.0,0.0
2004-01-01,,,,,,,,,,27240.929,394670.0,394670.0,0.0,0.0,0.0
2004-02-01,,,,,,,,,,1632.757,23656.0,23656.0,0.0,0.0,0.0
2004-03-01,,,,,,,,,,140.036,2029.0,2029.0,0.0,0.0,0.0
2004-04-01,,,,,,,,,,239.352,3468.0,3468.0,0.0,0.0,0.0
2004-05-01,,,,,,,,,,804.461,11655.0,11655.0,0.0,0.0,0.0
2004-06-01,,,,,,,,,,457.351,6626.0,6626.0,0.0,0.0,0.0
2004-07-01,,,,,,,,,,190.19,2756.0,2756.0,0.0,0.0,0.0
2004-08-01,,,,,,,,,,1089.002,15778.0,15778.0,0.0,0.0,0.0
2004-09-01,,,,,,,,,,176.286,2554.0,2554.0,0.0,0.0,0.0
2004-10-01,,,,,,,,,,44.692,648.0,648.0,0.0,0.0,0.0
2004-11-01,,,,,,,,,,33.271,482.0,482.0,0.0,0.0,0.0
2004-12-01,,,,,,,,,,4912.673000000001,71175.0,71175.0,0.0,0.0,0.0
2005-01-01,,,,,,,,,,6496.66,97109.99,97109.99,,,
2005-02-01,,,,,,,,,,1495.403,22352.81,22352.81,,,
2005-03-01,,,,,,,,,,1283.235,19181.39,19181.39,,,
2005-04-01,,,,,,,,,,1283.963,19192.27,19192.27,,,
2005-05-01,,,,,,,,,,1294.549,19350.51,19350.51,,,
2005-06-01,,,,,,,,,,1568.169,23440.49,23440.49,,,
2005-07-01,,,,,,,,,,2969.934,44393.63,44393.63,,,
2005-08-01,,,,,,,,,,2630.4970000000003,39319.82,39319.82,,,
2005-09-01,,,,,,,,,,1463.67,21878.47,21878.47,,,
2005-10-01,,,,,,,,,,2052.088,30673.95,30673.95,,,
2005-11-01,,,,,,,,,,1381.7930000000001,20654.6,20654.6,,,
2005-12-01,,,,,,,,,,3785.038,56577.54,56577.54,,,
2006-01-01,,,,,,,,,,250.79700000000003,4345.0,4345.0,,,
2006-02-01,,,,,,,,,,131.234,2274.0,2274.0,,,
2006-03-01,,,,,,,,,,110.238,1910.0,1910.0,,,
2006-04-01,,,,,,,,,,211.165,3659.0,3659.0,,,
2006-05-01,,,,,,,,,,197.386,3420.0,3420.0,,,
2006-06-01,,,,,,,,,,179.41,3108.0,3108.0,,,
2006-07-01,,,,,,,,,,259.88,4503.0,4503.0,,,
2006-08-01,,,,,,,,,,252.083,4368.0,4368.0,,,
2006-09-01,,,,,,,,,,115.811,2007.0,2007.0,,,
2006-10-01,,,,,,,,,,122.334,2120.0,2120.0,,,
2006-11-01,,,,,,,,,,144.05200000000002,2496.0,2496.0,,,
2006-12-01,,,,,,,,,,159.61100000000002,2765.0,2765.0,,,
2007-01-01,,,,,,,160.839,2620.0,2620.0,,,,,,
2007-02-01,,,,,,,1276.12,20798.0,20798.0,,,,,,
2007-03-01,,,,,,,312.78200000000004,5097.0,5097.0,,,,,,
2007-04-01,0.0,0.0,0.0,,,,91.926,1497.0,1497.0,,,,,,
2007-05-01,0.0,0.0,0.0,,,,20.579,335.0,335.0,,,,,,
2007-06-01,0.0,0.0,0.0,,,,132.34,2155.0,2155.0,,,,,,
2007-07-01,0.0,0.0,0.0,,,,214.7,3498.0,3498.0,,,,,,
2007-08-01,0.0,0.0,0.0,,,,306.981,5001.0,5001.0,,,,,,
2007-09-01,0.0,0.0,0.0,,,,115.95800000000001,1888.0,1888.0,,,,,,
2007-10-01,0.0,0.0,0.0,,,,74.677,1219.0,1219.0,,,,,,
2007-11-01,0.0,0.0,0.0,,,,61.96,1009.0,1009.0,,,,,,
2007-12-01,0.0,0.0,0.0,,,,56.138000000000005,913.0,913.0,,,,,,
2008-01-01,,,,0.0,0.0,0.0,,,,359.344,6589.0,6589.0,,,
2008-02-01,,,,0.0,0.0,0.0,,,,226.276,4150.0,4150.0,,,
2008-03-01,,,,0.0,0.0,0.0,,,,180.257,3306.0,3306.0,,,
2008-04-01,,,,0.0,0.0,0.0,,,,90.376,1656.0,1656.0,,,
2008-05-01,,,,0.0,0.0,0.0,,,,135.148,2478.0,2478.0,,,
2008-06-01,,,,0.0,0.0,0.0,,,,193.03,3538.0,3538.0,,,
2008-07-01,,,,0.0,0.0,0.0,,,,23.824,437.0,437.0,,,
2008-08-01,,,,0.0,0.0,0.0,,,,26.858,493.0,493.0,,,
2008-09-01,,,,0.0,0.0,0.0,,,,59.406000000000006,1089.0,1089.0,,,
2008-10-01,,,,0.0,0.0,0.0,,,,54.247,992.0,992.0,,,
2008-11-01,,,,0.0,0.0,0.0,,,,67.071,1230.0,1230.0,,,
2008-12-01,,,,0.0,0.0,0.0,,,,166.163,3045.0,3045.0,,,
2009-01-01,0.0,0.0,0.0,,,,1220.325,24517.0,24517.0,0.0,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,,,,471.887,9480.0,9480.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,,,,362.38100000000003,7280.0,7280.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,,,,121.96,2449.0,2449.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,,,,297.757,5982.0,5982.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,,,,25.824,516.0,516.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,,,,24.594,493.0,493.0,0.0,0.0,0.0,,,
