measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2020-04-01,238.194,4971.0,4971.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-05-01,274.517,5725.0,5725.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-06-01,330.926,6902.0,6902.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-07-01,168.844,3521.0,3521.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-08-01,273.705,5707.0,5707.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-09-01,209.632,4373.0,4373.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-10-01,261.547,5458.0,5458.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-11-01,351.292,7325.0,7325.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-12-01,280.048,5841.0,5841.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-01-01,832.92,13479.0,13479.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-02-01,1378.566,22313.0,22313.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-03-01,1066.009,17255.0,17255.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-04-01,831.739,13462.0,13462.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-05-01,817.657,13236.0,13236.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-06-01,943.149,15266.0,15266.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-07-01,338.394,5475.0,5475.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-08-01,526.346,8520.0,8520.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-09-01,731.184,11832.0,11832.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-10-01,920.451,14900.0,14900.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-11-01,886.01,14338.0,14338.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-12-01,1329.575,21518.0,21518.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-01-01,905.345,15161.0,15161.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-02-01,970.898,16257.0,16257.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-03-01,805.171,13479.0,13479.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-04-01,537.869,9007.0,9007.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-05-01,1056.057,17684.0,17684.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-06-01,729.291,12209.0,12209.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-07-01,525.762,8804.0,8804.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-08-01,562.34,9413.0,9413.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-09-01,664.065,11119.0,11119.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-10-01,790.243,13230.0,13230.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-11-01,916.101,15341.0,15341.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2022-12-01,1061.858,17777.0,17777.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-01-01,678.06,13195.0,13195.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-02-01,673.167,13102.0,13102.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-03-01,629.625,12255.0,12255.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-04-01,507.154,9872.0,9872.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-05-01,478.07,9303.0,9303.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-06-01,388.312,7557.0,7557.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-07-01,396.728,7720.0,7720.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-08-01,320.04,6229.0,6229.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-09-01,539.752,10504.0,10504.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-10-01,408.233,7946.0,7946.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-11-01,497.652,9686.0,9686.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-12-01,635.207,12366.0,12366.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-01-01,1802.782,31204.0,31204.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-02-01,1156.365,20022.0,20022.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-03-01,917.766,15892.0,15892.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-04-01,737.308,12766.0,12766.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-05-01,897.067,15532.0,15532.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-06-01,618.419,10707.0,10707.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-07-01,608.988,10544.0,10544.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-08-01,738.47,12783.0,12783.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-09-01,553.736,9587.0,9587.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-10-01,837.486,14500.0,14500.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-11-01,815.034,14111.0,14111.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-12-01,763.579,13218.0,13218.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
