measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed
2003-01-01,1024.0,18032.0,18032.0,,,,21.0,366.0,366.0,,,
2003-02-01,3333.0,41737.0,41737.0,,,,1980.0,24755.0,24755.0,,,
2003-03-01,4143.0,47392.0,47392.0,,,,912.0,10458.0,10458.0,,,
2003-04-01,18.0,269.0,269.0,,,,1073.0,16284.0,16284.0,,,
2003-05-01,0.0,0.0,0.0,,,,2726.0,35758.0,35758.0,,,
2003-06-01,0.0,0.0,0.0,,,,8029.0,100235.0,100235.0,,,
2003-07-01,199.0,2494.0,2494.0,,,,40811.0,511929.0,511929.0,,,
2003-08-01,491.0,6276.0,6276.0,,,,37587.0,481629.0,481629.0,,,
2003-09-01,177.0,2587.0,2587.0,,,,753.0,10127.0,10127.0,,,
2003-10-01,106.0,1757.0,1757.0,,,,1216.0,20208.0,20208.0,,,
2003-11-01,383.0,4547.0,4547.0,,,,8161.0,97101.0,97101.0,,,
2003-12-01,93.0,916.0,916.0,,,,412.0,4059.0,4059.0,,,
2004-01-01,304.0,6026.0,6026.0,,,,6.0,103.0,103.0,,,
2004-02-01,600.0,9297.0,9297.0,,,,947.0,14650.0,14650.0,,,
2004-03-01,483.0,6397.0,6397.0,,,,1736.0,22985.0,22985.0,,,
2004-04-01,0.0,0.0,0.0,,,,943.0,10293.0,10293.0,,,
2004-05-01,62.0,737.0,737.0,,,,12741.0,151892.0,151892.0,,,
2004-06-01,0.0,0.0,0.0,,,,11707.0,142075.0,142075.0,,,
2004-07-01,103.0,1282.0,1282.0,,,,6077.0,69109.0,69109.0,,,
2004-08-01,1.0,17.0,17.0,,,,5187.0,64558.0,64558.0,,,
2004-09-01,0.0,0.0,0.0,,,,4084.0,47043.0,47043.0,,,
2004-10-01,0.0,0.0,0.0,,,,221.0,3614.0,3614.0,,,
2004-11-01,160.0,2361.0,2361.0,,,,1539.0,22583.0,22583.0,,,
2004-12-01,359.0,5154.0,5154.0,,,,1590.0,21985.0,21985.0,,,
2005-01-01,-43.0,3510.82,3510.82,0.0,0.0,0.0,-4.0,314.87,314.87,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2462.0,31919.89,31919.89,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,352.0,9114.19,9114.19,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,17028.56,17028.56,,,
2005-05-01,128.0,1538.06,1538.06,0.0,0.0,0.0,8941.0,107064.56,107064.56,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,22052.0,265145.61,265145.61,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,37401.0,447370.91,447370.91,,,
2005-08-01,7.0,82.0,82.0,0.0,0.0,0.0,27518.0,332413.08,332413.08,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,16772.0,205363.16,205363.16,,,
2005-10-01,261.0,3297.81,3297.81,0.0,0.0,0.0,4803.0,60686.64,60686.64,,,
