measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,344.0,1174.0,1174.0
2024-05-01,0.0,0.0,0.0,669.0,2283.0,2283.0
2024-06-01,-17.0,0.0,0.0,721.0,2460.0,2460.0
2024-07-01,5.0,0.0,0.0,730.0,2491.0,2491.0
2024-08-01,-8.0,0.0,0.0,467.0,1593.0,1593.0
2024-09-01,-6.0,0.0,0.0,605.0,2064.0,2064.0
2024-10-01,-7.0,0.0,0.0,658.0,2245.0,2245.0
2024-11-01,-2.0,0.0,0.0,351.0,1198.0,1198.0
2024-12-01,-2.0,0.0,0.0,200.0,682.0,682.0
