measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,,,
2003-02-01,0.0,0.0,0.0,,,,,,
2003-03-01,0.0,0.0,0.0,,,,,,
2003-04-01,0.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,
2003-06-01,48.51,496.79,496.79,,,,,,
2003-07-01,142.0,1454.22,1454.22,,,,,,
2003-08-01,46.53,476.51,476.51,,,,,,
2003-09-01,227.0,2324.71,2324.71,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,,,,,,
2004-01-01,107.831,1080.68,1080.68,0.0,0.0,0.0,,,
2004-02-01,114.739,1149.91,1149.91,0.0,0.0,0.0,,,
2004-03-01,128.52100000000002,1288.04,1288.04,0.0,0.0,0.0,,,
2004-04-01,112.24300000000001,1124.9,1124.9,0.0,0.0,0.0,,,
2004-05-01,109.57900000000001,1098.2,1098.2,0.0,0.0,0.0,,,
2004-06-01,118.83300000000001,1190.94,1190.94,0.0,0.0,0.0,,,
2004-07-01,126.1,1263.77,1263.77,0.0,0.0,0.0,,,
2004-08-01,113.56700000000001,1138.17,1138.17,0.0,0.0,0.0,,,
2004-09-01,75.315,754.81,754.81,0.0,0.0,0.0,,,
2004-10-01,61.766000000000005,619.02,619.02,0.0,0.0,0.0,,,
2004-11-01,71.153,713.1,713.1,0.0,0.0,0.0,,,
2004-12-01,72.354,725.13,725.13,0.0,0.0,0.0,,,
2005-01-01,355.076,3550.4,3550.4,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,325.343,3253.11,3253.11,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,339.016,3389.82,3389.82,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,338.771,3387.37,3387.37,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,477.80800000000005,4777.6,4777.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,445.49800000000005,4454.53,4454.53,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,414.122,4140.8,4140.8,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,343.663,3436.29,3436.29,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,272.377,2723.5,2723.5,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,293.94800000000004,2939.19,2939.19,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,316.765,3167.33,3167.33,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,354.613,3545.78,3545.78,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,376.09200000000004,3730.0,3730.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,329.96,3273.0,3273.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,354.63800000000003,3518.0,3518.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,428.137,4247.0,4247.0,0.0,0.0,0.0,0.0,0.0,0.0
