measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,8861.49,88809.85,88809.85,766.91488,4019.69,38036.82,7545.18607,39547.15,374220.0,5749.92294,30137.5,285180.0,2393.67611,12546.15,118719.6
2004-02-01,5615.28,56276.34,56276.34,188.26438000000002,986.76,8048.82,7117.43676,37305.15,304290.0,3792.0367,19875.49,162120.0,2392.55716,12540.29,102288.4
2004-03-01,7223.04,72389.31,72389.31,366.45567,1920.73,16754.52,6875.91574,36039.25,314370.0,6545.21038,34305.9,299250.0,2810.24322,14729.54,128485.6
2004-04-01,5675.67,56881.56,56881.56,499.71443,2619.19,26421.06,4217.25229,22104.2,222975.9,4779.50494,25051.18,252703.5,1833.14834,9608.22,96922.8
2004-05-01,4225.32,42346.16,42346.16,167.19713000000002,876.34,8061.06,4533.74004,23763.03,218584.8,4291.60779,22493.93,206910.9,1470.8840500000001,7709.45,70915.6
2004-06-01,5496.48,55085.72,55085.72,225.66626,1182.8,10110.24,5687.92036,29812.53,254828.7,4338.06638,22737.43,194352.9,2458.87799,12887.9,110162.0
2004-07-01,3537.27,35450.52,35450.52,276.66209,1450.09,12942.78,4085.00241,21411.03,191104.2,4804.53059,25182.35,224765.1,1741.85292,9129.7,81487.2
2004-08-01,4100.58,41096.01,41096.01,509.46675,2670.31,22231.92,4290.98953,22490.69,187248.6,4762.84149,24963.84,207839.1,1880.59722,9856.92,82064.8
2004-09-01,7012.17,70275.97,70275.97,834.32264,4373.0,47493.24,4536.71911,23778.65,258249.6,2991.16675,15677.83,170270.1,1237.9105,6488.35,70467.2
2004-10-01,3032.37,30390.41,30390.41,884.8296,4637.72,40990.74,4487.06713,23518.4,207868.5,5019.15981,26307.3,232518.3,1601.16945,8392.33,74176.0
2004-11-01,3048.21,30549.16,30549.16,431.57274,2262.03,20596.86,4969.36439,26046.3,237163.5,5493.47205,28793.35,262176.6,1450.24682,7601.29,69213.2
