measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2003-01-01,42156.0,499752.0,499752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,33272.0,375048.0,375048.0,4.0,46.0,46.0,50.0,506.5,506.5,0.0,0.0,0.0
2003-03-01,41192.0,462864.0,462864.0,4.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,34829.0,388992.0,388992.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,19922.0,236784.0,236784.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,29629.0,340656.0,340656.0,2.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,36784.0,427728.0,427728.0,4.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,38442.0,437784.0,437784.0,2.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,33349.0,378408.0,378408.0,3.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,32918.0,381024.0,381024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,23078.0,267480.0,267480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,37377.0,434256.0,434256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,38302.0,433872.0,433872.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,34063.0,401952.0,401952.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,29556.0,341568.0,341568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,24646.0,292512.0,292512.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,25561.0,299880.0,299880.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,29832.0,353256.0,353256.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,36387.0,418824.0,418824.0,3.0,41.0,41.0,35.0,366.5,366.5,0.0,0.0,0.0
2004-08-01,35839.0,412512.0,412512.0,1.0,12.0,12.0,50.5,513.0,513.0,0.0,0.0,0.0
2004-09-01,26055.0,326232.0,326232.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,10576.0,123936.0,123936.0,1.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,21777.0,252768.0,252768.0,1.0,12.0,12.0,35.0,394.0,394.0,0.0,0.0,0.0
2004-12-01,14559.0,186864.0,186864.0,1.0,6.0,6.0,95.0,974.0,974.0,0.0,0.0,0.0
2005-01-01,18387.0,253370.0,253370.0,3.0,40.6,40.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,34370.0,485836.0,485836.0,5.0,63.8,63.8,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,36151.0,492944.46,492944.46,84.0,1084.6,1084.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,32069.0,418788.48,418788.48,95.0,1177.4,1177.4,8.0,88.0,88.0,0.0,0.0,0.0
2005-05-01,859.0,28161.9,28161.9,83.0,1026.6,1026.6,88.0,2691.78,2691.78,0.0,0.0,0.0
2005-06-01,25950.0,348591.0,348591.0,3.0,40.6,40.6,461.0,6093.36,6093.36,33.0,430.0,430.0
2005-07-01,28718.0,396982.4,396982.4,87.0,1119.4,1119.4,316.0,4017.52,4017.52,41.0,266.0,266.0
2005-08-01,34578.0,458342.8,458342.8,84.0,1067.2,1067.2,102.0,1327.04,1327.04,0.0,0.0,0.0
2005-09-01,30222.0,338646.0,338646.0,3.0,39.9,39.9,260.0,2748.9,2748.9,0.0,0.0,0.0
2005-10-01,32784.0,331200.0,331200.0,3.0,39.9,39.9,102.0,1065.9,1065.9,0.0,0.0,0.0
2005-11-01,34813.0,366360.0,366360.0,4.0,57.0,57.0,30.0,346.8,346.8,0.0,0.0,0.0
2005-12-01,37297.0,382380.0,382380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,40843.0,487776.0,487776.0,0.0,0.0,0.0,20.0,230.0,230.0,0.0,0.0,0.0
2006-02-01,36594.0,430296.0,430296.0,0.0,0.0,0.0,70.0,775.0,775.0,0.0,0.0,0.0
2006-03-01,36383.0,432072.0,432072.0,0.0,0.0,0.0,80.0,856.0,856.0,0.0,0.0,0.0
2006-04-01,32019.0,381336.0,381336.0,0.0,0.0,0.0,14.0,152.0,152.0,395.0,3374.0,3374.0
2006-05-01,14712.0,178104.0,178104.0,0.0,0.0,0.0,320.0,3309.0,3309.0,50.0,427.0,427.0
2006-06-01,24158.0,288672.0,288672.0,0.0,0.0,0.0,433.0,5353.0,5353.0,1414.0,12138.0,12138.0
2006-07-01,34903.0,406968.0,406968.0,0.0,0.0,0.0,204.0,2459.0,2459.0,1460.0,12229.0,12229.0
2006-08-01,34508.0,364800.0,364800.0,0.0,0.0,0.0,240.0,2631.0,2631.0,2556.0,19404.0,19404.0
2006-09-01,7817.0,98424.0,98424.0,0.0,0.0,0.0,264.0,3445.0,3445.0,538.0,4865.0,4865.0
2006-10-01,25163.0,278256.0,278256.0,0.0,0.0,0.0,258.0,2957.0,2957.0,2134.0,16947.0,16947.0
2006-11-01,26291.0,310300.0,310300.0,0.0,0.0,0.0,199.0,2340.0,2340.0,1846.0,15022.0,15022.0
2006-12-01,20715.0,226475.0,226475.0,0.0,0.0,0.0,102.0,1113.0,1113.0,1494.0,11263.0,11263.0
2007-01-01,25608.919,257550.0,257550.0,0.0,0.0,0.0,200.30700000000002,2015.0,2015.0,1266.7740000000001,12740.0,12740.0
2007-02-01,38976.178,383600.0,383600.0,0.0,0.0,0.0,40.315,397.0,397.0,1518.506,14945.0,14945.0
2007-03-01,38782.193,423400.0,423400.0,0.0,0.0,0.0,62.784000000000006,685.0,685.0,1165.0230000000001,12719.0,12719.0
2007-04-01,16833.486,174575.0,174575.0,0.0,0.0,0.0,196.708,2040.0,2040.0,606.806,6293.0,6293.0
2007-05-01,32573.696,326600.0,326600.0,0.0,0.0,0.0,171.00900000000001,1715.0,1715.0,2002.295,20076.0,20076.0
2007-06-01,32497.737,349175.0,349175.0,0.0,0.0,0.0,241.316,2593.0,2593.0,1375.948,14784.0,14784.0
2007-07-01,31957.651,276380.0,276380.0,0.0,0.0,0.0,593.602,5134.0,5134.0,2060.7470000000003,17822.0,17822.0
2007-08-01,39064.632,385300.0,385300.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.368,21525.0,21525.0
2007-09-01,28991.927,287450.0,287450.0,0.0,0.0,0.0,621.8870000000001,6166.0,6166.0,1642.1870000000001,16282.0,16282.0
2007-10-01,31852.461,316408.0,316408.0,0.0,0.0,0.0,177.743,1766.0,1766.0,1667.796,16567.0,16567.0
2007-11-01,32804.091,313965.0,313965.0,0.0,0.0,0.0,178.018,1704.0,1704.0,1913.891,18318.0,18318.0
2007-12-01,25522.127,273670.0,273670.0,0.0,0.0,0.0,115.76100000000001,1241.0,1241.0,2347.112,25168.0,25168.0
2008-01-01,25562.548000000003,284147.0,284147.0,0.0,0.0,0.0,197.788,2199.0,2199.0,2377.664,26430.0,26430.0
2008-02-01,14977.269,169358.0,169358.0,0.0,0.0,0.0,318.043,3596.0,3596.0,1967.688,22250.0,22250.0
2008-03-01,10864.162,127945.0,127945.0,0.0,0.0,0.0,183.15300000000002,2157.0,2157.0,1435.6850000000002,16908.0,16908.0
2008-04-01,15626.718,183064.0,183064.0,0.0,0.0,0.0,448.499,5254.0,5254.0,2127.783,24927.0,24927.0
2008-05-01,7673.8,91626.0,91626.0,0.0,0.0,0.0,410.511,4902.0,4902.0,931.6890000000001,11124.0,11124.0
2008-06-01,20736.283,265714.0,265714.0,0.0,0.0,0.0,654.241,8383.0,8383.0,2191.476,28082.0,28082.0
2008-07-01,20071.185,247509.0,247509.0,0.0,0.0,0.0,861.4970000000001,10624.0,10624.0,2539.318,31314.0,31314.0
2008-08-01,4038.4010000000003,55745.0,55745.0,0.0,0.0,0.0,175.02,2416.0,2416.0,493.57800000000003,6813.0,6813.0
2008-09-01,4656.066,68264.0,68264.0,0.0,0.0,0.0,283.315,4154.0,4154.0,421.619,6181.0,6181.0
2008-10-01,2747.571,39784.0,39784.0,0.0,0.0,0.0,242.985,3518.0,3518.0,311.44300000000004,4510.0,4510.0
2008-11-01,12626.701000000001,176111.0,176111.0,0.0,0.0,0.0,233.39000000000001,3255.0,3255.0,1306.909,18228.0,18228.0
2008-12-01,23215.864,302963.0,302963.0,0.0,0.0,0.0,197.961,2583.0,2583.0,2449.175,31961.0,31961.0
2009-01-01,32001.001,405386.0,405386.0,0.0,0.0,0.0,142.439,1804.0,1804.0,2905.56,36807.0,36807.0
2009-02-01,13299.280999999999,179777.0,179777.0,0.0,0.0,0.0,185.49200000000002,2507.0,2507.0,1184.227,16008.0,16008.0
2009-03-01,7705.139,107804.0,107804.0,0.0,0.0,0.0,122.203,1710.0,1710.0,618.658,8656.0,8656.0
2009-04-01,4602.145,62018.0,62018.0,0.0,0.0,0.0,89.214,1202.0,1202.0,521.6410000000001,7030.0,7030.0
2009-05-01,12751.494,171893.0,171893.0,0.0,0.0,0.0,234.073,3155.0,3155.0,1312.433,17692.0,17692.0
2009-06-01,12666.611,169051.0,169051.0,0.0,0.0,0.0,592.852,7912.0,7912.0,1389.537,18545.0,18545.0
2009-07-01,5966.8820000000005,77566.0,77566.0,0.0,0.0,0.0,221.37,2878.0,2878.0,558.748,7263.0,7263.0
2009-08-01,6179.81,78813.0,78813.0,0.0,0.0,0.0,224.418,2862.0,2862.0,583.772,7445.0,7445.0
2009-09-01,939.8380000000001,13005.0,13005.0,0.0,0.0,0.0,85.683,1186.0,1186.0,68.479,948.0,948.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,92.71300000000001,1851.0,1851.0,0.0,0.0,0.0,65.287,1303.0,1303.0,0.0,0.0,0.0
2009-12-01,20413.722,269699.0,269699.0,0.0,0.0,0.0,180.502,2385.0,2385.0,1779.776,23514.0,23514.0
2010-01-01,24674.558,311784.0,311784.0,0.0,0.0,0.0,57.778000000000006,730.0,730.0,1235.664,15614.0,15614.0
2010-02-01,26146.495,338169.0,338169.0,0.0,0.0,0.0,59.584,771.0,771.0,2307.9210000000003,29850.0,29850.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,0.0,0.0,0.0
2010-05-01,3800.309,51497.0,51497.0,0.0,0.0,0.0,218.732,2964.0,2964.0,403.959,5474.0,5474.0
2010-06-01,19760.216,271376.0,271376.0,0.0,0.0,0.0,125.70800000000001,1726.0,1726.0,1786.076,24529.0,24529.0
2010-07-01,22652.11,302458.0,302458.0,0.0,0.0,0.0,108.188,1445.0,1445.0,2301.702,30733.0,30733.0
2010-08-01,14822.195,202724.0,202724.0,0.0,0.0,0.0,213.97500000000002,2927.0,2927.0,1450.83,19843.0,19843.0
2010-09-01,21362.373,272060.0,272060.0,0.0,0.0,0.0,59.531000000000006,758.0,758.0,188.096,2396.0,2396.0
2010-10-01,17826.866,140425.0,140425.0,0.0,0.0,0.0,47.134,371.0,371.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,,,,0.0,590.0,590.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,,,,,,,0.0,4732.0,4732.0,,,
2013-05-01,,,,,,,547.326,11158.0,11158.0,9961.674,203085.0,203085.0
2013-06-01,,,,,,,110.789,1915.0,1915.0,26071.211,450560.0,450560.0
2013-07-01,,,,,,,333.768,5599.0,5599.0,20065.232,336618.0,336618.0
2013-08-01,,,,,,,113.946,1485.0,1485.0,23416.054,305195.0,305195.0
2013-09-01,,,,,,,117.635,1745.0,1745.0,26924.365,399422.0,399422.0
2013-10-01,,,,,,,29.357,450.0,450.0,17997.643,276072.0,276072.0
2013-11-01,,,,,,,0.0,199.0,199.0,,,
2013-12-01,,,,,,,249.902,3612.0,3612.0,18854.098,272505.0,272505.0
2014-01-01,,,,,,,98.28,1589.0,1589.0,22332.72,361107.0,361107.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20145.0,342327.0,342327.0
2014-03-01,,,,,,,125.055,2159.0,2159.0,19698.945,340096.0,340096.0
2014-04-01,,,,,,,76.205,992.0,992.0,22457.795,292392.0,292392.0
2014-05-01,0.0,0.0,0.0,,,,0.0,684.0,684.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,114.759,1974.0,1974.0,20682.241,355747.0,355747.0
2014-07-01,0.0,0.0,0.0,,,,18.744,289.0,289.0,29180.256,450097.0,450097.0
2014-08-01,0.0,0.0,0.0,,,,61.674,911.0,911.0,27961.326,413038.0,413038.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4768.0,75899.0,75899.0
2014-10-01,0.0,0.0,0.0,,,,19.199,2541.0,2541.0,5.801,768.0,768.0
2014-11-01,0.0,0.0,0.0,,,,81.332,1248.0,1248.0,27983.668,429395.0,429395.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31066.0,492221.0,492221.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30088.0,411649.0,411649.0
2015-02-01,0.0,0.0,0.0,,,,13.611,192.0,192.0,25242.389,356827.0,356827.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12185.0,189909.0,189909.0
2015-04-01,0.0,0.0,0.0,,,,75.398,1257.0,1257.0,11006.602,183550.0,183550.0
2015-05-01,0.0,0.0,0.0,,,,59.416,888.0,888.0,29539.584,441560.0,441560.0
2015-06-01,0.0,0.0,0.0,,,,42.103,539.0,539.0,32509.897,415976.0,415976.0
2015-07-01,0.0,0.0,0.0,,,,12.656,183.0,183.0,31856.344,460739.0,460739.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32603.0,464100.0,464100.0
2015-09-01,0.0,0.0,0.0,,,,105.202,1453.0,1453.0,20632.798,284946.0,284946.0
2015-10-01,0.0,0.0,0.0,,,,2.843,34.0,34.0,9057.157,109346.0,109346.0
2015-11-01,0.0,0.0,0.0,,,,86.684,1390.0,1390.0,6446.316,103404.0,103404.0
2015-12-01,0.0,0.0,0.0,,,,27.496,419.0,419.0,27102.504,413123.0,413123.0
2016-01-01,0.0,0.0,0.0,,,,9.777,153.0,153.0,29741.223,465077.0,465077.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27579.0,428688.0,428688.0
2016-03-01,0.0,0.0,0.0,,,,105.826,1683.0,1683.0,14068.174,223696.0,223696.0
2016-04-01,0.0,0.0,0.0,,,,70.353,1304.0,1304.0,8415.647,156004.0,156004.0
2016-05-01,0.0,0.0,0.0,,,,221.511,3221.0,3221.0,22226.489,323184.0,323184.0
2016-06-01,0.0,0.0,0.0,,,,188.261,3222.0,3222.0,18803.739,321809.0,321809.0
2016-07-01,0.0,0.0,0.0,,,,259.306,3625.0,3625.0,23203.694,324419.0,324419.0
2016-08-01,0.0,0.0,0.0,,,,186.944,2911.0,2911.0,23709.056,369180.0,369180.0
2016-09-01,0.0,0.0,0.0,,,,5.659,78.0,78.0,36007.341,496281.0,496281.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24708.0,393546.0,393546.0
2016-11-01,0.0,0.0,0.0,,,,136.122,1864.0,1864.0,17270.878,236460.0,236460.0
2016-12-01,0.0,0.0,0.0,,,,31.58,465.0,465.0,35728.42,525952.0,525952.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36325.0,589832.0,589832.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31932.0,460894.0,460894.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,32.452,482.0,482.0,30817.548,457272.0,457272.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,10.068,122.0,122.0,8140.932,98390.0,98390.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,268.002,3616.0,3616.0,3244.998,43784.0,43784.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,33.903,482.0,482.0,33631.097,477659.0,477659.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27.295,441.0,441.0,30569.705,493866.0,493866.0
