measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,5.891,48.0,48.0,1283.0720000000001,13139.94,13139.94
2003-02-01,5.515,45.0,45.0,1201.164,12301.12,12301.12
2003-03-01,5.328,43.0,43.0,1160.428,11883.94,11883.94
2003-04-01,5.101,41.0,41.0,1111.103,11378.81,11378.81
2003-05-01,5.176,42.0,42.0,1127.28,11544.47,11544.47
2003-06-01,5.401000000000001,44.0,44.0,1176.336,12046.86,12046.86
2003-07-01,6.228000000000001,50.0,50.0,1356.536,13892.29,13892.29
2003-08-01,6.315,51.0,51.0,1375.356,14085.02,14085.02
2003-09-01,5.472,44.0,44.0,1191.776,12204.98,12204.98
2003-10-01,5.674,46.0,46.0,1235.747,12655.29,12655.29
2003-11-01,5.823,47.0,47.0,1268.348,12989.15,12989.15
2003-12-01,6.078,49.0,49.0,1323.853,13557.58,13557.58
2004-01-01,13.746,190.0,190.0,0.41200000000000003,4.13,4.13
2004-02-01,3.986,55.0,55.0,0.405,4.06,4.06
2004-03-01,3.1710000000000003,44.0,44.0,0.639,6.4,6.4
2004-04-01,7.486000000000001,103.0,103.0,0.767,7.69,7.69
2004-05-01,14.235,197.0,197.0,0.8210000000000001,8.23,8.23
2004-06-01,7.061,98.0,98.0,1.2730000000000001,12.76,12.76
2004-07-01,39.037,540.0,540.0,1.0230000000000001,10.25,10.25
2004-08-01,4.694,65.0,65.0,0.8280000000000001,8.3,8.3
2004-09-01,15.064,208.0,208.0,0.908,9.1,9.1
2004-10-01,2.859,40.0,40.0,1.065,10.67,10.67
2004-11-01,3.786,52.0,52.0,0.937,9.39,9.39
2004-12-01,17.877000000000002,247.0,247.0,0.92,9.22,9.22
2005-01-01,18.378,215.94,215.94,6.817,68.17,68.17
2005-02-01,6.314,74.19,74.19,5.894,58.94,58.94
2005-03-01,6.998,82.23,82.23,6.457000000000001,64.56,64.56
2005-04-01,8.477,99.61,99.61,6.168,61.67,61.67
2005-05-01,7.873,92.51,92.51,5.579000000000001,55.79,55.79
2005-06-01,10.218,120.07,120.07,6.284000000000001,62.84,62.84
2005-07-01,10.401,122.21,122.21,6.746,67.45,67.45
2005-08-01,12.219000000000001,143.57,143.57,5.708,57.07,57.07
2005-09-01,7.9990000000000006,93.98,93.98,4.723,47.22,47.22
2005-10-01,8.883000000000001,104.37,104.37,4.031000000000001,40.3,40.3
2005-11-01,7.141,83.9,83.9,4.314,43.13,43.13
2005-12-01,15.099,177.41,177.41,5.28,52.8,52.8
2006-01-01,9.402000000000001,104.0,104.0,10.569,105.0,105.0
2006-02-01,4.92,54.0,54.0,9.53,95.0,95.0
2006-03-01,4.133,46.0,46.0,8.397,83.0,83.0
2006-04-01,7.916,87.0,87.0,9.139000000000001,91.0,91.0
2006-05-01,7.4,82.0,82.0,10.806000000000001,107.0,107.0
2006-06-01,6.726,74.0,74.0,10.617,105.0,105.0
2006-07-01,9.742,108.0,108.0,11.134,110.0,110.0
2006-08-01,9.45,104.0,104.0,11.053,110.0,110.0
2006-09-01,4.3420000000000005,48.0,48.0,7.175,71.0,71.0
