measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,456108.0,4591692.0,4591692.0,168.0,1694.0,1694.0,,,,0.0,0.0,0.0,116641.0,1177180.0,1177180.0
2003-02-01,340288.0,3440681.0,3440681.0,574.0,5768.0,5768.0,0.0,0.0,0.0,0.0,0.0,0.0,130468.0,1311301.0,1311301.0
2003-03-01,120488.0,1248305.0,1248305.0,1207.0,12429.0,12429.0,0.0,0.0,0.0,0.0,0.0,0.0,36757.0,378552.0,378552.0
2003-04-01,391390.0,3854932.0,3854932.0,258.0,2262.0,2262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,420334.0,4200794.0,4200794.0,401.0,3567.0,3567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,451865.0,4453401.0,4453401.0,378.0,3312.0,3312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,590839.0,5795143.0,5795143.0,56.0,487.0,487.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,517647.0,5059939.0,5059939.0,462.0,4014.0,4014.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,396773.0,3875660.0,3875660.0,641.0,5603.0,5603.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,280127.0,2832100.0,2832100.0,600.0,5423.0,5423.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,426599.0,4260780.0,4260780.0,1339.0,11960.0,11960.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,415323.0,4010060.0,4010060.0,571.0,5556.0,5556.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,531264.0,5261857.0,5261857.0,589.0,5835.0,5835.0,0.0,0.0,0.0,0.0,0.0,0.0,25383.0,251399.0,251399.0
2004-02-01,410647.0,4003657.0,4003657.0,221.0,2158.0,2158.0,0.0,0.0,0.0,0.0,0.0,0.0,99973.0,974699.0,974699.0
2004-03-01,122056.0,1175792.0,1175792.0,1363.0,13127.0,13127.0,0.0,0.0,0.0,0.0,0.0,0.0,124229.0,1196722.0,1196722.0
