measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,32908.0,663328.0,814306.0,1801.0,36303.0,44566.0,5468.0,110229.0,135318.0,,,
2003-02-01,28355.0,583496.0,743176.0,1242.0,25558.0,32552.0,4906.0,100956.0,128583.0,,,
2003-03-01,30905.0,463731.0,679451.0,1290.0,19350.0,28351.0,1862.0,27939.0,40936.0,,,
2003-04-01,27339.0,522169.0,676829.0,1684.0,32166.0,41694.0,3241.0,61904.0,80239.0,,,
2003-05-01,21973.0,398728.0,532921.0,498.0,9035.0,12075.0,2394.0,43444.0,58065.0,,,
2003-06-01,20383.0,489292.0,613048.0,3082.0,73986.0,92699.0,2755.0,66137.0,82866.0,,,
2003-07-01,19443.0,415817.0,525276.0,1951.0,41716.0,52698.0,2335.0,49943.0,63089.0,385.0,8225.0,10390.0
2003-08-01,25329.0,641560.0,720364.0,900.0,22789.0,25587.0,6364.0,161196.0,180996.0,504.0,12763.0,14330.0
2003-09-01,22277.0,575844.0,640204.0,1357.0,35089.0,39010.0,2939.0,75974.0,84466.0,0.0,0.0,0.0
2003-10-01,32514.0,702761.0,800373.0,2330.0,50372.0,57368.0,2732.0,59049.0,67250.0,193.0,4161.0,4739.0
2003-11-01,30129.0,645885.0,740452.0,2714.0,58175.0,66692.0,5000.0,107186.0,122880.0,195.0,4176.0,4787.0
2003-12-01,33800.0,614737.0,711484.0,4080.0,74210.0,85888.0,3646.0,66304.0,76739.0,738.0,13417.0,15529.0
2004-01-01,29014.13215,361441.35,731613.84,986.48959,12289.12,24875.1,8309.48391,103514.76,209530.08,1026.3043499999999,12785.11,25879.06
2004-02-01,28374.03063,353467.32,740759.01,987.79878,12305.43,25788.4,2734.18715,34060.93,71381.25,302.95244,3774.01,7909.16
2004-03-01,36316.31885,452407.76,807189.95,1786.32443,22253.0,39704.0,2179.3167000000003,27148.67,48438.9,225.24002,2805.91,5006.33
2004-04-01,36838.50382,458912.86,773784.09,155.67897,1939.36,3270.0,3203.24851,39904.22,67283.48,293.2787,3653.5,6160.25
2004-05-01,40209.87588,500911.48,775709.7,522.04279,6503.31,10071.0,1359.85538,16940.3,26233.68,142.99493999999999,1781.35,2758.59
2004-06-01,32225.79261,401450.36,710524.17,1992.51942,24821.66,43931.68,1660.8731,20690.2,36619.44,198.99487,2478.96,4387.5
