measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2018-01-01,14.921,275.0,275.0
2018-02-01,0.313,6.0,6.0
2018-03-01,0.312,6.0,6.0
2018-04-01,0.248,6.0,6.0
2018-05-01,0.059,0.0,0.0
2018-06-01,0.152,0.0,0.0
2018-07-01,0.14,0.0,0.0
2018-08-01,0.12,0.0,0.0
2018-09-01,0.138,0.0,0.0
2018-10-01,0.15,0.0,0.0
2018-11-01,0.157,0.0,0.0
2018-12-01,0.29,6.0,6.0
2019-01-01,8.009,660.0,660.0
2019-02-01,1.657,138.0,138.0
2019-03-01,0.027,0.0,0.0
2019-04-01,0.014,0.0,0.0
2019-05-01,0.022,0.0,0.0
2019-06-01,0.014,0.0,0.0
2019-07-01,0.007,0.0,0.0
2019-08-01,0.013,0.0,0.0
2019-09-01,0.058,6.0,6.0
2019-10-01,0.015,0.0,0.0
2019-11-01,0.03,0.0,0.0
2019-12-01,1.134,94.0,94.0
2020-01-01,2.175,22.0,22.0
2020-02-01,1.631,11.0,11.0
2020-03-01,1.381,11.0,11.0
2020-04-01,0.981,6.0,6.0
2020-05-01,2.075,17.0,17.0
2020-06-01,0.86,6.0,6.0
2020-07-01,1.431,11.0,11.0
2020-08-01,0.579,6.0,6.0
2020-09-01,1.505,11.0,11.0
2020-10-01,0.86,6.0,6.0
2020-11-01,2.082,17.0,17.0
2020-12-01,2.44,22.0,22.0
2021-01-01,2.216,17.0,17.0
2021-02-01,18.183,138.0,138.0
2021-03-01,2.724,22.0,22.0
2021-04-01,21.657,165.0,165.0
2021-05-01,0.845,6.0,6.0
2021-06-01,0.771,6.0,6.0
2021-07-01,0.694,6.0,6.0
2021-08-01,0.119,0.0,0.0
2021-09-01,1.562,11.0,11.0
2021-10-01,1.981,17.0,17.0
2021-11-01,2.909,22.0,22.0
2021-12-01,8.339,61.0,61.0
2022-01-01,23.933,193.0,193.0
2022-02-01,2.701,22.0,22.0
2022-03-01,0.192,0.0,0.0
2022-04-01,0.119,0.0,0.0
2022-05-01,0.349,6.0,6.0
2022-06-01,0.042,0.0,0.0
2022-07-01,0.057,0.0,0.0
2022-08-01,0.039,0.0,0.0
2022-09-01,0.062,0.0,0.0
2022-10-01,0.145,0.0,0.0
2022-11-01,0.443,6.0,6.0
2022-12-01,14.918,121.0,121.0
2023-01-01,1.107,17.0,17.0
2023-02-01,24.939,226.0,226.0
2023-03-01,0.868,6.0,6.0
2023-04-01,0.409,6.0,6.0
2023-05-01,0.79,6.0,6.0
2023-06-01,0.123,0.0,0.0
2023-07-01,0.158,0.0,0.0
2023-08-01,0.184,0.0,0.0
2023-09-01,0.351,6.0,6.0
2023-10-01,0.617,6.0,6.0
2023-11-01,0.295,0.0,0.0
2023-12-01,0.159,0.0,0.0
2024-01-01,10.149,112.0,112.0
2024-02-01,0.479,6.0,6.0
2024-03-01,3.026,35.0,35.0
2024-04-01,0.73,6.0,6.0
2024-05-01,0.367,6.0,6.0
2024-06-01,0.298,6.0,6.0
2024-07-01,0.594,6.0,6.0
2024-08-01,0.392,6.0,6.0
2024-09-01,0.368,6.0,6.0
2024-10-01,0.665,6.0,6.0
2024-11-01,0.932,12.0,12.0
2024-12-01,7.0,76.0,76.0
