measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2001-01-01,375.672,3806.0,3806.0,,,
2001-02-01,321.84,3260.0,3260.0,,,
2001-03-01,349.55,3541.0,3541.0,,,
2001-04-01,306.45300000000003,3104.0,3104.0,,,
2001-05-01,300.535,3044.0,3044.0,,,
2001-06-01,303.772,3077.0,3077.0,,,
2001-07-01,319.36600000000004,3235.0,3235.0,,,
2001-08-01,317.47200000000004,3216.0,3216.0,,,
2001-09-01,374.998,3799.0,3799.0,,,
2001-10-01,360.064,3647.0,3647.0,,,
2001-11-01,372.916,3778.0,3778.0,,,
2001-12-01,422.362,4279.0,4279.0,,,
2002-01-01,4043.7270000000003,40223.0,40223.0,,,
2002-02-01,3440.556,34223.0,34223.0,,,
2002-03-01,3644.828,36255.0,36255.0,,,
2002-04-01,3338.116,33204.0,33204.0,,,
2002-05-01,3239.273,32221.0,32221.0,,,
2002-06-01,3342.481,33248.0,33248.0,,,
2002-07-01,3248.663,32315.0,32315.0,,,
2002-08-01,3037.355,30213.0,30213.0,,,
2002-09-01,3179.3120000000004,31625.0,31625.0,,,
2002-10-01,3460.8610000000003,34425.0,34425.0,,,
2002-11-01,3593.9480000000003,35749.0,35749.0,,,
2002-12-01,3995.8790000000004,39747.0,39747.0,,,
2003-01-01,4132.015,41948.0,41948.0,,,
2003-02-01,3660.5040000000004,37162.0,37162.0,,,
2003-03-01,3780.7670000000003,38382.0,38382.0,,,
2003-04-01,3319.93,33704.0,33704.0,,,
2003-05-01,3258.186,33077.0,33077.0,,,
2003-06-01,3100.333,31475.0,31475.0,,,
2003-07-01,3318.127,33686.0,33686.0,,,
2003-08-01,3176.784,32251.0,32251.0,,,
2003-09-01,3398.031,34497.0,34497.0,,,
2003-10-01,3663.0130000000004,37187.0,37187.0,,,
2003-11-01,3843.578,39020.0,39020.0,,,
2003-12-01,4292.731,43580.0,43580.0,,,
2004-01-01,3793.308,38279.0,38279.0,,,
2004-02-01,4906.749,49514.0,49514.0,,,
2004-03-01,4403.626,44437.0,44437.0,,,
2004-04-01,2985.89,30131.0,30131.0,,,
2004-05-01,3238.069,32676.0,32676.0,,,
2004-06-01,3110.3740000000003,31387.0,31387.0,,,
2004-07-01,4953.4310000000005,49985.0,49985.0,,,
