measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,65.0,887.0,887.0,,,,26.0,341.0,341.0
2003-02-01,0.0,0.0,0.0,582.0,8903.0,8903.0,,,,23.0,341.0,341.0
2003-03-01,0.0,0.0,0.0,253.0,3927.0,3927.0,,,,30.0,453.0,453.0
2003-04-01,0.0,0.0,0.0,1.0,29.0,29.0,,,,1.0,20.0,20.0
2003-05-01,0.0,0.0,0.0,46.0,539.0,539.0,,,,70.0,758.0,758.0
2003-06-01,0.0,0.0,0.0,,,,154.0,1502.0,1502.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,198.0,1786.0,1786.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,151.0,3294.0,3294.0,111.0,940.0,940.0,388.0,4922.0,4922.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,81.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,17.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0,58.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,7.0,168.0,168.0,8.0,87.0,87.0,3.0,60.0,60.0
2004-01-01,0.0,0.0,0.0,64.205,1324.0,1324.0,0.0,0.0,0.0,2.871,37.0,37.0
2004-02-01,0.0,0.0,0.0,0.673,14.0,14.0,0.0,0.0,0.0,1.2930000000000001,17.0,17.0
2004-03-01,0.0,0.0,0.0,4.534,94.0,94.0,7.35,122.0,122.0,2.015,26.0,26.0
2004-04-01,0.0,0.0,0.0,2.591,53.0,53.0,0.565,9.0,9.0,1.738,22.0,22.0
2004-05-01,0.0,0.0,0.0,3.837,79.0,79.0,2.827,47.0,47.0,8.891,114.0,114.0
2004-06-01,0.0,0.0,0.0,1.096,23.0,23.0,2.262,37.0,37.0,6.36,82.0,82.0
2004-07-01,0.0,0.0,0.0,0.266,5.0,5.0,16.962,281.0,281.0,12.193000000000001,157.0,157.0
2004-08-01,0.0,0.0,0.0,0.199,4.0,4.0,89.331,1480.0,1480.0,8.749,113.0,113.0
2004-09-01,0.0,0.0,0.0,4.0360000000000005,83.0,83.0,2.827,47.0,47.0,4.503,58.0,58.0
2004-10-01,0.0,0.0,0.0,0.29100000000000004,6.0,6.0,11.308,187.0,187.0,2.503,32.0,32.0
2004-11-01,0.0,0.0,0.0,3.92,81.0,81.0,13.004000000000001,215.0,215.0,2.052,26.0,26.0
2004-12-01,0.0,0.0,0.0,4.352,90.0,90.0,0.565,9.0,9.0,2.8320000000000003,36.0,36.0
2005-01-01,,,,79.179,1208.94,1208.94,186.84400000000002,2038.59,2038.59,21.999000000000002,357.28,357.28
2005-02-01,,,,27.203000000000003,415.36,415.36,64.194,700.4,700.4,17.6,285.82,285.82
2005-03-01,,,,30.152,460.37,460.37,71.15100000000001,776.3,776.3,24.423000000000002,396.63,396.63
2005-04-01,,,,36.522,557.64,557.64,86.184,940.32,940.32,23.183,376.51,376.51
2005-05-01,,,,33.92,517.91,517.91,80.043,873.32,873.32,22.169,360.03,360.03
2005-06-01,,,,44.025,672.19,672.19,103.888,1133.48,1133.48,41.848,679.63,679.63
2005-07-01,,,,44.812000000000005,684.2,684.2,105.745,1153.75,1153.75,55.091,894.71,894.71
2005-08-01,,,,52.643,803.78,803.78,124.225,1355.37,1355.37,54.728,888.8,888.8
2005-09-01,,,,34.46,526.16,526.16,81.319,887.24,887.24,33.134,538.11,538.11
2005-10-01,,,,38.269,584.31,584.31,90.306,985.29,985.29,23.494,381.55,381.55
2005-11-01,,,,30.765,469.73,469.73,72.598,792.09,792.09,20.591,334.4,334.4
2005-12-01,,,,65.051,993.23,993.23,153.506,1674.85,1674.85,25.74,418.03,418.03
2006-01-01,,,,38.783,574.0,574.0,27.266000000000002,430.0,430.0,19.661,290.0,290.0
2006-02-01,,,,20.294,300.0,300.0,14.267000000000001,225.0,225.0,22.225,327.0,327.0
2006-03-01,,,,17.047,252.0,252.0,11.985,189.0,189.0,29.287000000000003,432.0,432.0
2006-04-01,,,,32.654,483.0,483.0,22.957,362.0,362.0,24.236,357.0,357.0
2006-05-01,,,,30.524,452.0,452.0,21.459,339.0,339.0,31.925,470.0,470.0
2006-06-01,,,,27.744,411.0,411.0,19.505,308.0,308.0,41.123000000000005,606.0,606.0
2006-07-01,,,,40.188,595.0,595.0,28.253,446.0,446.0,73.587,1084.0,1084.0
2006-08-01,,,,38.982,577.0,577.0,27.405,432.0,432.0,65.38900000000001,963.0,963.0
2006-09-01,,,,17.909000000000002,265.0,265.0,12.59,199.0,199.0,38.463,567.0,567.0
2006-10-01,,,,18.918,280.0,280.0,13.3,210.0,210.0,41.663000000000004,614.0,614.0
2006-11-01,,,,22.276,330.0,330.0,15.661000000000001,247.0,247.0,28.01,413.0,413.0
2006-12-01,,,,24.682000000000002,365.0,365.0,17.352,274.0,274.0,28.433,419.0,419.0
2007-01-01,,,,26.122,389.0,389.0,22.253,232.0,232.0,45.55,675.0,675.0
2007-02-01,,,,41.515,615.0,615.0,35.366,365.0,365.0,70.699,1048.0,1048.0
2007-03-01,,,,19.968,296.0,296.0,17.01,174.0,174.0,18.832,280.0,280.0
2007-04-01,,,,18.457,273.0,273.0,15.723,162.0,162.0,34.553000000000004,512.0,512.0
2007-05-01,,,,40.001000000000005,592.0,592.0,34.077,354.0,354.0,82.854,1228.0,1228.0
2007-06-01,,,,11.197000000000001,168.0,168.0,9.539,99.0,99.0,110.14800000000001,1632.0,1632.0
2007-07-01,,,,14.908000000000001,220.0,220.0,12.7,133.0,133.0,162.887,2414.0,2414.0
2007-08-01,,,,6.994000000000001,104.0,104.0,5.958,64.0,64.0,248.619,3686.0,3686.0
2007-09-01,,,,19.366,284.0,284.0,16.498,168.0,168.0,107.655,1596.0,1596.0
2007-10-01,,,,23.027,342.0,342.0,19.617,203.0,203.0,89.69,1329.0,1329.0
2007-11-01,,,,23.706,354.0,354.0,20.195,209.0,209.0,75.50200000000001,1119.0,1119.0
2007-12-01,,,,32.945,487.0,487.0,28.065,290.0,290.0,80.805,1198.0,1198.0
2008-01-01,,,,0.49,17.0,17.0,4.667,52.0,52.0,18.848000000000003,340.0,340.0
2008-02-01,,,,0.463,6.0,6.0,4.404,52.0,52.0,10.115,182.0,182.0
2008-03-01,,,,0.35100000000000003,6.0,6.0,3.34,41.0,41.0,12.736,230.0,230.0
2008-04-01,,,,0.366,6.0,6.0,3.488,41.0,41.0,7.654000000000001,137.0,137.0
2008-05-01,,,,0.332,6.0,6.0,3.165,41.0,41.0,4.978000000000001,89.0,89.0
2008-06-01,,,,0.397,6.0,6.0,3.7790000000000004,46.0,46.0,15.002,270.0,270.0
2008-07-01,,,,0.371,6.0,6.0,3.531,41.0,41.0,24.101000000000003,434.0,434.0
2008-08-01,,,,0.256,6.0,6.0,2.435,29.0,29.0,21.625,389.0,389.0
2008-09-01,,,,0.41200000000000003,6.0,6.0,3.926,46.0,46.0,10.656,192.0,192.0
2008-10-01,,,,0.34400000000000003,6.0,6.0,3.278,41.0,41.0,23.111,416.0,416.0
2008-11-01,,,,0.29,6.0,6.0,2.758,35.0,35.0,19.762,356.0,356.0
2008-12-01,,,,0.759,12.0,12.0,7.229,87.0,87.0,16.581,298.0,298.0
2009-01-01,,,,39.692,597.0,597.0,31.691000000000003,336.0,336.0,110.285,1639.0,1639.0
2009-02-01,,,,21.842000000000002,325.0,325.0,17.438000000000002,180.0,180.0,95.211,1414.0,1414.0
2009-03-01,,,,56.884,847.0,847.0,45.416000000000004,470.0,470.0,52.501000000000005,780.0,780.0
2009-04-01,,,,34.435,510.0,510.0,27.493000000000002,284.0,284.0,29.919,445.0,445.0
2009-05-01,,,,45.33,673.0,673.0,36.191,377.0,377.0,15.522,230.0,230.0
2009-06-01,,,,25.566000000000003,377.0,377.0,20.412000000000003,215.0,215.0,120.82100000000001,1795.0,1795.0
2009-07-01,,,,15.907,238.0,238.0,12.7,133.0,133.0,122.83300000000001,1825.0,1825.0
2009-08-01,,,,23.934,354.0,354.0,19.109,197.0,197.0,129.336,1921.0,1921.0
2009-09-01,,,,28.809,429.0,429.0,23.001,238.0,238.0,45.316,673.0,673.0
2009-10-01,,,,27.481,406.0,406.0,21.941000000000003,226.0,226.0,30.907,459.0,459.0
2009-11-01,,,,34.126000000000005,505.0,505.0,27.246000000000002,284.0,284.0,20.682000000000002,307.0,307.0
2009-12-01,,,,31.766000000000002,470.0,470.0,25.362000000000002,261.0,261.0,60.895,904.0,904.0
2010-01-01,,,,7.656000000000001,133.0,133.0,6.089,64.0,64.0,36.323,609.0,609.0
2010-02-01,,,,6.396,104.0,104.0,5.089,58.0,58.0,27.299000000000003,458.0,458.0
2010-03-01,,,,4.041,70.0,70.0,3.2150000000000003,35.0,35.0,8.914,149.0,149.0
2010-04-01,,,,5.896,99.0,99.0,4.691,52.0,52.0,2.97,49.0,49.0
2010-05-01,,,,8.365,139.0,139.0,6.655,70.0,70.0,16.807000000000002,282.0,282.0
2010-06-01,,,,15.257000000000001,255.0,255.0,12.138,133.0,133.0,51.869,870.0,870.0
