measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2003-01-01,,,,,,,0.0,0.0,0.0,,,,451.0,5168.0,5168.0,,,,38938.0,429318.0,429318.0,,,,,,
2003-02-01,,,,,,,0.0,0.0,0.0,,,,557.0,6665.0,6665.0,,,,17966.0,208998.0,208998.0,,,,,,
2003-03-01,,,,,,,146.0,1130.0,1130.0,,,,878.0,11483.0,11483.0,,,,32133.0,381383.0,381383.0,,,,,,
2003-04-01,,,,,,,0.0,0.0,0.0,,,,1146.0,15073.0,15073.0,,,,38091.0,454334.0,454334.0,,,,,,
2003-05-01,,,,,,,0.0,0.0,0.0,,,,984.0,12716.0,12716.0,,,,17716.0,226794.0,226794.0,,,,,,
2003-06-01,,,,,,,10.0,78.0,78.0,,,,910.0,10910.0,10910.0,,,,31376.0,372625.0,372625.0,,,,,,
2003-07-01,,,,,,,0.0,0.0,0.0,,,,1385.0,16444.0,16444.0,,,,56692.0,665702.0,665702.0,,,,,,
2003-08-01,,,,,,,0.0,0.0,0.0,,,,978.0,11784.0,11784.0,,,,50283.0,598523.0,598523.0,,,,,,
2003-09-01,,,,,,,21.0,168.0,168.0,,,,792.0,9658.0,9658.0,,,,36350.0,438062.0,438062.0,,,,,,
2003-10-01,,,,,,,0.0,0.0,0.0,,,,1783.0,22528.0,22528.0,,,,17692.0,201718.0,201718.0,,,,,,
2003-11-01,,,,1795.0,21837.0,21837.0,29.0,198.0,198.0,,,,2499.0,28080.0,28080.0,,,,38846.0,418505.0,418505.0,,,,,,
2003-12-01,,,,35.0,391.0,391.0,0.0,0.0,0.0,,,,991.0,11559.0,11559.0,,,,49766.0,534876.0,534876.0,,,,,,
2004-01-01,,,,23.0,281.0,281.0,0.0,0.0,0.0,,,,938.0,11293.0,11293.0,,,,44488.0,533710.0,533710.0,,,,,,
2004-02-01,,,,0.0,0.0,0.0,76.0,603.0,603.0,,,,940.0,11449.0,11449.0,,,,43328.0,526402.0,526402.0,,,,,,
2004-03-01,,,,0.0,0.0,0.0,46.0,373.0,373.0,,,,994.0,12530.0,12530.0,,,,25227.0,316297.0,316297.0,,,,,,
2004-04-01,,,,761.0,11165.0,11165.0,0.0,0.0,0.0,,,,626.0,8015.0,8015.0,,,,35352.0,427733.0,427733.0,,,,,,
