measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,415.0,6078.0,6078.0
2003-02-01,51.0,851.0,851.0
2003-03-01,14.0,213.0,213.0
2003-04-01,0.0,0.0,0.0
2003-05-01,17.0,242.0,242.0
2003-06-01,3497.0,43288.0,43288.0
2003-07-01,9.0,146.0,146.0
2003-08-01,1973.0,48596.0,48596.0
2003-09-01,38.0,544.0,544.0
2003-10-01,0.0,0.0,0.0
2003-12-01,98.0,2112.0,2112.0
2004-01-01,657.0,8462.0,8462.0
2004-02-01,22.0,209.0,209.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,3972.0,53073.0,53073.0
2004-06-01,2914.0,35419.0,35419.0
2004-07-01,2803.0,34832.0,34832.0
2004-08-01,6694.0,85405.0,85405.0
2004-09-01,17.0,385.0,385.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,737.0,9121.0,9121.0
2005-01-01,1097.0,12463.0,12463.0
2005-02-01,0.0,0.0,0.0
2005-03-01,45.0,621.87,621.87
2005-04-01,0.0,0.0,0.0
2005-05-01,420.0,6690.88,6690.88
2005-06-01,3228.0,40799.33,40799.33
2005-07-01,0.0,0.0,0.0
2005-08-01,638.0,8281.2,8281.2
2005-09-01,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,224.0,2956.1,2956.1
2006-01-01,647.0,8359.0,8359.0
2006-02-01,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0
2006-05-01,2861.0,38051.0,38051.0
2006-06-01,39.0,570.0,570.0
2006-07-01,1762.0,22807.0,22807.0
2006-08-01,3496.0,44858.0,44858.0
2006-09-01,440.0,5896.0,5896.0
2006-10-01,0.0,8443.0,8443.0
2006-11-01,45.0,661.0,661.0
2006-12-01,0.0,40.0,40.0
2007-01-01,564.0,6787.0,6787.0
2007-02-01,395.0,4797.0,4797.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,1520.0,1520.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,872.0,11002.0,11002.0
2007-08-01,7721.0,98539.0,98539.0
2007-09-01,0.0,0.0,0.0
2007-10-01,1.0,12.0,12.0
2007-11-01,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0
2008-01-01,872.0,10899.0,10899.0
2008-02-01,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0
2008-04-01,0.0,1174.0,1174.0
2008-05-01,0.0,194.0,194.0
2008-06-01,667.0,8642.0,8642.0
2008-07-01,7176.0,90110.0,90110.0
2008-08-01,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,164.0,164.0
2009-01-01,721.0,9172.0,9172.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,975.0,975.0
2009-05-01,0.0,0.0,0.0
2009-06-01,2795.0,35890.0,35890.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0
2010-04-01,0.0,764.0,764.0
2010-05-01,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0
2010-07-01,3870.0,49929.0,49929.0
2010-08-01,6727.0,86000.0,86000.0
2010-09-01,0.0,31.0,31.0
2010-10-01,0.0,14.0,14.0
2010-11-01,0.0,29.0,29.0
2010-12-01,1207.0,14866.0,14866.0
2011-01-01,0.0,15.0,15.0
2011-02-01,0.0,11.0,11.0
2011-03-01,0.0,26.0,26.0
2011-04-01,0.0,25.0,25.0
2011-05-01,1248.0,15704.0,15704.0
2011-06-01,3706.0,46966.0,46966.0
2011-07-01,6204.0,86520.0,86520.0
2011-08-01,6.0,134.0,134.0
2011-09-01,0.0,10.0,10.0
2011-10-01,15.0,372.0,372.0
2011-11-01,0.0,10.0,10.0
2011-12-01,0.0,78.0,78.0
2012-01-01,0.0,344.0,344.0
2012-02-01,0.0,11.0,11.0
2012-03-01,0.0,9.0,9.0
2012-04-01,0.0,647.0,647.0
2012-05-01,2387.0,30357.0,30357.0
2012-06-01,4515.0,62017.0,62017.0
2012-07-01,20037.0,261760.0,261760.0
2012-08-01,2305.0,37726.0,37726.0
2012-09-01,-339.0,12.0,12.0
2012-10-01,-474.0,12.0,12.0
2012-11-01,-200.0,5110.0,5110.0
2012-12-01,-688.0,15.0,15.0
2013-01-01,-784.0,12.0,12.0
2013-02-01,-720.0,34.0,34.0
2013-03-01,-729.0,11.0,11.0
2013-04-01,177.0,9206.0,9206.0
2013-05-01,2961.0,44467.0,44467.0
2013-06-01,-343.0,15.0,15.0
2013-07-01,11140.0,146155.0,146155.0
2013-08-01,-336.0,178.0,178.0
