measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,478.21900000000005,13919.0,13919.0,,,,4892.093,164969.0,164969.0,,,
2001-02-01,423.82800000000003,12336.0,12336.0,,,,4335.688,146206.0,146206.0,,,
2001-03-01,405.175,11793.0,11793.0,,,,4144.8730000000005,139772.0,139772.0,,,
2001-04-01,400.708,11663.0,11663.0,,,,4099.171,138231.0,138231.0,,,
2001-05-01,371.534,10814.0,10814.0,,,,3800.726,128167.0,128167.0,,,
2001-06-01,458.634,13349.0,13349.0,,,,4691.745,158213.0,158213.0,,,
2001-07-01,502.745,14633.0,14633.0,,,,5142.996,173430.0,173430.0,,,
2001-08-01,479.47900000000004,13955.0,13955.0,,,,4904.983,165404.0,165404.0,,,
2001-09-01,444.075,12925.0,12925.0,,,,4542.805,153191.0,153191.0,,,
2001-10-01,473.386,13778.0,13778.0,,,,4842.653,163302.0,163302.0,,,
2001-11-01,446.458,12994.0,12994.0,,,,4567.19,154013.0,154013.0,,,
2001-12-01,493.76,14371.0,14371.0,,,,5051.076,170330.0,170330.0,,,
2002-01-01,467.668,12852.0,12852.0,,,,4916.331,135302.0,135302.0,,,
2002-02-01,406.332,11166.0,11166.0,,,,4271.535,117557.0,117557.0,,,
2002-03-01,438.065,12038.0,12038.0,,,,4605.125,126738.0,126738.0,,,
2002-04-01,403.153,11079.0,11079.0,,,,4238.1140000000005,116637.0,116637.0,,,
2002-05-01,392.603,10789.0,10789.0,,,,4127.211,113585.0,113585.0,,,
2002-06-01,438.075,12039.0,12039.0,,,,4605.236,126741.0,126741.0,,,
2002-07-01,501.33700000000005,13777.0,13777.0,,,,5270.276,145043.0,145043.0,,,
2002-08-01,477.182,13113.0,13113.0,,,,5016.345,138055.0,138055.0,,,
2002-09-01,444.30400000000003,12210.0,12210.0,,,,4670.717000000001,128543.0,128543.0,,,
2002-10-01,458.91,12611.0,12611.0,,,,4824.258,132768.0,132768.0,,,
2002-11-01,439.75,12085.0,12085.0,,,,4622.844,127225.0,127225.0,,,
2002-12-01,481.62100000000004,13235.0,13235.0,,,,5063.008,139339.0,139339.0,,,
2003-01-01,165.549,4596.0,4596.0,,,,4851.003000000001,134347.0,134347.0,,,
2003-02-01,154.981,4303.0,4303.0,,,,4541.326,125771.0,125771.0,,,
2003-03-01,149.725,4157.0,4157.0,,,,4387.312,121506.0,121506.0,,,
2003-04-01,143.36100000000002,3980.0,3980.0,,,,4200.827,116341.0,116341.0,,,
2003-05-01,145.448,4038.0,4038.0,,,,4261.9890000000005,118035.0,118035.0,,,
2003-06-01,151.77800000000002,4214.0,4214.0,,,,4447.456,123171.0,123171.0,,,
2003-07-01,175.02800000000002,4860.0,4860.0,,,,5128.751,142040.0,142040.0,,,
2003-08-01,177.45600000000002,4927.0,4927.0,,,,5199.904,144010.0,144010.0,,,
2003-09-01,153.77,4269.0,4269.0,,,,4505.8330000000005,124788.0,124788.0,,,
2003-10-01,159.443,4427.0,4427.0,,,,4672.078,129392.0,129392.0,,,
2003-11-01,163.65,4544.0,4544.0,,,,4795.334,132806.0,132806.0,,,
2003-12-01,170.811,4743.0,4743.0,,,,5005.186000000001,138617.0,138617.0,,,
2004-01-01,5.702,212.0,212.0,,,,3739.215,137895.0,137895.0,,,
2004-02-01,5.1770000000000005,192.0,192.0,,,,3118.324,114998.0,114998.0,,,
2004-03-01,5.35,199.0,199.0,,,,2830.696,104390.0,104390.0,,,
2004-04-01,5.096,189.0,189.0,,,,2619.654,96608.0,96608.0,,,
2004-05-01,5.646,210.0,210.0,,,,2771.061,102191.0,102191.0,,,
2004-06-01,5.228000000000001,194.0,194.0,,,,3107.981,114616.0,114616.0,,,
2004-07-01,4.1610000000000005,155.0,155.0,,,,3365.715,124121.0,124121.0,,,
2004-08-01,3.797,141.0,141.0,,,,3365.034,124096.0,124096.0,,,
2004-09-01,4.514,168.0,168.0,,,,3360.45,123927.0,123927.0,,,
2004-10-01,4.222,157.0,157.0,,,,3477.936,128259.0,128259.0,,,
2004-11-01,3.7560000000000002,140.0,140.0,,,,3158.231,116469.0,116469.0,,,
2004-12-01,5.352,199.0,199.0,,,,3421.703,126186.0,126186.0,,,
2005-01-01,,,,,,,3887.6560000000004,127499.59,127499.59,,,
2005-02-01,,,,,,,3384.85,111009.57,111009.57,,,
2005-03-01,,,,,,,3511.773,115172.13,115172.13,,,
2005-04-01,,,,,,,3129.68,102641.02,102641.02,,,
2005-05-01,,,,,,,3435.76,112679.2,112679.2,,,
2005-06-01,,,,,,,3826.724,125501.27,125501.27,,,
2005-07-01,,,,,,,4045.2520000000004,132668.11,132668.11,,,
2005-08-01,,,,,,,4090.259,134144.17,134144.17,,,
2005-09-01,,,,,,,3748.382,122931.95,122931.95,,,
2005-10-01,,,,,,,3539.6440000000002,116086.2,116086.2,,,
2005-11-01,,,,,,,3450.989,113178.67,113178.67,,,
2005-12-01,,,,,,,3854.032,126396.88,126396.88,,,
2006-01-01,2.613,98.0,98.0,,,,2918.18,109274.0,109274.0,,,
2006-02-01,2.9530000000000003,111.0,111.0,,,,2779.246,104071.0,104071.0,,,
2006-03-01,3.8920000000000003,147.0,147.0,,,,2839.875,106341.0,106341.0,,,
2006-04-01,3.221,121.0,121.0,,,,2416.1020000000003,90473.0,90473.0,,,
2006-05-01,4.242,160.0,160.0,,,,2582.039,96687.0,96687.0,,,
2006-06-01,5.464,206.0,206.0,,,,2797.252,104745.0,104745.0,,,
2006-07-01,9.778,369.0,369.0,,,,3181.869,119148.0,119148.0,,,
2006-08-01,8.689,328.0,328.0,,,,3204.828,120007.0,120007.0,,,
