measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,510.0,5397.0,5397.0,62974.0,706966.0,706966.0
2001-02-01,0.0,0.0,0.0,-436.0,2248.0,2248.0
2001-03-01,100.0,1075.0,1075.0,56575.0,592529.0,592529.0
2001-04-01,138.0,1571.0,1571.0,59838.0,661614.0,661614.0
2001-05-01,43.0,462.0,462.0,72010.0,746158.0,746158.0
2001-06-01,4975.0,56630.0,56630.0,65897.0,728893.0,728893.0
2001-07-01,41576.0,501399.0,501399.0,17347.0,203290.0,203290.0
2001-08-01,28526.0,334045.0,334045.0,60059.0,683445.0,683445.0
2001-09-01,27106.0,326652.0,326652.0,10608.0,124225.0,124225.0
2001-10-01,2785.0,33450.0,33450.0,12946.0,151130.0,151130.0
2001-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0
