measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-01-01,2911.205,25590.0,25590.0
2013-02-01,2583.359,22709.0,22709.0
2013-03-01,2995.515,26331.0,26331.0
2013-04-01,2872.326,25249.0,25249.0
2013-05-01,2996.391,26339.0,26339.0
2013-06-01,2933.143,25783.0,25783.0
2013-07-01,3068.727,26975.0,26975.0
2013-08-01,3075.015,27030.0,27030.0
2013-09-01,2898.848,25482.0,25482.0
2013-10-01,3052.202,26830.0,26830.0
2013-11-01,3093.038,27189.0,27189.0
2013-12-01,3220.231,28307.0,28307.0
2014-01-01,2945.515,435212.0,435212.0
2014-02-01,2520.908,372475.0,372475.0
2014-03-01,2921.315,431637.0,431637.0
2014-04-01,2829.077,418009.0,418009.0
2014-05-01,2925.36,432234.0,432234.0
2014-06-01,2868.203,423790.0,423790.0
2014-07-01,2937.929,434092.0,434092.0
2014-08-01,2904.499,429153.0,429153.0
2014-09-01,2742.719,405249.0,405249.0
2014-10-01,2818.698,416475.0,416475.0
2014-11-01,2767.151,408859.0,408859.0
2014-12-01,2866.626,423557.0,423557.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0
