measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,108.49300000000001,7632.0,7632.0,0.0,0.0,0.0,,,,,,,,,
2003-02-01,93.92,6607.0,6607.0,0.0,0.0,0.0,,,,,,,,,
2003-03-01,88.488,6225.0,6225.0,0.0,0.0,0.0,,,,,,,,,
2003-04-01,87.571,6161.0,6161.0,0.0,0.0,0.0,,,,,,,,,
2003-05-01,86.372,6076.0,6076.0,0.0,0.0,0.0,,,,,,,,,
2003-06-01,95.47800000000001,6717.0,6717.0,0.0,0.0,0.0,,,,,,,,,
2003-07-01,105.165,7398.0,7398.0,0.0,0.0,0.0,,,,,,,,,
2003-08-01,106.35900000000001,7482.0,7482.0,0.0,0.0,0.0,,,,,,,,,
2003-09-01,88.00200000000001,6191.0,6191.0,0.0,0.0,0.0,,,,,,,,,
2003-10-01,84.37,5935.0,5935.0,0.0,0.0,0.0,,,,,,,,,
2003-11-01,85.977,6048.0,6048.0,0.0,0.0,0.0,,,,,,,,,
2003-12-01,103.80300000000001,7302.0,7302.0,0.0,0.0,0.0,,,,,,,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-01-01,6608.528,110970.18,110970.18,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-02-01,5753.821,96618.0,96618.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-03-01,5969.573,100240.88,100240.88,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-04-01,5320.064,89334.36,89334.36,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-05-01,5840.361,98071.16,98071.16,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-06-01,6504.951,109230.94,109230.94,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-07-01,6876.421,115468.66,115468.66,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-08-01,6952.928,116753.36,116753.36,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-09-01,6371.779,106994.72,106994.72,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-10-01,6016.952,101036.46,101036.46,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-11-01,5866.249000000001,98505.87,98505.87,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2005-12-01,6551.372,110010.43,110010.43,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-01-01,697.435,15024.0,15024.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-02-01,664.231,14309.0,14309.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-03-01,678.721,14621.0,14621.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-04-01,577.44,12439.0,12439.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-05-01,617.099,13293.0,13293.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-06-01,668.534,14401.0,14401.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-07-01,760.456,16382.0,16382.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-08-01,765.943,16500.0,16500.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-09-01,636.4060000000001,13709.0,13709.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-10-01,658.2620000000001,14180.0,14180.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-11-01,650.861,14021.0,14021.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-12-01,704.611,15179.0,15179.0,,,,,,,,,,,,
