measured_on,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,47.885,708.0,4021.0
2003-02-01,42.093,623.0,3534.0
2003-03-01,42.047000000000004,622.0,3531.0
2003-04-01,35.637,527.0,2992.0
2003-05-01,38.803000000000004,574.0,3258.0
2003-06-01,41.668,616.0,3499.0
2003-07-01,46.744,691.0,3925.0
2003-08-01,50.205,743.0,4216.0
2003-09-01,42.811,633.0,3595.0
2003-10-01,45.873000000000005,678.0,3852.0
2003-11-01,44.007000000000005,651.0,3695.0
2003-12-01,46.227000000000004,684.0,3882.0
2004-01-01,46.806000000000004,234.87,3718.33
2004-02-01,47.715,239.44,3790.49
2004-03-01,44.472,223.16,3532.98
2004-04-01,38.293,192.16,3042.05
2004-05-01,50.105,251.43,3980.46
2004-06-01,48.905,245.41,3885.09
2004-07-01,31.517000000000003,158.15,2503.71
2004-08-01,50.488,253.35,4010.82
2004-09-01,51.625,259.05,4101.13
2004-10-01,49.853,250.16,3960.44
2004-11-01,42.676,214.15,3390.2
2004-12-01,51.413000000000004,257.99,4084.3
2005-01-01,26.746000000000002,134.21,2253.68
2005-02-01,24.822000000000003,124.56,2091.54
2005-03-01,26.837,134.67,2261.27
2005-04-01,23.074,115.78,1944.25
2005-05-01,25.606,128.49,2157.65
2005-06-01,24.791,124.4,2088.9
2005-07-01,27.456000000000003,137.77,2313.41
2005-08-01,28.268,141.85,2381.94
2005-09-01,26.61,133.53,2242.24
2005-10-01,25.364,127.27,2137.19
2005-11-01,25.831,129.62,2176.57
2005-12-01,27.906000000000002,140.03,2351.36
2006-01-01,3.604,18.09,1901.13
2006-02-01,3.2720000000000002,16.42,1725.9
2006-03-01,3.544,17.79,1869.34
2006-04-01,3.2760000000000002,16.44,1727.77
2006-05-01,3.2680000000000002,16.4,1723.7
2006-06-01,3.262,16.37,1720.73
2006-07-01,3.5060000000000002,17.59,1848.99
2006-08-01,3.712,18.63,1958.0
2006-09-01,3.474,17.43,1832.27
2006-10-01,3.607,18.1,1902.78
2006-11-01,3.528,17.7,1860.65
2006-12-01,3.657,18.35,1928.74
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
