measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2020-01-01,-6.641,0.0,0.0
2020-02-01,-5.132,0.0,0.0
2020-03-01,-7.875,0.0,0.0
2020-04-01,-6.983,0.0,0.0
2020-05-01,-6.765,0.0,0.0
2020-06-01,-6.008,0.0,0.0
2020-07-01,-7.104,0.0,0.0
2020-08-01,-7.08,0.0,0.0
2020-09-01,-7.654,0.0,0.0
2020-10-01,-8.174,0.0,0.0
2020-11-01,-8.057,0.0,0.0
2020-12-01,-7.527,0.0,0.0
2024-01-01,-4.0,0.0,0.0
2024-02-01,-5.0,0.0,0.0
2024-03-01,-6.0,0.0,0.0
2024-04-01,-12.0,0.0,0.0
2024-05-01,-12.0,0.0,0.0
2024-06-01,-12.0,0.0,0.0
2024-07-01,-12.0,0.0,0.0
2024-08-01,-12.0,0.0,0.0
2024-09-01,-12.0,0.0,0.0
2024-10-01,-18.0,0.0,0.0
2024-11-01,-9.0,0.0,0.0
2024-12-01,-7.0,0.0,0.0
