measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2009-01-01,,,,239.084,2407.0,2407.0
2009-02-01,,,,175.47,1767.0,1767.0
2009-03-01,,,,182.255,1835.0,1835.0
2009-04-01,,,,187.263,1885.0,1885.0
2009-05-01,,,,112.268,1128.0,1128.0
2009-06-01,,,,110.248,1111.0,1111.0
2009-07-01,,,,124.29400000000001,1251.0,1251.0
2009-08-01,,,,123.65,1246.0,1246.0
2009-09-01,,,,82.367,830.0,830.0
2009-10-01,,,,81.611,819.0,819.0
2009-11-01,,,,155.131,1560.0,1560.0
2009-12-01,,,,157.359,1582.0,1582.0
2010-01-01,,,,219.202,2227.0,2227.0
2010-02-01,,,,174.161,1773.0,1773.0
2010-03-01,,,,154.15200000000002,1571.0,1571.0
2010-04-01,,,,136.477,1386.0,1386.0
2010-05-01,,,,113.488,1156.0,1156.0
2010-06-01,,,,89.08500000000001,909.0,909.0
2010-07-01,,,,102.209,1038.0,1038.0
2010-08-01,,,,104.205,1060.0,1060.0
2010-09-01,,,,95.415,971.0,971.0
2010-10-01,,,,114.37400000000001,1161.0,1161.0
2010-11-01,,,,130.27100000000002,1324.0,1324.0
2010-12-01,,,,236.961,2412.0,2412.0
2011-01-01,,,,208.216,2149.0,2149.0
2011-02-01,,,,185.946,1930.0,1930.0
2011-03-01,,,,162.794,1689.0,1689.0
2011-04-01,,,,105.476,1094.0,1094.0
2011-05-01,,,,110.548,1144.0,1144.0
2011-06-01,,,,102.708,1066.0,1066.0
2011-07-01,,,,108.536,1128.0,1128.0
2011-08-01,,,,97.962,1015.0,1015.0
2011-09-01,,,,108.564,1128.0,1128.0
2011-10-01,,,,191.929,1992.0,1992.0
2011-11-01,,,,177.699,1840.0,1840.0
2011-12-01,,,,175.622,1818.0,1818.0
2012-01-01,,,,182.416,1913.0,1913.0
2012-02-01,,,,107.589,1122.0,1122.0
2012-03-01,,,,163.179,1705.0,1705.0
2012-04-01,,,,103.323,1077.0,1077.0
2012-05-01,,,,129.293,1352.0,1352.0
2012-06-01,,,,105.508,1105.0,1105.0
2012-07-01,,,,164.969,1722.0,1722.0
2012-08-01,,,,153.72,1604.0,1604.0
2012-09-01,,,,143.108,1498.0,1498.0
2012-10-01,,,,106.298,1111.0,1111.0
2012-11-01,,,,114.004,1189.0,1189.0
2012-12-01,,,,175.593,1834.0,1834.0
2013-01-01,,,,193.773,1891.0,1891.0
2013-02-01,,,,133.697,1302.0,1302.0
2013-03-01,,,,135.235,1313.0,1313.0
2013-04-01,,,,155.988,1515.0,1515.0
2013-05-01,,,,157.207,1526.0,1526.0
2013-06-01,,,,112.897,1100.0,1100.0
2013-07-01,,,,106.897,1038.0,1038.0
2013-08-01,,,,105.469,1027.0,1027.0
2013-09-01,,,,123.779,1201.0,1201.0
2013-10-01,,,,119.11,1156.0,1156.0
2013-11-01,,,,155.251,1509.0,1509.0
2013-12-01,,,,175.697,1705.0,1705.0
2014-01-01,,,,174.16,1773.0,1773.0
2014-02-01,,,,165.244,1677.0,1677.0
2014-03-01,,,,161.308,1638.0,1638.0
2014-04-01,,,,151.56,1537.0,1537.0
2014-05-01,,,,127.968,1302.0,1302.0
2014-06-01,,,,76.275,774.0,774.0
2014-07-01,,,,134.846,1369.0,1369.0
2014-08-01,,,,108.493,1100.0,1100.0
2014-09-01,,,,127.646,1296.0,1296.0
2014-10-01,,,,168.737,1711.0,1711.0
2014-11-01,,,,123.334,1251.0,1251.0
2014-12-01,,,,160.429,1627.0,1627.0
2015-01-01,,,,168.505,1705.0,1705.0
2015-02-01,,,,148.608,1503.0,1503.0
2015-03-01,,,,149.496,1515.0,1515.0
2015-04-01,,,,154.823,1565.0,1565.0
2015-05-01,,,,124.426,1262.0,1262.0
2015-06-01,,,,123.963,1257.0,1257.0
2015-07-01,,,,128.82,1302.0,1302.0
2015-08-01,,,,146.251,1481.0,1481.0
2015-09-01,,,,131.717,1335.0,1335.0
2015-10-01,,,,150.693,1526.0,1526.0
2015-11-01,,,,105.367,1066.0,1066.0
2015-12-01,0.0,0.0,0.0,101.331,1027.0,1027.0
2016-01-01,0.0,0.0,0.0,132.488,1290.0,1290.0
2016-02-01,0.0,0.0,0.0,147.028,1436.0,1436.0
2016-03-01,0.0,0.0,0.0,139.14,1358.0,1358.0
2016-04-01,0.0,0.0,0.0,113.947,1111.0,1111.0
2016-05-01,0.0,0.0,0.0,103.941,1015.0,1015.0
2016-06-01,0.0,0.0,0.0,104.553,1021.0,1021.0
2016-07-01,0.0,0.0,0.0,87.463,853.0,853.0
2016-08-01,0.0,0.0,0.0,114.627,1116.0,1116.0
2016-09-01,0.0,0.0,0.0,116.798,1139.0,1139.0
2016-10-01,0.0,0.0,0.0,134.124,1307.0,1307.0
2016-11-01,0.0,0.0,0.0,187.16,1829.0,1829.0
2016-12-01,0.0,0.0,0.0,252.731,2468.0,2468.0
2017-01-01,0.0,0.0,0.0,152.211,1447.0,1447.0
2017-02-01,0.0,0.0,0.0,122.901,1172.0,1172.0
2017-03-01,0.0,0.0,0.0,141.51,1346.0,1346.0
2017-04-01,0.0,0.0,0.0,130.471,1245.0,1245.0
