measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,11.0,155.0,155.0,0.0,0.0,0.0,11029.0,161500.0,161500.0
2003-02-01,82.0,1231.0,1231.0,0.0,0.0,0.0,10058.0,151300.0,151300.0
2003-03-01,4.0,52.0,52.0,0.0,0.0,0.0,11316.0,165750.0,165750.0
2003-04-01,10840.0,162800.0,162800.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,10190.0,104650.0,104650.0,,,,0.0,0.0,0.0
2003-06-01,2.0,23.0,23.0,0.0,0.0,0.0,11008.0,159375.0,159375.0
2003-07-01,7.0,98.0,98.0,0.0,0.0,0.0,11313.0,164900.0,164900.0
2003-08-01,20.0,293.0,293.0,0.0,0.0,0.0,11040.0,161500.0,161500.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,11070.0,159375.0,159375.0
2003-10-01,9.0,128.0,128.0,,,,11381.0,154400.0,154400.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,10740.0,162000.0,162000.0
2005-01-01,277.87600000000003,4093.56,4093.56,,,,11228.727,165440.92,165440.92
2005-02-01,63.961000000000006,942.26,942.26,,,,10420.911,153538.8,153538.8
2005-03-01,54.887,808.57,808.57,,,,11266.682,166000.15,166000.15
2005-04-01,54.918,809.03,809.03,,,,9686.82,142722.9,142722.9
2005-05-01,55.371,815.7,815.7,,,,10750.161,158389.88,158389.88
2005-06-01,67.074,988.11,988.11,,,,10407.664,153343.61,153343.61
2005-07-01,127.03,1871.37,1871.37,,,,11526.541000000001,169828.84,169828.84
2005-08-01,112.512,1657.48,1657.48,,,,11867.445,174851.63,174851.63
2005-09-01,62.604000000000006,922.26,922.26,,,,11171.471,164597.35,164597.35
2005-10-01,87.772,1293.03,1293.03,,,,10648.325,156889.45,156889.45
2005-11-01,59.102000000000004,870.67,870.67,,,,10844.676,159782.42,159782.42
2005-12-01,161.894,2384.96,2384.96,,,,11715.577,172614.05,172614.05
2006-01-01,15613.908,154074.0,154074.0,,,,35.886,774.0,774.0
2006-02-01,8170.265,80622.0,80622.0,,,,32.826,708.0,708.0
2006-03-01,6863.102000000001,67723.0,67723.0,,,,33.011,712.0,712.0
2006-04-01,13146.565,129727.0,129727.0,,,,21.762,469.0,469.0
2006-05-01,12288.731,121262.0,121262.0,,,,28.831000000000003,622.0,622.0
2006-06-01,11169.605,110219.0,110219.0,,,,28.954,625.0,625.0
2006-07-01,16179.441,159655.0,159655.0,,,,33.119,714.0,714.0
2006-08-01,15693.967,154864.0,154864.0,,,,36.845,795.0,795.0
2006-09-01,7210.06,71147.0,71147.0,,,,31.442,678.0,678.0
2006-10-01,7616.154,75154.0,75154.0,,,,33.84,730.0,730.0
