measured_on,Distillate Fuel Oil-Combined Cycle Single Shaft Generation,Distillate Fuel Oil-Combined Cycle Single Shaft Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Single Shaft Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,23.0,133.0,133.0,,,,0.0,0.0,0.0,7.0,76.0,76.0
2003-02-01,,,,0.0,0.0,0.0,431.0,4066.0,4066.0,,,,0.0,0.0,0.0,4.0,37.0,37.0
2003-03-01,,,,56.0,539.0,539.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,51.0,586.0,586.0,,,,8.0,86.0,86.0,24.0,246.0,246.0
2003-05-01,,,,0.0,0.0,0.0,1.0,12.0,12.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,37.0,389.0,389.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0,102.0,1079.0,1079.0,,,,0.0,0.0,0.0,93.0,991.0,991.0
2003-08-01,,,,0.0,0.0,0.0,74.0,876.0,876.0,,,,,,,362.0,4384.0,4384.0
2003-09-01,,,,0.0,0.0,0.0,52.0,592.0,592.0,,,,35.0,682.0,682.0,37.0,415.0,415.0
2003-10-01,,,,0.0,0.0,0.0,3.0,35.0,35.0,,,,0.0,0.0,0.0,7.0,98.0,98.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0,14.469000000000001,144.0,144.0,,,,3.512,76.0,76.0,30.487000000000002,304.0,304.0
2004-02-01,,,,0.0,0.0,0.0,4.196000000000001,42.0,42.0,,,,0.603,13.0,13.0,20.062,200.0,200.0
2004-03-01,,,,0.0,0.0,0.0,3.337,33.0,33.0,,,,0.164,4.0,4.0,17.643,176.0,176.0
2004-04-01,,,,0.0,0.0,0.0,7.88,78.0,78.0,,,,0.12300000000000001,3.0,3.0,36.975,369.0,369.0
2004-05-01,,,,0.0,0.0,0.0,14.984,149.0,149.0,,,,0.321,7.0,7.0,21.1,210.0,210.0
2004-06-01,,,,0.0,0.0,0.0,7.432,74.0,74.0,,,,0.793,17.0,17.0,25.993000000000002,259.0,259.0
2004-07-01,,,,0.0,0.0,0.0,41.091,409.0,409.0,,,,2.0980000000000003,46.0,46.0,23.342000000000002,233.0,233.0
2004-08-01,,,,0.0,0.0,0.0,4.941,49.0,49.0,,,,0.25,5.0,5.0,7.34,73.0,73.0
2004-09-01,,,,0.0,0.0,0.0,15.857000000000001,158.0,158.0,,,,1.19,26.0,26.0,20.599,205.0,205.0
