measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed"
2004-01-01,7889.72741,46303.87,187394.34,128.57084,754.57,3053.77,234.71975,1377.54,5574.99,0.0,0.0,0.0
2004-02-01,6751.5068,39623.79,161477.94,104.11756,611.05,2490.21,256.01364,1502.51,6123.16,0.0,0.0,0.0
2004-03-01,4564.8228,26790.4,116929.31,100.85589,591.91,2583.45,483.99431,2840.5,12397.66,0.0,0.0,0.0
2004-04-01,4438.59744,26049.6,108466.91,100.74444,591.26,2461.91,237.64012,1394.68,5807.26,0.0,0.0,0.0
2004-05-01,6378.72885,37436.0,149873.24,102.47380000000001,601.41,2407.7,119.35034999999999,700.45,2804.23,0.0,0.0,0.0
2004-06-01,6563.35,38519.52,156164.34,148.6241,872.26,3536.27,165.65188999999998,972.19,3941.42,0.0,0.0,0.0
2004-07-01,7084.49666,41578.06,164409.28,59.80491,350.99,1387.89,122.80091999999999,720.7,2849.83,1195.55751,7016.58,27745.2
2004-08-01,6286.58656,36895.23,148528.9,146.37810000000002,859.08,3458.38,163.24338,958.06,3856.84,1353.65797,7944.46,31981.95
2004-09-01,6356.05917,37302.95,148725.11,91.94847,539.63,2151.5,144.74624,849.5,3386.91,1401.51912,8225.35,32794.07
2004-10-01,4040.76969,23714.79,95978.38,116.72197,685.03,2772.44,158.6612,931.16,3768.6,1935.07013,11356.69,45962.75
2004-11-01,5474.36667,32128.41,127236.71,128.11869,751.91,2977.77,90.06994,528.61,2093.43,3766.44469,22104.82,87540.73
2004-12-01,6172.23896,36224.13,143512.07,143.1368,840.05,3328.1,106.38841,624.38,2473.66,4222.41283,24780.84,98176.24
2005-01-01,9251.555,54296.27,178832.38,126.34106,741.48,2442.17,128.50453,754.18,2483.99,1608.79441,9441.82,31097.96
2005-02-01,8472.7839,49725.75,162371.68,29.334609999999998,172.16,562.17,114.90973,674.39,2202.12,1358.15376,7970.84,26027.54
2005-03-01,9075.65564,53263.94,174051.98,25.15476,147.63,482.42,137.02494000000002,804.18,2627.85,1446.70366,8490.53,27744.73
2005-04-01,7441.09608,43670.9,143189.65,25.081500000000002,147.2,482.65,140.00821,821.69,2694.19,1310.07121,7688.65,25209.81
2005-05-01,7083.03552,41569.48,136033.82,25.337200000000003,148.7,486.62,113.80181,667.89,2185.63,1160.63047,6811.6,22290.58
2005-06-01,9038.84153,53047.88,174366.58,30.558449999999997,179.34,589.5,192.75551000000002,1131.26,3718.41,1400.57151,8219.79,27018.16
2005-07-01,10033.12341,58883.2,194542.21,57.57859,337.92,1116.45,247.12178,1450.33,4791.69,1403.17322,8235.06,27207.52
2005-08-01,9924.64965,58246.58,192691.24,50.92988,298.9,988.82,263.86399,1548.59,5123.03,1322.68949,7762.71,25680.57
2005-09-01,9013.20264,52897.4,173585.0,28.568369999999998,167.66,550.2,175.96631,1032.73,3388.93,1366.13767,8017.7,26310.41
2005-10-01,8469.72204,49707.78,162554.77,40.194900000000004,235.9,771.44,122.11152,716.66,2343.62,1559.40754,9151.98,29928.86
2005-11-01,8333.43557,48907.94,159634.99,27.11498,159.13,519.41,109.81802,644.51,2103.67,1275.56744,7486.15,24434.72
2005-12-01,9579.86956,56223.11,184136.05,74.0252,434.45,1422.85,118.24842,693.99,2272.87,1282.02681,7524.06,24642.02
2006-01-01,9917.84953,58206.67,229283.76,0.0,0.0,0.0,185.86147,1090.8,4296.8,0.0,0.0,0.0
2006-02-01,9314.63409,54666.47,215578.08,0.0,0.0,0.0,185.11390999999998,1086.41,4284.28,0.0,0.0,0.0
2006-03-01,9075.17779,53261.13,210515.76,0.0,0.0,0.0,201.48921,1182.52,4673.92,0.0,0.0,0.0
2006-04-01,9115.50728,53497.82,210716.16,0.0,0.0,0.0,169.99572,997.68,3929.66,0.0,0.0,0.0
2006-05-01,9600.39692,56343.58,221609.76,0.0,0.0,0.0,165.14208,969.2,3812.04,0.0,0.0,0.0
2006-06-01,9779.54308,57394.97,226701.12,0.0,0.0,0.0,210.35792,1234.57,4876.34,0.0,0.0,0.0
2006-07-01,10178.49735,59736.39,238066.32,0.0,0.0,0.0,312.22265,1832.4,7302.62,0.0,0.0,0.0
2006-08-01,10191.66954,59813.69,237962.16,0.0,0.0,0.0,294.45846,1728.14,6875.22,0.0,0.0,0.0
2006-09-01,9259.95112,54345.55,214904.88,0.0,0.0,0.0,210.12588,1233.2,4876.6,0.0,0.0,0.0
2006-10-01,9038.13416,53043.73,210404.16,0.0,0.0,0.0,233.62084,1371.09,5438.6,0.0,0.0,0.0
2006-11-01,9198.2171,53983.24,213312.96,0.0,0.0,0.0,201.7159,1183.85,4677.93,0.0,0.0,0.0
2006-12-01,9821.50848,57641.26,227360.88,0.0,0.0,0.0,197.45752,1158.85,4571.0,0.0,0.0,0.0
2007-01-01,10639.164,62433.0,224280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,9450.312,55461.0,191982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,11081.862000000001,65037.0,225141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,9765.291000000001,57309.0,180915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,5152.01,30240.0,137970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,9366.766,54978.0,159726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,10643.005,62454.0,207963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,10739.995,63042.0,208236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,10413.493,61110.0,186102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,10579.625,62097.0,238518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,7721.772,45318.0,168336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,9909.336000000001,58149.0,213570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,8719.0,59583.0,236586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,6524.0,48040.0,168798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,8070.0,56201.0,185115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,7842.0,56055.0,172662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,8702.0,62107.0,179634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,9056.0,64024.0,207564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,4958.0,37372.0,118314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
