measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2010-01-01,618.13,7016.0,7016.0
2010-02-01,533.932,6060.0,6060.0
2010-03-01,635.515,7213.0,7213.0
2010-04-01,612.448,6951.0,6951.0
2010-05-01,752.063,8536.0,8536.0
2010-06-01,710.547,8065.0,8065.0
2010-07-01,730.094,8287.0,8287.0
2010-08-01,727.9530000000001,8263.0,8263.0
2010-09-01,743.0450000000001,8434.0,8434.0
2010-10-01,710.6890000000001,8067.0,8067.0
2010-11-01,728.0120000000001,8263.0,8263.0
2010-12-01,704.572,7997.0,7997.0
2011-01-01,511.943,5976.0,5976.0
2011-02-01,478.434,5585.0,5585.0
2011-03-01,530.539,6193.0,6193.0
2011-04-01,570.598,6661.0,6661.0
2011-05-01,603.938,7050.0,7050.0
2011-06-01,636.696,7432.0,7432.0
2011-07-01,670.72,7830.0,7830.0
2011-08-01,606.815,7083.0,7083.0
2011-09-01,620.698,7246.0,7246.0
2011-10-01,657.065,7670.0,7670.0
2011-11-01,616.46,7196.0,7196.0
2011-12-01,648.094,7565.0,7565.0
2012-01-01,510.529,6055.0,6055.0
2012-02-01,442.572,5248.0,5248.0
2012-03-01,451.152,5350.0,5350.0
2012-04-01,512.676,6079.0,6079.0
2012-05-01,531.878,6307.0,6307.0
2012-06-01,553.603,6564.0,6564.0
2012-07-01,578.923,6865.0,6865.0
2012-08-01,492.985,5846.0,5846.0
2012-09-01,565.084,6701.0,6701.0
2012-10-01,539.114,6393.0,6393.0
2012-11-01,524.745,6222.0,6222.0
2012-12-01,524.739,6222.0,6222.0
2013-01-01,524.223,6382.0,6382.0
2013-02-01,347.184,4226.0,4226.0
2013-03-01,511.737,6229.0,6229.0
2013-04-01,521.629,6350.0,6350.0
2013-05-01,582.292,7088.0,7088.0
2013-06-01,594.091,7232.0,7232.0
2013-07-01,586.07,7134.0,7134.0
2013-08-01,577.951,7035.0,7035.0
2013-09-01,549.451,6689.0,6689.0
2013-10-01,582.274,7088.0,7088.0
2013-11-01,556.324,6772.0,6772.0
2013-12-01,557.774,6790.0,6790.0
2014-01-01,442.887,5331.0,5331.0
2014-02-01,411.445,4953.0,4953.0
2014-03-01,484.644,5834.0,5834.0
2014-04-01,463.074,5575.0,5575.0
2014-05-01,571.493,6880.0,6880.0
2014-06-01,524.147,6310.0,6310.0
2014-07-01,567.581,6832.0,6832.0
2014-08-01,551.096,6634.0,6634.0
2014-09-01,543.735,6545.0,6545.0
2014-10-01,560.134,6743.0,6743.0
2014-11-01,538.872,6487.0,6487.0
2014-12-01,541.892,6523.0,6523.0
2015-01-01,507.296,5968.0,5968.0
2015-02-01,438.85,5162.0,5162.0
2015-03-01,528.994,6223.0,6223.0
2015-04-01,522.314,6144.0,6144.0
2015-05-01,593.726,6984.0,6984.0
2015-06-01,559.928,6586.0,6586.0
2015-07-01,608.276,7155.0,7155.0
2015-08-01,606.714,7137.0,7137.0
2015-09-01,579.173,6813.0,6813.0
2015-10-01,581.031,6835.0,6835.0
2015-11-01,578.734,6808.0,6808.0
2015-12-01,596.964,7022.0,7022.0
2016-01-01,483.632,5782.0,5782.0
2016-02-01,455.166,5442.0,5442.0
2016-03-01,509.034,6086.0,6086.0
2016-04-01,461.424,5516.0,5516.0
2016-05-01,575.807,6884.0,6884.0
2016-06-01,534.874,6394.0,6394.0
2016-07-01,570.118,6816.0,6816.0
2016-08-01,559.298,6687.0,6687.0
2016-09-01,529.894,6335.0,6335.0
2016-10-01,567.989,6790.0,6790.0
2016-11-01,546.058,6528.0,6528.0
2016-12-01,555.706,6644.0,6644.0
2017-01-01,424.244,5206.0,5206.0
2017-02-01,393.468,4827.0,4827.0
2017-03-01,409.194,5020.0,5020.0
2017-04-01,439.465,5392.0,5392.0
2017-05-01,478.388,5869.0,5869.0
2017-06-01,474.846,5826.0,5826.0
2017-07-01,500.148,6136.0,6136.0
2017-08-01,486.17,5965.0,5965.0
2017-09-01,450.85,5531.0,5531.0
2017-10-01,470.095,5768.0,5768.0
2017-11-01,473.743,5812.0,5812.0
2017-12-01,478.389,5869.0,5869.0
2018-01-01,340.523,4260.0,4260.0
2018-02-01,321.747,4025.0,4025.0
2018-03-01,369.315,4620.0,4620.0
2018-04-01,371.071,4642.0,4642.0
2018-05-01,374.193,4681.0,4681.0
2018-06-01,385.553,4823.0,4823.0
2018-07-01,402.787,5039.0,5039.0
2018-08-01,393.577,4923.0,4923.0
2018-09-01,369.16,4618.0,4618.0
2018-10-01,399.595,4999.0,4999.0
2018-11-01,381.135,4768.0,4768.0
2018-12-01,395.344,4945.0,4945.0
2019-01-01,444.862,5446.0,5446.0
2019-02-01,432.114,5290.0,5290.0
2019-03-01,404.46,4952.0,4952.0
2019-04-01,319.889,3916.0,3916.0
2019-05-01,451.528,5528.0,5528.0
2019-06-01,491.824,6021.0,6021.0
2019-07-01,502.795,6155.0,6155.0
2019-08-01,505.348,6186.0,6186.0
2019-09-01,465.908,5703.0,5703.0
2019-10-01,489.402,5991.0,5991.0
2019-11-01,502.204,6148.0,6148.0
2019-12-01,496.666,6080.0,6080.0
2020-01-01,462.403,5613.0,5613.0
2020-02-01,456.111,5536.0,5536.0
2020-03-01,468.844,5690.0,5690.0
2020-04-01,456.105,5536.0,5536.0
2020-05-01,488.247,5926.0,5926.0
2020-06-01,448.13,5439.0,5439.0
2020-07-01,457.539,5553.0,5553.0
2020-08-01,496.065,6021.0,6021.0
2020-09-01,437.401,5309.0,5309.0
2020-10-01,481.108,5839.0,5839.0
2020-11-01,463.947,5631.0,5631.0
2020-12-01,488.1,5924.0,5924.0
2021-01-01,313.778,3992.0,3992.0
2021-02-01,277.94,3537.0,3537.0
2021-03-01,302.386,3848.0,3848.0
2021-04-01,286.986,3652.0,3652.0
2021-05-01,320.359,4076.0,4076.0
2021-06-01,310.217,3947.0,3947.0
2021-07-01,318.859,4057.0,4057.0
2021-08-01,311.168,3959.0,3959.0
2021-09-01,312.011,3970.0,3970.0
2021-10-01,292.011,3716.0,3716.0
2021-11-01,267.006,3397.0,3397.0
2021-12-01,299.279,3808.0,3808.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
