measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2002-01-01,135.981,1286.0,1286.0,3859.6470000000004,36687.0,36687.0,21328.94,241116.0,241116.0
2002-02-01,112.805,1067.0,1067.0,3201.822,30434.0,30434.0,17693.711,200021.0,200021.0
2002-03-01,110.096,1041.0,1041.0,3124.9370000000004,29703.0,29703.0,17268.831,195218.0,195218.0
2002-04-01,137.65300000000002,1302.0,1302.0,3907.1090000000004,37138.0,37138.0,21591.221,244081.0,244081.0
2002-05-01,150.922,1427.0,1427.0,4283.743,40718.0,40718.0,23672.551,267610.0,267610.0
2002-06-01,180.65,1708.0,1708.0,5127.526,48738.0,48738.0,28335.416,320322.0,320322.0
2002-07-01,163.256,1544.0,1544.0,4633.821,44045.0,44045.0,25607.133,289480.0,289480.0
2002-08-01,123.86800000000001,1171.0,1171.0,3515.842,33419.0,33419.0,19429.029000000002,219638.0,219638.0
2002-09-01,94.465,893.0,893.0,2681.28,25486.0,25486.0,14817.123,167502.0,167502.0
2002-10-01,101.927,964.0,964.0,2893.059,27499.0,27499.0,15987.444,180732.0,180732.0
2002-11-01,112.28,1062.0,1062.0,3186.927,30292.0,30292.0,17611.399,199091.0,199091.0
2002-12-01,116.098,1098.0,1098.0,3295.286,31322.0,31322.0,18210.202,205860.0,205860.0
2003-01-01,27.284000000000002,301.0,301.0,4414.185,46696.0,46696.0,18541.413,324117.0,324117.0
2003-02-01,25.384,280.0,280.0,4106.79,43444.0,43444.0,17250.225,301546.0,301546.0
2003-03-01,29.52,326.0,326.0,4775.894,50522.0,50522.0,20060.741,350675.0,350675.0
2003-04-01,30.686,339.0,339.0,4964.601000000001,52518.0,52518.0,20853.386,364531.0,364531.0
2003-05-01,30.015,332.0,332.0,4855.9890000000005,51369.0,51369.0,20397.173,356557.0,356557.0
2003-06-01,30.498,337.0,337.0,4934.147,52196.0,52196.0,20725.47,362295.0,362295.0
2003-07-01,29.129,322.0,322.0,4712.685,49853.0,49853.0,19795.236,346034.0,346034.0
2003-08-01,27.74,306.0,306.0,4487.962,47476.0,47476.0,18851.305,329534.0,329534.0
2003-09-01,22.945,253.0,253.0,3712.193,39270.0,39270.0,15592.755000000001,272572.0,272572.0
2003-10-01,26.513,293.0,293.0,4289.416,45376.0,45376.0,18017.331,314955.0,314955.0
2003-11-01,27.96,309.0,309.0,4523.534000000001,47852.0,47852.0,19000.722999999998,332146.0,332146.0
2003-12-01,31.329,346.0,346.0,5068.603,53618.0,53618.0,21290.241,372168.0,372168.0
2004-01-01,95.239,1522.0,1522.0,1782.178,28938.0,28938.0,23161.661,365760.0,365760.0
2004-02-01,166.09300000000002,2654.0,2654.0,1276.482,20727.0,20727.0,20642.146,325973.0,325973.0
2004-03-01,97.539,1559.0,1559.0,2078.583,33751.0,33751.0,20576.927,324943.0,324943.0
2004-04-01,14.263,228.0,228.0,4036.1090000000004,65536.0,65536.0,17441.768,275434.0,275434.0
2004-05-01,204.43300000000002,3267.0,3267.0,2560.206,41571.0,41571.0,10910.996,172302.0,172302.0
2004-06-01,424.05,6776.0,6776.0,2791.243,45323.0,45323.0,16530.94,261050.0,261050.0
2004-07-01,137.72,2201.0,2201.0,1909.1580000000001,31000.0,31000.0,23240.856,367011.0,367011.0
2004-08-01,60.579,968.0,968.0,2216.788,35995.0,35995.0,21553.81,340370.0,340370.0
2004-09-01,61.192,978.0,978.0,2286.385,37125.0,37125.0,20914.143,330268.0,330268.0
2004-10-01,25.305,404.0,404.0,3689.213,59904.0,59904.0,22045.569,348135.0,348135.0
2004-11-01,76.682,1225.0,1225.0,2171.8230000000003,35265.0,35265.0,22371.001,353274.0,353274.0
2004-12-01,200.906,3210.0,3210.0,1891.832,30719.0,30719.0,26766.182,422681.0,422681.0
2005-01-01,51.765,814.7,814.7,1347.6960000000001,21209.04,21209.04,24329.331,378093.43,378093.43
2005-02-01,17.785,279.91,279.91,1078.166,16967.37,16967.37,25634.472999999998,398376.18,398376.18
2005-03-01,19.712,310.24,310.24,1496.155,23545.37,23545.37,29244.392,454476.64,454476.64
