measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2017-01-01,,,,6668.631,77299.0,87953.0,4.571,42.0,42.0
2017-02-01,,,,5334.936,61839.0,70362.0,7.445,69.0,69.0
2017-03-01,,,,5047.566,58508.0,66572.0,10.222,94.0,94.0
2017-04-01,,,,4586.348,53162.0,60489.0,10.779,99.0,99.0
2017-05-01,,,,4144.789,48044.0,54665.0,10.698,99.0,99.0
2017-06-01,,,,4858.089,56312.0,64073.0,12.85,118.0,118.0
2017-07-01,,,,6625.932,76804.0,87389.0,12.566,116.0,116.0
2017-08-01,,,,6607.412,76589.0,87145.0,12.461,115.0,115.0
2017-09-01,,,,4887.509,56653.0,64462.0,10.061,93.0,93.0
2017-10-01,,,,5803.93,67276.0,76548.0,8.886,82.0,82.0
2017-11-01,,,,6507.983,75437.0,85833.0,5.46,50.0,50.0
2017-12-01,,,,6572.875,76189.0,86689.0,4.001,37.0,37.0
2018-01-01,,,,4445.589,51592.0,59132.0,4.046,37.0,37.0
2018-02-01,,,,4359.345,50591.0,57985.0,6.556,60.0,60.0
2018-03-01,,,,5157.225,59851.0,68598.0,10.552,96.0,96.0
2018-04-01,,,,4359.677,50595.0,57989.0,11.621,106.0,106.0
2018-05-01,,,,4088.877,47453.0,54387.0,13.545,123.0,123.0
2018-06-01,,,,5554.964,64467.0,73888.0,13.704,125.0,125.0
2018-07-01,,,,6689.175,77630.0,88974.0,12.604,115.0,115.0
2018-08-01,,,,6993.749,81164.0,93025.0,10.362,94.0,94.0
2018-09-01,,,,5799.2,67301.0,77137.0,7.203,66.0,66.0
2018-10-01,,,,5788.023,67172.0,76988.0,7.753,71.0,71.0
2018-11-01,,,,6125.882,71093.0,81482.0,5.645,51.0,51.0
2018-12-01,,,,6394.294,74208.0,85052.0,6.409,58.0,58.0
2019-01-01,,,,4597.798,53284.0,67190.0,4.613,41.0,41.0
2019-02-01,,,,4108.602,47614.0,60040.0,5.327,47.0,47.0
2019-03-01,,,,4144.276,48028.0,60561.0,7.489,67.0,67.0
2019-04-01,,,,4528.416,52480.0,66174.0,8.208,73.0,73.0
2019-05-01,,,,4316.382,50022.0,63076.0,8.288,74.0,74.0
2019-06-01,,,,4720.503,54706.0,68981.0,9.141,81.0,81.0
2019-07-01,,,,6327.576,73330.0,92466.0,10.945,97.0,97.0
2019-08-01,,,,5784.99,67042.0,84537.0,9.06,81.0,81.0
2019-09-01,,,,4658.638,53989.0,68078.0,8.542,76.0,76.0
2019-10-01,,,,3866.716,44811.0,56505.0,5.778,51.0,51.0
2019-11-01,,,,4868.727,56423.0,71147.0,4.666,42.0,42.0
2019-12-01,,,,6051.376,70129.0,88430.0,2.943,26.0,26.0
2020-01-01,,,,5091.44,59029.0,76101.0,6.368,56.0,56.0
2020-02-01,,,,4770.98,55314.0,71310.0,7.487,66.0,66.0
2020-03-01,,,,4323.878,50130.0,64627.0,10.677,94.0,94.0
2020-04-01,,,,4426.601,51321.0,66163.0,10.047,88.0,88.0
2020-05-01,,,,3924.627,45502.0,58660.0,14.09,124.0,124.0
2020-06-01,,,,5247.051,60834.0,78425.0,13.402,117.0,117.0
2020-07-01,,,,6307.392,73127.0,94274.0,13.299,117.0,117.0
2020-08-01,,,,5619.568,65153.0,83993.0,12.22,107.0,107.0
