measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,189.1785,2225.5,2225.5,1263.0,13050.58,13050.58,,,,,,,12903.0,141873.0,141873.0
2001-02-01,4.0335,90.0,90.0,1142.0,11800.29,11800.29,,,,,,,8732.0,118125.0,118125.0
2001-03-01,4.4565,99.5,99.5,1041.0,10756.65,10756.65,,,,,,,8997.0,129506.0,129506.0
2001-04-01,3.6025,80.5,80.5,863.0,8917.38,8917.38,,,,,,,21296.0,271179.0,271179.0
2001-05-01,3.5420000000000003,79.0,79.0,1254.0,12957.58,12957.58,,,,,,,24431.0,322590.0,322590.0
2001-06-01,4.0875,91.5,91.5,1126.0,11634.96,11634.96,,,,,,,18376.0,262273.0,262273.0
2001-07-01,4.9555,111.0,111.0,1089.0,11252.64,11252.64,,,,,,,37884.0,547862.0,547862.0
2001-08-01,4.883500000000001,109.0,109.0,936.0,9671.69,9671.69,,,,,,,24991.0,333176.0,333176.0
2001-09-01,3.9925,89.5,89.5,801.0,8276.73,8276.73,,,,,,,6682.0,88048.0,88048.0
2001-10-01,4.0425,90.5,90.5,0.0,0.0,0.0,,,,,,,5831.0,81011.0,81011.0
2001-11-01,3.9465000000000003,88.5,88.5,1101.0,11376.63,11376.63,,,,,,,9205.0,131673.0,131673.0
2001-12-01,4.279,95.5,95.5,966.0,9981.68,9981.68,,,,,,,5722.0,90203.0,90203.0
2002-01-01,0.0,0.0,0.0,1203.0,12238.12,12238.12,12.089,239.0,239.0,,,,5208.0,66109.0,66109.0
2002-02-01,0.0,0.0,0.0,920.0,9359.16,9359.16,10.992,217.0,217.0,,,,2266.0,32567.0,32567.0
2002-03-01,0.0,0.0,0.0,1165.0,11851.55,11851.55,11.942,236.0,236.0,,,,13433.0,152324.0,152324.0
2002-04-01,0.0,0.0,0.0,902.0,9176.05,9176.05,9.706000000000001,192.0,192.0,,,,2567.0,35271.0,35271.0
2002-05-01,0.0,0.0,0.0,1227.0,12482.27,12482.27,11.27,223.0,223.0,,,,720.0,15237.0,15237.0
2002-06-01,0.0,0.0,0.0,986.0,10030.58,10030.58,11.979000000000001,237.0,237.0,,,,720.0,14162.0,14162.0
2002-07-01,0.0,0.0,0.0,723.0,7355.08,7355.08,13.554,268.0,268.0,,,,5176.0,73895.0,73895.0
2002-08-01,0.0,0.0,0.0,804.0,8179.09,8179.09,12.588000000000001,249.0,249.0,,,,12250.0,161852.0,161852.0
2002-09-01,0.0,0.0,0.0,897.0,9125.18,9125.18,11.228,222.0,222.0,,,,2506.0,43134.0,43134.0
2002-10-01,0.0,0.0,0.0,846.0,8606.36,8606.36,11.816,234.0,234.0,,,,721.0,19068.0,19068.0
