measured_on,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed
2012-01-01,2.011,39.0,39.0
2012-02-01,3.14,62.0,62.0
2012-03-01,1.561,34.0,34.0
2012-04-01,6.323,129.0,129.0
2012-05-01,6.218,123.0,123.0
2012-06-01,7.628,157.0,157.0
2012-07-01,3.418,67.0,67.0
2012-08-01,1.364,28.0,28.0
2012-09-01,1.962,39.0,39.0
2012-10-01,4.582,95.0,95.0
2012-11-01,3.619,73.0,73.0
2012-12-01,4.174,84.0,84.0
2013-01-01,0.0,56.0,56.0
2013-02-01,0.0,45.0,45.0
2013-03-01,0.0,84.0,84.0
2013-04-01,0.0,140.0,140.0
2013-05-01,0.0,73.0,73.0
2013-06-01,0.0,78.0,78.0
2013-07-01,0.0,67.0,67.0
2013-08-01,0.0,73.0,73.0
2013-09-01,0.0,56.0,56.0
2013-10-01,0.0,56.0,56.0
2013-11-01,0.0,62.0,62.0
2013-12-01,0.0,185.0,185.0
2014-01-01,20.68,454.0,454.0
2014-02-01,22.044,482.0,482.0
2014-03-01,17.842,392.0,392.0
2014-04-01,6.942,151.0,151.0
2014-05-01,28.222,622.0,622.0
2014-06-01,16.706,370.0,370.0
2014-07-01,3.784,84.0,84.0
2014-08-01,7.994,174.0,174.0
2014-09-01,7.666,168.0,168.0
2014-10-01,10.873,241.0,241.0
2014-11-01,22.902,504.0,504.0
2014-12-01,4.345,95.0,95.0
2015-01-01,0.0,101.0,101.0
2015-02-01,0.0,50.0,50.0
2015-03-01,0.0,123.0,123.0
2015-04-01,0.0,78.0,78.0
2015-05-01,0.0,218.0,218.0
2015-06-01,0.0,123.0,123.0
2015-07-01,0.0,185.0,185.0
2015-08-01,0.0,67.0,67.0
2015-09-01,0.0,84.0,84.0
2015-10-01,0.0,84.0,84.0
2015-11-01,0.0,73.0,73.0
2015-12-01,0.0,353.0,353.0
2016-01-01,7.553,146.0,146.0
2016-02-01,5.367,95.0,95.0
2016-03-01,2.97,50.0,50.0
2016-04-01,3.236,56.0,56.0
2016-05-01,7.048,123.0,123.0
2016-06-01,2.883,50.0,50.0
2016-07-01,2.617,45.0,45.0
2016-08-01,3.28,56.0,56.0
2016-09-01,4.243,73.0,73.0
2016-10-01,5.238,95.0,95.0
2016-11-01,2.608,45.0,45.0
2016-12-01,7.957,140.0,140.0
2017-01-01,7.669,95.0,95.0
2017-02-01,1.587,17.0,17.0
2017-03-01,3.458,39.0,39.0
2017-04-01,4.04,50.0,50.0
2017-05-01,7.322,90.0,90.0
2017-06-01,3.336,39.0,39.0
2017-07-01,2.789,34.0,34.0
2017-08-01,2.091,28.0,28.0
2017-09-01,2.299,28.0,28.0
2017-10-01,3.724,45.0,45.0
2017-11-01,6.146,73.0,73.0
2017-12-01,6.539,78.0,78.0
2018-01-01,18.325,342.0,342.0
2018-02-01,19.358,358.0,358.0
2018-03-01,29.723,549.0,549.0
2018-04-01,16.487,308.0,308.0
2018-05-01,15.65,291.0,291.0
2018-06-01,14.567,269.0,269.0
2018-07-01,7.958,146.0,146.0
2018-08-01,9.713,179.0,179.0
2018-09-01,20.512,381.0,381.0
2018-10-01,13.102,241.0,241.0
2018-11-01,12.261,230.0,230.0
2018-12-01,11.344,213.0,213.0
2019-01-01,28.327,526.0,526.0
2019-02-01,26.374,493.0,493.0
2019-03-01,38.12,711.0,711.0
2019-04-01,22.18,414.0,414.0
2019-05-01,39.079,728.0,728.0
2019-06-01,33.463,622.0,622.0
2019-07-01,19.977,370.0,370.0
2019-08-01,26.337,493.0,493.0
2019-09-01,30.237,566.0,566.0
2019-10-01,32.007,594.0,594.0
2019-11-01,28.006,521.0,521.0
2019-12-01,29.893,554.0,554.0
2020-01-01,3.53,67.0,67.0
2020-02-01,3.67,67.0,67.0
2020-03-01,3.136,56.0,56.0
2020-04-01,3.556,67.0,67.0
2020-05-01,4.099,73.0,73.0
2020-06-01,4.941,90.0,90.0
2020-07-01,2.521,45.0,45.0
2020-08-01,4.086,73.0,73.0
2020-09-01,3.13,56.0,56.0
2020-10-01,3.905,73.0,73.0
2020-11-01,5.245,95.0,95.0
2020-12-01,4.181,78.0,78.0
2021-01-01,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
