measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2024-01-01,-335.0,0.0,0.0
2024-02-01,-353.0,0.0,0.0
2024-03-01,-363.0,0.0,0.0
2024-04-01,-454.0,0.0,0.0
2024-05-01,-430.0,0.0,0.0
2024-06-01,-305.0,0.0,0.0
2024-07-01,-299.0,0.0,0.0
2024-08-01,-308.0,0.0,0.0
2024-09-01,-401.0,0.0,0.0
2024-10-01,-447.0,0.0,0.0
2024-11-01,-388.0,0.0,0.0
2024-12-01,-445.0,0.0,0.0
