measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2003-01-01,1647.61,31556.0,31556.0,,,
2003-02-01,1520.0310000000002,29112.0,29112.0,,,
2003-03-01,1391.537,26651.0,26651.0,,,
2003-04-01,1467.6370000000002,28109.0,28109.0,,,
2003-05-01,1460.018,27963.0,27963.0,,,
2003-06-01,1454.539,27858.0,27858.0,,,
2003-07-01,1600.005,30644.0,30644.0,,,
2003-08-01,1681.35,32202.0,32202.0,,,
2003-09-01,1504.2630000000001,28810.0,28810.0,,,
2003-10-01,1262.807,24186.0,24186.0,,,
2003-11-01,1113.729,21331.0,21331.0,,,
2003-12-01,1620.4740000000002,31036.0,31036.0,,,
2004-01-01,1267.0,27563.0,27563.0,,,
2004-02-01,1267.0,27563.0,27563.0,,,
2004-03-01,1267.0,27563.0,27563.0,,,
2004-04-01,1267.0,27563.0,27563.0,,,
2004-05-01,1267.0,27563.0,27563.0,,,
2004-06-01,1267.0,27563.0,27563.0,,,
2004-07-01,1267.0,27563.0,27563.0,,,
2004-08-01,1267.0,27563.0,27563.0,,,
2004-09-01,1267.0,27563.0,27563.0,,,
2004-10-01,1267.0,27563.0,27563.0,,,
2004-11-01,1267.0,27563.0,27563.0,,,
2004-12-01,1267.0,27563.0,27563.0,,,
2005-01-01,969.701,23067.2,23067.2,,,
2005-02-01,865.0490000000001,20577.76,20577.76,,,
2005-03-01,988.0060000000001,23502.64,23502.64,,,
2005-04-01,985.964,23454.06,23454.06,,,
2005-05-01,1083.924,25784.33,25784.33,,,
2005-06-01,1073.855,25544.82,25544.82,,,
2005-07-01,1111.92,26450.29,26450.29,,,
2005-08-01,1106.894,26330.75,26330.75,,,
2005-09-01,1042.6870000000001,24803.39,24803.39,,,
2005-10-01,1052.515,25037.18,25037.18,,,
2005-11-01,1060.0610000000001,25216.67,25216.67,,,
2005-12-01,1062.425,25272.91,25272.91,,,
2006-01-01,874.846,23317.0,23317.0,,,
2006-02-01,808.49,21548.0,21548.0,,,
2006-03-01,891.8190000000001,23769.0,23769.0,,,
2006-04-01,656.163,17488.0,17488.0,,,
2006-05-01,802.215,21381.0,21381.0,,,
2006-06-01,840.3520000000001,22397.0,22397.0,,,
2006-07-01,872.1460000000001,23245.0,23245.0,,,
2006-08-01,866.9010000000001,23105.0,23105.0,,,
2006-09-01,829.212,22100.0,22100.0,,,
2006-10-01,860.451,22933.0,22933.0,,,
2006-11-01,869.0440000000001,23162.0,23162.0,,,
2006-12-01,837.361,22318.0,22318.0,,,
2007-01-01,688.8280000000001,21202.0,21202.0,,,
2007-02-01,568.5360000000001,17500.0,17500.0,,,
2007-03-01,720.505,22178.0,22178.0,,,
2007-04-01,625.6370000000001,19258.0,19258.0,,,
2007-05-01,684.385,21066.0,21066.0,,,
2007-06-01,654.807,20156.0,20156.0,,,
2007-07-01,610.69,18798.0,18798.0,,,
2007-08-01,636.447,19590.0,19590.0,,,
2007-09-01,655.166,20166.0,20166.0,,,
2007-10-01,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,,,
2008-01-01,831.9970000000001,10226.0,10226.0,,,
2008-02-01,782.61,9619.0,9619.0,,,
2008-03-01,896.635,11020.0,11020.0,,,
2008-04-01,944.611,11610.0,11610.0,,,
2008-05-01,959.3760000000001,11792.0,11792.0,0.0,0.0,0.0
2008-06-01,956.8340000000001,11761.0,11761.0,0.0,0.0,0.0
2008-07-01,951.2180000000001,11691.0,11691.0,0.0,0.0,0.0
2008-08-01,888.37,10919.0,10919.0,0.0,0.0,0.0
2008-09-01,866.1700000000001,10646.0,10646.0,0.0,0.0,0.0
2008-10-01,937.5790000000001,11524.0,11524.0,0.0,0.0,0.0
2008-11-01,908.23,11163.0,11163.0,0.0,0.0,0.0
2008-12-01,951.37,11693.0,11693.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,1272.4370000000001,15705.0,15705.0
2009-02-01,0.0,0.0,0.0,1234.69,15240.0,15240.0
2009-03-01,0.0,0.0,0.0,1261.795,15574.0,15574.0
2009-04-01,0.0,0.0,0.0,1362.192,16814.0,16814.0
2009-05-01,0.0,0.0,0.0,1441.8590000000002,17797.0,17797.0
2009-06-01,0.0,0.0,0.0,1326.719,16376.0,16376.0
2009-07-01,0.0,0.0,0.0,1367.97,16885.0,16885.0
2009-08-01,0.0,0.0,0.0,1365.3970000000002,16853.0,16853.0
2009-09-01,0.0,0.0,0.0,1316.8780000000002,16255.0,16255.0
2009-10-01,0.0,0.0,0.0,1315.69,16240.0,16240.0
2009-11-01,0.0,0.0,0.0,1333.3,16457.0,16457.0
2009-12-01,0.0,0.0,0.0,1326.073,16368.0,16368.0
2010-01-01,0.0,0.0,0.0,1095.925,13538.0,13538.0
2010-02-01,0.0,0.0,0.0,1093.5140000000001,13509.0,13509.0
2010-03-01,0.0,0.0,0.0,1232.2340000000002,15222.0,15222.0
2010-04-01,0.0,0.0,0.0,1277.251,15778.0,15778.0
2010-05-01,0.0,0.0,0.0,1308.151,16160.0,16160.0
2010-06-01,0.0,0.0,0.0,1243.768,15365.0,15365.0
2010-07-01,0.0,0.0,0.0,1197.923,14798.0,14798.0
2010-08-01,0.0,0.0,0.0,1255.473,15509.0,15509.0
2010-09-01,0.0,0.0,0.0,1144.337,14136.0,14136.0
2010-10-01,0.0,0.0,0.0,1157.088,14294.0,14294.0
2010-11-01,0.0,0.0,0.0,1178.106,14554.0,14554.0
2010-12-01,0.0,0.0,0.0,1226.23,15148.0,15148.0
2011-01-01,0.0,0.0,0.0,936.162,11500.0,11500.0
2011-02-01,0.0,0.0,0.0,731.351,8985.0,8985.0
2011-03-01,0.0,0.0,0.0,996.293,12239.0,12239.0
2011-04-01,0.0,0.0,0.0,1144.532,14060.0,14060.0
2011-05-01,0.0,0.0,0.0,1173.716,14419.0,14419.0
2011-06-01,0.0,0.0,0.0,1117.489,13728.0,13728.0
2011-07-01,0.0,0.0,0.0,1130.999,13894.0,13894.0
2011-08-01,0.0,0.0,0.0,1143.852,14052.0,14052.0
2011-09-01,0.0,0.0,0.0,1035.266,12718.0,12718.0
2011-10-01,0.0,0.0,0.0,1153.02,14164.0,14164.0
2011-11-01,0.0,0.0,0.0,1121.395,13776.0,13776.0
2011-12-01,0.0,0.0,0.0,1190.925,14630.0,14630.0
2012-01-01,0.0,0.0,0.0,997.05,12650.0,12650.0
2012-02-01,0.0,0.0,0.0,935.624,11872.0,11872.0
2012-03-01,0.0,0.0,0.0,1103.365,14000.0,14000.0
2012-04-01,0.0,0.0,0.0,1032.056,13096.0,13096.0
2012-05-01,0.0,0.0,0.0,1086.223,13783.0,13783.0
2012-06-01,0.0,0.0,0.0,1074.061,13628.0,13628.0
2012-07-01,0.0,0.0,0.0,1109.387,14077.0,14077.0
2012-08-01,0.0,0.0,0.0,1053.418,13367.0,13367.0
