measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2003-01-01,4658.0,47702.58,47702.58,,,,,,
2003-02-01,4891.0,50088.73,50088.73,,,,,,
2003-03-01,5165.0,52894.77,52894.77,,,,,,
2003-04-01,5136.0,52597.78,52597.78,,,,,,
2003-05-01,4601.0,47118.84,47118.84,,,,,,
2003-06-01,3482.0,35659.16,35659.16,,,,,,
2003-07-01,2582.0,26442.26,26442.26,,,,,,
2003-08-01,3808.0,38997.73,38997.73,,,,,,
2003-09-01,4300.0,44036.3,44036.3,,,,,,
2003-10-01,5793.0,59326.11,59326.11,,,,,,
2003-11-01,7684.0,78691.84,78691.84,,,,,,
2003-12-01,7277.0,74523.76,74523.76,,,,,,
2004-01-01,,,,5762.55,57752.28,57752.28,,,
2004-02-01,,,,5439.307000000001,54512.73,54512.73,,,
2004-03-01,,,,5757.485000000001,57701.51,57701.51,,,
2004-04-01,,,,5387.984,53998.38,53998.38,,,
2004-05-01,,,,5328.108,53398.3,53398.3,,,
2004-06-01,,,,5146.678,51580.01,51580.01,,,
2004-07-01,,,,5411.057000000001,54229.61,54229.61,,,
2004-08-01,,,,5398.677000000001,54105.54,54105.54,,,
2004-09-01,,,,5379.318,53911.52,53911.52,,,
2004-10-01,,,,5422.762000000001,54346.92,54346.92,,,
2004-11-01,,,,5070.594,50817.49,50817.49,,,
2004-12-01,,,,5713.479,57260.49,57260.49,,,
2005-01-01,,,,5120.662,51201.5,51201.5,,,
2005-02-01,,,,4323.749,43233.17,43233.17,,,
2005-03-01,,,,4894.87,48943.81,48943.81,,,
2005-04-01,,,,4897.531,48970.41,48970.41,,,
2005-05-01,,,,5200.69,52001.7,52001.7,,,
2005-06-01,,,,5135.658,51351.44,51351.44,,,
2005-07-01,,,,5252.944,52524.19,52524.19,,,
2005-08-01,,,,5188.514,51879.95,51879.95,,,
2005-09-01,,,,5077.274,50767.66,50767.66,,,
2005-10-01,,,,5200.3910000000005,51998.71,51998.71,,,
2005-11-01,,,,5047.759,50472.54,50472.54,,,
2005-12-01,,,,5188.9580000000005,51884.39,51884.39,,,
2006-01-01,,,,4198.328,41643.22,41643.22,,,
2006-02-01,,,,3805.308,37744.85,37744.85,,,
2006-03-01,,,,4301.3,42664.59,42664.59,,,
2006-04-01,,,,3848.349,38171.77,38171.77,,,
2006-05-01,,,,3743.34,37130.19,37130.19,,,
2006-06-01,,,,4063.1650000000004,40302.53,40302.53,,,
2006-07-01,,,,4268.727,42341.5,42341.5,,,
2006-08-01,,,,4358.799,43234.93,43234.93,,,
2006-09-01,,,,4125.052000000001,40916.39,40916.39,,,
2006-10-01,,,,4299.187,42643.64,42643.64,,,
2006-11-01,,,,4163.95,41302.22,41302.22,,,
2006-12-01,,,,4344.495,43093.05,43093.05,,,
2007-01-01,4868.523,48120.48,48120.48,,,,,,
2007-02-01,4000.087,39536.86,39536.86,,,,,,
2007-03-01,4453.289,44016.31,44016.31,,,,,,
2007-04-01,4145.845,40977.53,40977.53,,,,,,
2007-05-01,3513.079,34723.27,34723.27,,,,,,
2007-06-01,4070.04,40228.28,40228.28,,,,,,
2007-07-01,4022.3210000000004,39756.62,39756.62,,,,,,
2007-08-01,4113.599,40658.81,40658.81,,,,,,
2007-09-01,3973.757,39276.61,39276.61,,,,,,
2007-10-01,4078.427,40311.17,40311.17,,,,,,
2007-11-01,4041.24,39943.62,39943.62,,,,,,
2007-12-01,4244.794,41955.54,41955.54,,,,,,
2008-01-01,,,,1146.117,11293.84,11293.84,,,
2008-02-01,,,,919.159,9057.39,9057.39,,,
2008-03-01,,,,3349.5510000000004,33006.48,33006.48,,,
2008-04-01,,,,3660.846,36073.98,36073.98,,,
2008-05-01,,,,3591.37,35389.36,35389.36,,,
2008-06-01,,,,3353.355,33043.96,33043.96,,,
2008-07-01,,,,3315.897,32674.850000000002,32674.850000000002,,,
2008-08-01,,,,3312.978,32646.09,32646.09,,,
2008-09-01,,,,3190.344,31437.65,31437.65,,,
2008-10-01,,,,3530.429,34788.85,34788.85,,,
2008-11-01,,,,3496.5530000000003,34455.03,34455.03,,,
2008-12-01,,,,3683.4010000000003,36296.23,36296.23,,,
2009-01-01,,,,36.694,358.13,358.13,,,
2009-02-01,,,,33.541000000000004,327.36,327.36,,,
2009-03-01,,,,37.905,369.95,369.95,,,
2009-04-01,,,,34.82,339.84,339.84,,,
