measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2020-10-01,-20.455,0.0,0.0
2020-11-01,-16.733,0.0,0.0
2020-12-01,-15.812,0.0,0.0
2024-01-01,-38.0,0.0,0.0
2024-02-01,-47.0,0.0,0.0
2024-03-01,-47.0,0.0,0.0
2024-04-01,-49.0,0.0,0.0
2024-05-01,-45.0,0.0,0.0
2024-06-01,-48.0,0.0,0.0
2024-07-01,-49.0,0.0,0.0
2024-08-01,-46.0,0.0,0.0
2024-09-01,-44.0,0.0,0.0
2024-10-01,-38.0,0.0,0.0
2024-11-01,-38.0,0.0,0.0
2024-12-01,-39.0,0.0,0.0
