measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,570.0,6384.0,6384.0,,,,,,,1665.0,23549.0,23549.0,89.0,0.0,0.0,-19.0,0.0,0.0,-88.0,0.0,0.0,,,,,,,1615.0,21074.0,21074.0
2003-02-01,0.0,0.0,0.0,,,,,,,2165.0,29640.0,29640.0,-89.0,0.0,0.0,,,,189.0,3780.0,3780.0,,,,,,,0.0,0.0,0.0
2003-03-01,904.0,11576.0,11576.0,,,,-1.0,0.0,0.0,4848.0,63933.0,63933.0,905.0,0.0,0.0,-35.0,0.0,0.0,-63.0,0.0,0.0,,,,,,,2259.0,30443.0,30443.0
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2863.0,39375.0,39375.0,900.0,0.0,0.0,146.0,3503.0,3503.0,-84.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,15029.0,190947.0,190947.0,4127.0,0.0,0.0,,,,-62.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-06-01,6.0,69.0,69.0,,,,-7.0,0.0,0.0,17283.0,218928.0,218928.0,6086.0,0.0,0.0,-21.0,0.0,0.0,-45.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-07-01,1318.0,11368.0,11368.0,,,,-1.0,0.0,0.0,16616.0,210720.0,210720.0,5791.0,0.0,0.0,183.0,4633.0,4633.0,-4.0,0.0,0.0,,,,,,,,,
2003-08-01,6.0,75.0,75.0,,,,0.0,0.0,0.0,16343.0,205891.0,205891.0,2155.0,0.0,0.0,-12.0,0.0,0.0,1853.0,29260.0,29260.0,,,,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,,,,7667.0,97016.0,97016.0,-111.0,0.0,0.0,,,,3166.0,48535.0,48535.0,,,,,,,21.0,323.0,323.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21590.0,269649.0,269649.0,6612.0,0.0,0.0,93.0,2345.0,2345.0,1400.0,22172.0,22172.0,,,,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,-2.0,0.0,0.0,37063.0,462356.0,462356.0,16065.0,0.0,0.0,-34.0,0.0,0.0,-96.0,0.0,0.0,,,,,,,0.0,0.0,0.0
