measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,-135.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,-116.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,,,,-129.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,-134.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,-140.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,-134.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,,,,-134.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,,,,-137.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,,,,-120.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,,,,-114.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,,,,-105.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,-115.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,-133.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,-124.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,19101.0,190107.0,190107.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,20258.0,209584.0,209584.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,29796.0,296674.0,296674.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,25713.0,262874.0,262874.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,29648.0,310659.0,310659.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,7141.0,88932.0,88932.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,13046.0,160869.0,160869.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,20908.0,273911.96,273911.96,0.0,0.0,0.0,,,
2005-02-01,28716.0,333551.57,333551.57,0.0,0.0,0.0,,,
2005-03-01,22721.0,282694.24,282694.24,0.0,0.0,0.0,,,
2005-04-01,22352.0,253094.9,253094.9,0.0,0.0,0.0,,,
2005-05-01,20862.0,228415.44,228415.44,0.0,0.0,0.0,,,
2005-06-01,25266.0,262302.43,262302.43,0.0,0.0,0.0,,,
2005-07-01,35749.0,373137.41,373137.41,0.0,0.0,0.0,,,
2005-08-01,33558.0,344538.03,344538.03,0.0,0.0,0.0,,,
2005-09-01,19786.0,211942.81,211942.81,0.0,0.0,0.0,,,
2005-10-01,22986.0,245109.78,245109.78,0.0,0.0,0.0,,,
2005-11-01,12937.0,162460.94,162460.94,0.0,0.0,0.0,,,
2005-12-01,9975.0,111054.55,111054.55,0.0,0.0,0.0,,,
2006-01-01,6377.0,77247.0,77247.0,0.0,0.0,0.0,,,
2006-02-01,7188.0,84284.0,84284.0,0.0,0.0,0.0,,,
2006-03-01,4468.0,55538.0,55538.0,0.0,0.0,0.0,,,
2006-04-01,10331.0,116551.0,116551.0,0.0,0.0,0.0,,,
2006-05-01,10126.0,116665.0,116665.0,0.0,0.0,0.0,,,
2006-06-01,19053.0,210317.0,210317.0,0.0,0.0,0.0,,,
2006-07-01,9005.0,97098.0,97098.0,0.0,0.0,0.0,,,
2006-08-01,17520.0,181258.0,181258.0,0.0,0.0,0.0,,,
2006-09-01,11365.0,125636.0,125636.0,0.0,0.0,0.0,,,
2006-10-01,16063.0,175806.0,175806.0,0.0,0.0,0.0,,,
2006-11-01,3087.0,37810.0,37810.0,0.0,0.0,0.0,,,
2006-12-01,12598.0,151990.0,151990.0,0.0,0.0,0.0,,,
2007-01-01,9466.0,105015.0,105015.0,0.0,0.0,0.0,,,
2007-02-01,5641.0,66307.0,66307.0,0.0,0.0,0.0,,,
2007-03-01,11102.0,120051.0,120051.0,0.0,0.0,0.0,,,
2007-04-01,5124.0,57949.0,57949.0,0.0,0.0,0.0,,,
2007-05-01,10253.0,115026.0,115026.0,0.0,0.0,0.0,,,
2007-06-01,12249.0,132487.0,132487.0,0.0,0.0,0.0,,,
2007-07-01,9466.0,104317.0,104317.0,767.0,13503.0,13503.0,,,
2007-08-01,15290.0,164926.0,164926.0,55.0,4452.0,4452.0,,,
2007-09-01,10545.0,111286.0,111286.0,1848.0,28354.0,28354.0,,,
