measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-03-01,,,,317.137,2824.0,2824.0
2019-04-01,,,,368.852,3285.0,3285.0
2019-05-01,,,,384.035,3420.0,3420.0
2019-06-01,,,,464.275,4134.0,4134.0
2019-07-01,,,,458.181,4080.0,4080.0
2019-08-01,,,,448.734,3996.0,3996.0
2019-09-01,,,,366.97,3268.0,3268.0
2019-10-01,,,,337.185,3003.0,3003.0
2019-11-01,,,,215.641,1920.0,1920.0
2019-12-01,,,,138.99,1238.0,1238.0
2020-01-01,,,,210.809,1848.0,1848.0
2020-02-01,,,,285.763,2505.0,2505.0
2020-03-01,,,,279.637,2452.0,2452.0
2020-04-01,,,,352.421,3090.0,3090.0
2020-05-01,,,,461.231,4044.0,4044.0
2020-06-01,,,,459.294,4027.0,4027.0
2020-07-01,,,,518.78,4548.0,4548.0
2020-08-01,,,,429.795,3768.0,3768.0
2020-09-01,,,,337.474,2959.0,2959.0
2020-10-01,,,,311.936,2735.0,2735.0
2020-11-01,,,,246.608,2162.0,2162.0
2020-12-01,,,,195.252,1712.0,1712.0
2021-01-01,,,,151.969,1344.0,1344.0
2021-02-01,,,,199.075,1761.0,1761.0
2021-03-01,,,,257.04,2273.0,2273.0
2021-04-01,,,,321.747,2846.0,2846.0
2021-05-01,,,,350.698,3102.0,3102.0
2021-06-01,,,,340.665,3013.0,3013.0
2021-07-01,,,,326.293,2886.0,2886.0
2021-08-01,,,,320.942,2838.0,2838.0
2021-09-01,,,,276.735,2447.0,2447.0
2021-10-01,,,,230.333,2037.0,2037.0
2021-11-01,,,,183.274,1621.0,1621.0
2021-12-01,,,,125.229,1108.0,1108.0
2022-01-01,0.0,0.0,0.0,239.321,817.0,817.0
2022-02-01,0.0,0.0,0.0,285.462,974.0,974.0
2022-03-01,0.0,0.0,0.0,378.462,1291.0,1291.0
2022-04-01,0.0,0.0,0.0,426.918,1457.0,1457.0
2022-05-01,0.0,0.0,0.0,500.36,1707.0,1707.0
2022-06-01,0.0,0.0,0.0,521.0,1778.0,1778.0
2022-07-01,0.0,0.0,0.0,502.497,1715.0,1715.0
2022-08-01,0.0,0.0,0.0,466.565,1592.0,1592.0
2022-09-01,0.0,0.0,0.0,393.742,1343.0,1343.0
2022-10-01,0.0,0.0,0.0,362.751,1238.0,1238.0
2022-11-01,0.0,0.0,0.0,268.918,918.0,918.0
2022-12-01,0.0,0.0,0.0,188.004,641.0,641.0
2023-01-01,-2.0,0.0,0.0,142.0,485.0,485.0
2023-02-01,-3.0,0.0,0.0,292.0,996.0,996.0
2023-03-01,-3.0,0.0,0.0,388.0,1324.0,1324.0
2023-04-01,-3.0,0.0,0.0,441.0,1505.0,1505.0
2023-05-01,-4.0,0.0,0.0,402.0,1372.0,1372.0
2023-06-01,-3.0,0.0,0.0,498.0,1699.0,1699.0
2023-07-01,-3.0,0.0,0.0,458.0,1563.0,1563.0
2023-08-01,-3.0,0.0,0.0,427.0,1457.0,1457.0
2023-09-01,-3.0,0.0,0.0,362.0,1235.0,1235.0
2023-10-01,-3.0,0.0,0.0,299.0,1020.0,1020.0
2023-11-01,-3.0,0.0,0.0,233.0,795.0,795.0
2023-12-01,-3.0,0.0,0.0,159.0,543.0,543.0
2024-01-01,-3.0,0.0,0.0,189.0,645.0,645.0
2024-02-01,-3.0,0.0,0.0,282.0,962.0,962.0
2024-03-01,-3.0,0.0,0.0,419.0,1430.0,1430.0
2024-04-01,-4.0,0.0,0.0,481.0,1641.0,1641.0
2024-05-01,-4.0,0.0,0.0,490.0,1672.0,1672.0
2024-06-01,-3.0,0.0,0.0,550.0,1877.0,1877.0
2024-07-01,-3.0,0.0,0.0,498.0,1699.0,1699.0
2024-08-01,-4.0,0.0,0.0,455.0,1552.0,1552.0
2024-09-01,-4.0,0.0,0.0,309.0,1054.0,1054.0
2024-10-01,-4.0,0.0,0.0,248.0,846.0,846.0
2024-11-01,-3.0,0.0,0.0,214.0,730.0,730.0
2024-12-01,-4.0,0.0,0.0,173.0,590.0,590.0
