measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2022-01-01,6769.545,45938.0,45938.0
2022-02-01,5474.694,37152.0,37152.0
2022-03-01,7020.745,47645.0,47645.0
2022-04-01,5555.755,37703.0,37703.0
2022-05-01,5860.734,39772.0,39772.0
2022-06-01,7569.628,51369.0,51369.0
2022-07-01,8983.131,60961.0,60961.0
2022-08-01,9103.795,61781.0,61781.0
2022-09-01,8049.53,54626.0,54626.0
2022-10-01,6429.448,43631.0,43631.0
2022-11-01,7082.748,48065.0,48065.0
2022-12-01,5920.247,40176.0,40176.0
2023-01-01,6657.952,51955.0,51955.0
2023-02-01,5709.798,44555.0,44555.0
2023-03-01,7203.059,56208.0,56208.0
2023-04-01,6793.961,53016.0,53016.0
2023-05-01,5377.022,41959.0,41959.0
2023-06-01,8060.389,62898.0,62898.0
2023-07-01,8142.773,63540.0,63540.0
2023-08-01,7352.643,57374.0,57374.0
2023-09-01,6959.652,54309.0,54309.0
2023-10-01,6002.162,46836.0,46836.0
2023-11-01,7126.535,55611.0,55611.0
2023-12-01,6889.984,53765.0,53765.0
2024-01-01,6841.89,55414.0,55414.0
2024-02-01,6324.12,51555.0,51555.0
2024-03-01,6618.15,54077.0,54077.0
2024-04-01,6378.57,52269.0,52269.0
2024-05-01,6560.73,54119.0,54119.0
2024-06-01,6378.57,52268.0,52268.0
2024-07-01,6244.92,51346.0,51346.0
2024-08-01,6265.71,51951.0,51951.0
2024-09-01,6119.19,50418.0,50418.0
2024-10-01,6483.51,52962.0,52962.0
2024-11-01,6333.03,51345.0,51345.0
2024-12-01,6121.17,49686.0,49686.0
