measured_on,"Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2014-02-01,,,,6376.0,119224.0,119224.0
2014-03-01,164.908,2894.0,2894.0,10290.092,180571.0,180571.0
2014-04-01,223.087,3812.0,3812.0,1771.913,30274.0,30274.0
2014-05-01,285.299,4406.0,4406.0,13438.701,207559.0,207559.0
2014-06-01,190.34,2981.0,2981.0,3828.66,59965.0,59965.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,119.498,1984.0,1984.0,8381.502,139149.0,139149.0
2014-09-01,142.418,2555.0,2555.0,5528.582,99187.0,99187.0
2014-10-01,171.654,3198.0,3198.0,10696.346,199259.0,199259.0
2014-11-01,52.647,933.0,933.0,17044.353,302154.0,302154.0
2014-12-01,3.319,61.0,61.0,15710.681,289699.0,289699.0
2015-01-01,80.918,1301.0,1301.0,13677.082,219816.0,219816.0
2015-02-01,73.881,1250.0,1250.0,7829.119,132408.0,132408.0
2015-03-01,79.755,1403.0,1403.0,15735.245,276705.0,276705.0
2015-04-01,52.642,908.0,908.0,8382.358,144551.0,144551.0
2015-05-01,65.101,842.0,842.0,19794.899,255870.0,255870.0
2015-06-01,110.705,1448.0,1448.0,15905.295,208095.0,208095.0
2015-07-01,82.628,1307.0,1307.0,16671.372,263726.0,263726.0
2015-08-01,179.828,2366.0,2366.0,16435.172,216247.0,216247.0
2015-09-01,94.734,1079.0,1079.0,22118.266,251946.0,251946.0
2015-10-01,97.861,1267.0,1267.0,20785.139,269145.0,269145.0
2015-11-01,100.674,988.0,988.0,9894.326,97101.0,97101.0
2015-12-01,38.563,780.0,780.0,22486.437,454830.0,454830.0
2016-01-01,90.226,1599.0,1599.0,22439.774,397561.0,397561.0
2016-02-01,190.912,3545.0,3545.0,19860.088,368754.0,368754.0
2016-03-01,80.897,1706.0,1706.0,22737.103,479380.0,479380.0
2016-04-01,183.875,3541.0,3541.0,9712.125,187044.0,187044.0
2016-05-01,87.261,1735.0,1735.0,21988.739,437100.0,437100.0
2016-06-01,91.264,1730.0,1730.0,19418.736,368100.0,368100.0
2016-07-01,43.867,825.0,825.0,20480.133,385170.0,385170.0
2016-08-01,133.073,2500.0,2500.0,22000.927,413325.0,413325.0
2016-09-01,11.922,220.0,220.0,24929.078,460020.0,460020.0
2016-10-01,34.961,635.0,635.0,12533.039,227640.0,227640.0
2016-11-01,87.925,1600.0,1600.0,18554.075,337635.0,337635.0
2016-12-01,28.316,540.0,540.0,22577.684,430560.0,430560.0
2017-01-01,0.801,10.0,10.0,24688.199,314290.0,314290.0
2017-02-01,157.719,1958.0,1958.0,12482.281,154992.0,154992.0
2017-03-01,147.045,1698.0,1698.0,8876.955,102525.0,102525.0
2017-04-01,38.856,495.0,495.0,11472.144,146059.0,146059.0
2017-05-01,148.821,1688.0,1688.0,11405.179,129370.0,129370.0
2017-06-01,195.582,2387.0,2387.0,16263.418,198472.0,198472.0
2017-07-01,32.109,377.0,377.0,23067.891,271133.0,271133.0
2017-08-01,51.301,592.0,592.0,20804.699,239918.0,239918.0
2017-09-01,39.023,459.0,459.0,22392.977,263396.0,263396.0
2017-10-01,0.0,0.0,0.0,9469.0,104466.0,104466.0
2017-11-01,43.984,571.0,571.0,24807.016,322156.0,322156.0
2017-12-01,59.042,760.0,760.0,22344.958,287592.0,287592.0
2018-01-01,173.207,2366.0,2366.0,19685.793,268953.0,268953.0
2018-02-01,75.801,1040.0,1040.0,17200.199,236081.0,236081.0
2018-03-01,51.845,612.0,612.0,18520.155,218620.0,218620.0
2018-04-01,74.073,852.0,852.0,25348.927,291465.0,291465.0
2018-05-01,51.953,556.0,556.0,23433.047,250737.0,250737.0
2018-06-01,84.347,938.0,938.0,22104.653,245925.0,245925.0
2018-07-01,52.345,622.0,622.0,24555.655,291879.0,291879.0
2018-08-01,75.762,882.0,882.0,24367.238,283774.0,283774.0
2018-09-01,53.467,617.0,617.0,22965.533,265061.0,265061.0
2018-10-01,55.856,648.0,648.0,12771.144,148092.0,148092.0
2018-11-01,81.212,1015.0,1015.0,23359.788,291925.0,291925.0
2018-12-01,21.741,296.0,296.0,26559.259,361358.0,361358.0
2019-01-01,63.636,801.0,801.0,22797.364,286847.0,286847.0
2019-02-01,49.539,607.0,607.0,19836.461,243018.0,243018.0
2019-03-01,80.713,1005.0,1005.0,22108.287,275200.0,275200.0
2019-04-01,59.211,745.0,745.0,14266.789,179409.0,179409.0
2019-05-01,154.74,1872.0,1872.0,23207.26,280710.0,280710.0
2019-06-01,63.845,745.0,745.0,23557.155,274740.0,274740.0
2019-07-01,57.307,638.0,638.0,21921.693,243864.0,243864.0
2019-08-01,54.083,576.0,576.0,26093.917,278052.0,278052.0
2019-09-01,3.714,41.0,41.0,26853.286,294989.0,294989.0
2019-10-01,0.454,5.0,5.0,15887.546,178342.0,178342.0
2019-11-01,174.864,1943.0,1943.0,23975.136,266414.0,266414.0
2019-12-01,6.411,82.0,82.0,27914.589,355304.0,355304.0
2020-01-01,16.842,209.0,209.0,27712.158,344052.0,344052.0
2020-02-01,58.748,673.0,673.0,21302.252,244104.0,244104.0
2020-03-01,0.0,0.0,0.0,27929.0,314585.0,314585.0
2020-04-01,0.0,0.0,0.0,26986.0,345184.0,345184.0
2020-05-01,108.571,1346.0,1346.0,17024.429,211122.0,211122.0
2020-06-01,71.308,806.0,806.0,24136.692,272752.0,272752.0
2020-07-01,101.254,1163.0,1163.0,24229.746,278254.0,278254.0
2020-08-01,51.384,566.0,566.0,26092.616,287463.0,287463.0
2020-09-01,71.78,831.0,831.0,24188.22,280131.0,280131.0
2020-10-01,117.731,1382.0,1382.0,19254.269,226035.0,226035.0
2020-11-01,55.656,678.0,678.0,25686.344,313048.0,313048.0
2020-12-01,58.61,785.0,785.0,26981.39,361560.0,361560.0
2021-01-01,7.044,87.0,87.0,27925.956,343703.0,343703.0
