measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,20317.55,364457.5,364457.5,16623.45,298192.5,298192.5
2003-02-01,17592.85,325825.5,325825.5,14394.15,266584.5,266584.5
2003-03-01,17930.55,340180.5,340180.5,14670.45,278329.5,278329.5
2003-04-01,21276.75,380539.5,380539.5,17408.25,311350.5,311350.5
2003-05-01,18373.3341,353870.0,353870.0,15032.7279,289530.0,289530.0
2003-06-01,17377.89625,347330.5,347330.5,14218.27875,284179.5,284179.5
2003-07-01,19654.8,383097.0,383097.0,16081.2,313443.0,313443.0
2003-08-01,22426.8,395950.5,395950.5,18349.2,323959.5,323959.5
2003-09-01,19561.3,359667.0,359667.0,16004.7,294273.0,294273.0
2003-10-01,19936.4,365134.0,365134.0,16311.6,298746.0,298746.0
2003-11-01,18396.4,331716.0,331716.0,15051.6,271404.0,271404.0
2003-12-01,22284.35,395796.5,395796.5,18232.65,323833.5,323833.5
2004-01-01,20200.95,367012.25,367012.25,16528.05,300282.75,300282.75
2004-02-01,17122.6,322905.55,322905.55,14009.4,264195.45,264195.45
2004-03-01,18051.0,312100.25,312100.25,14769.0,255354.75,255354.75
2004-04-01,21859.75,381243.5,381243.5,17885.25,311926.5,311926.5
2004-05-01,20812.0,366989.7,366989.7,17028.0,300264.3,300264.3
2004-06-01,19489.8,350887.9,350887.9,15946.2,287090.1,287090.1
2004-07-01,19896.25,367767.4,367767.4,16278.75,300900.6,300900.6
2004-08-01,21371.9,402888.2,402888.2,17486.1,329635.8,329635.8
2004-09-01,18325.45,354187.9,354187.9,14993.55,289790.1,289790.1
2004-10-01,20221.85,380911.85,380911.85,16545.15,311655.15,311655.15
2004-11-01,20983.05,357637.5,357637.5,17167.95,292612.5,292612.5
2004-12-01,22761.2,374478.5,374478.5,18622.8,306391.5,306391.5
2005-01-01,21375.2,388309.38,388309.38,16794.8,305100.22,305100.22
2005-02-01,17850.56,311298.62,311298.62,14025.44,244591.78,244591.78
2005-03-01,22942.08,410592.0,410592.0,18025.92,322608.0,322608.0
2005-04-01,19527.76,353674.05,353674.05,15343.24,277886.75,277886.75
2005-05-01,21892.64,398000.51,398000.51,17201.36,312714.69,312714.69
2005-06-01,20774.88,404337.02,404337.02,16323.12,317693.38,317693.38
2005-07-01,20844.88,423486.34,423486.34,16378.12,332739.26,332739.26
2005-08-01,21797.44,425815.94,425815.94,17126.56,334569.66,334569.66
2005-09-01,19455.52,376160.51,376160.51,15286.48,295554.69,295554.69
2005-10-01,20283.2,406643.33,406643.33,15936.8,319505.47,319505.47
2005-11-01,20031.76,395373.89,395373.89,15739.24,310650.91,310650.91
2005-12-01,23233.28,430317.89,430317.89,18254.72,338106.91,338106.91
