measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,,,,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,64.0,1440.0,1440.0
2004-12-01,,,,17338.0,499338.0,499338.0
2005-01-01,88.873,2797.24,2797.24,16532.909,519742.13,519742.13
2005-02-01,20.457,643.87,643.87,15343.502,482350.93,482350.93
2005-03-01,17.554000000000002,552.51,552.51,16588.794,521498.97,521498.97
2005-04-01,17.564,552.83,552.83,14262.642,448372.15,448372.15
2005-05-01,17.709,557.39,557.39,15828.280999999999,497590.87,497590.87
2005-06-01,21.452,675.2,675.2,15323.996,481737.74,481737.74
2005-07-01,40.628,1278.75,1278.75,16971.404000000002,533527.04,533527.04
2005-08-01,35.985,1132.6,1132.6,17473.344,549306.41,549306.41
2005-09-01,20.023,630.21,630.21,16448.608,517091.99,517091.99
2005-10-01,28.072000000000003,883.56,883.56,15678.34,492877.19,492877.19
2005-11-01,18.903000000000002,594.95,594.95,15967.442,501965.64,501965.64
2005-12-01,51.779,1629.71,1629.71,17249.737,542276.93,542276.93
2006-01-01,37.0,1147.0,1147.0,21192.0,649602.0,649602.0
2006-02-01,38.0,1308.0,1308.0,19355.0,670230.0,670230.0
2006-03-01,45.0,1575.0,1575.0,18756.0,649764.0,649764.0
2006-04-01,12.0,403.0,403.0,11037.0,381852.0,381852.0
2006-05-01,8.0,149.0,149.0,6444.0,209052.0,209052.0
2006-06-01,0.0,0.0,0.0,22815.0,698130.0,698130.0
2006-07-01,4.0,118.0,118.0,26332.0,782172.0,782172.0
2006-08-01,12.0,335.0,335.0,24584.0,708372.0,708372.0
2006-09-01,3.0,74.0,74.0,23887.0,675126.0,675126.0
2006-10-01,0.0,0.0,0.0,24666.0,710388.0,710388.0
2006-11-01,34.0,986.0,986.0,15201.0,438768.0,438768.0
2006-12-01,25.0,354.0,354.0,22578.0,650952.0,650952.0
2007-01-01,0.201,6.0,6.0,25328.799,729468.0,729468.0
2007-02-01,0.0,0.0,0.0,22939.0,701928.0,701928.0
2007-03-01,0.0,0.0,0.0,24325.0,744336.0,744336.0
2007-04-01,0.0,0.0,0.0,17568.0,537606.0,537606.0
2007-05-01,24.378,748.0,748.0,8037.622,246690.0,246690.0
2007-06-01,0.0,0.0,0.0,24138.0,716886.0,716886.0
2007-07-01,0.0,0.0,0.0,24722.0,667494.0,667494.0
2007-08-01,0.0,0.0,0.0,24729.0,667674.0,667674.0
2007-09-01,0.0,0.0,0.0,23280.0,607608.0,607608.0
2007-10-01,30.381,795.0,795.0,14432.619,377478.0,377478.0
