measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wood Waste Liquids Generation,Wood Waste Liquids Quantity Consumed For Electricity,Wood Waste Liquids Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,,,,32999.0,510823.0,510823.0
2001-02-01,,,,,,,27004.0,441240.0,441240.0
2001-03-01,,,,,,,24109.0,364915.0,364915.0
2001-04-01,,,,,,,21121.0,307596.0,307596.0
2001-05-01,,,,,,,31304.0,403822.0,403822.0
2001-06-01,,,,,,,32002.0,459524.0,459524.0
2001-07-01,,,,,,,30890.0,407520.0,407520.0
2001-08-01,,,,,,,26668.0,383010.0,383010.0
2001-09-01,,,,,,,26225.0,290637.0,290637.0
2001-10-01,,,,,,,5364.0,77039.0,77039.0
2001-11-01,,,,,,,12807.0,178811.0,178811.0
2001-12-01,,,,,,,30044.0,431496.0,431496.0
2002-01-01,,,,,,,33787.0,507816.0,507816.0
2002-02-01,,,,,,,31252.0,469719.0,469719.0
2002-03-01,,,,,,,27206.0,408906.0,408906.0
2002-04-01,,,,,,,3023.0,51003.0,51003.0
2002-05-01,,,,,,,28947.0,390780.0,390780.0
2002-06-01,,,,,,,32976.0,430011.0,430011.0
2002-07-01,,,,,,,31457.0,419904.0,419904.0
2002-08-01,,,,,,,31048.0,393120.0,393120.0
2002-09-01,221.0,2978.0,2978.0,,,,28034.0,378612.0,378612.0
2002-10-01,84.0,1108.0,1108.0,,,,25254.0,332244.0,332244.0
2002-11-01,285.0,2564.0,2564.0,,,,28697.0,388062.0,388062.0
2002-12-01,113.0,1554.0,1554.0,,,,27622.0,380556.0,380556.0
2003-01-01,145.0,2060.0,2060.0,,,,31237.0,443853.0,443853.0
2003-02-01,198.0,2929.0,2929.0,,,,24896.0,367677.0,367677.0
2003-03-01,,,,,,,0.0,0.0,0.0
2003-04-01,,,,,,,2358.0,30546.0,30546.0
2003-05-01,,,,,,,27401.0,419238.0,419238.0
2003-06-01,,,,,,,19486.0,313866.0,313866.0
2003-07-01,,,,,,,27346.0,442773.0,442773.0
2003-08-01,,,,,,,32444.0,467199.0,467199.0
2003-09-01,,,,,,,31720.0,456768.0,456768.0
2003-10-01,3856.0,66851.0,66851.0,,,,18381.0,318645.0,318645.0
2003-11-01,2640.0,42143.0,42143.0,,,,23876.0,381078.0,381078.0
2003-12-01,6349.0,131869.0,131869.0,,,,14234.0,295668.0,295668.0
2004-01-01,9139.0,252039.0,252039.0,0.0,0.0,0.0,14969.0,412803.0,412803.0
2004-02-01,1718.0,32996.0,32996.0,0.0,0.0,0.0,25518.0,490248.0,490248.0
2004-03-01,1414.0,26721.0,26721.0,0.0,0.0,0.0,28546.0,539280.0,539280.0
2004-04-01,1515.0,32776.0,32776.0,0.0,0.0,0.0,6084.0,131571.0,131571.0
2004-05-01,3662.0,76972.0,76972.0,0.0,0.0,0.0,12318.0,258876.0,258876.0
2004-06-01,3239.0,78404.0,78404.0,0.0,0.0,0.0,6557.0,158706.0,158706.0
2004-07-01,3402.0,74646.0,74646.0,0.0,0.0,0.0,9600.0,210627.0,210627.0
2004-08-01,2724.0,53401.0,53401.0,0.0,0.0,0.0,12529.0,245664.0,245664.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,20006.0,306081.0,306081.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,10887.0,148869.0,148869.0
2004-11-01,3109.0,54265.0,54265.0,0.0,0.0,0.0,12367.0,215892.0,215892.0
2004-12-01,2206.0,34203.0,34203.0,0.0,0.0,0.0,19824.0,307314.0,307314.0
2005-01-01,390.0,5533.2,5533.2,,,,24253.0,343773.0,343773.0
2005-02-01,342.0,4843.0,4843.0,,,,22481.0,318375.0,318375.0
2005-03-01,533.0,6745.4,6745.4,,,,29166.0,369297.0,369297.0
2005-04-01,7380.0,4790.8,4790.8,,,,7723.0,210690.0,210690.0
2005-05-01,395.0,5968.2,5968.2,,,,23162.0,349821.0,349821.0
2005-06-01,444.0,5666.6,5666.6,,,,18396.0,234774.0,234774.0
2005-07-01,453.0,6861.4,6861.4,,,,22498.0,340830.0,340830.0
2005-08-01,577.0,8734.8,8734.8,,,,29973.0,453663.0,453663.0
2005-09-01,545.0,7023.8,7023.8,,,,23197.0,299151.0,299151.0
2005-10-01,199.0,2731.8,2731.8,,,,10915.0,149535.0,149535.0
2005-11-01,475.0,6890.4,6890.4,,,,21205.0,307791.0,307791.0
2005-12-01,487.0,7215.2,7215.2,,,,28462.0,422073.0,422073.0
2006-01-01,507.0,7900.0,7900.0,,,,26293.0,409671.0,409671.0
2006-02-01,329.0,6090.0,6090.0,,,,22519.0,416304.0,416304.0
2006-03-01,495.0,7975.0,7975.0,,,,18902.0,304425.0,304425.0
2006-04-01,153.0,2163.0,2163.0,,,,3945.0,55881.0,55881.0
2006-05-01,228.0,3376.0,3376.0,,,,7924.0,117387.0,117387.0
2006-06-01,104.0,1566.0,1566.0,,,,2281.0,34344.0,34344.0
2006-07-01,351.0,5145.0,5145.0,,,,21128.0,309303.0,309303.0
2006-08-01,520.0,7633.0,7633.0,,,,26644.0,391158.0,391158.0
2006-09-01,456.0,6734.0,6734.0,,,,18321.0,270387.0,270387.0
2006-10-01,510.0,7517.0,7517.0,,,,21157.0,312003.0,312003.0
2006-11-01,248.0,3660.0,3660.0,,,,10368.0,152865.0,152865.0
2006-12-01,441.0,6444.0,6444.0,,,,22222.0,324963.0,324963.0
2007-01-01,403.867,6078.0,6078.0,,,,30325.133,456408.0,456408.0
2007-02-01,580.947,8288.0,8288.0,,,,25583.053,364986.0,364986.0
2007-03-01,434.92,6154.0,6154.0,,,,28040.08,396747.0,396747.0
2007-04-01,317.345,5522.0,5522.0,,,,19123.655,332739.0,332739.0
