measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2013-01-01,,,,,,,630.408,5870.0,5870.0,,,,,,,55.642,531.0,531.0
2013-02-01,,,,,,,580.707,5407.0,5407.0,,,,,,,114.004,1088.0,1088.0
2013-03-01,,,,,,,560.055,5215.0,5215.0,,,,,,,194.15,1852.0,1852.0
2013-04-01,,,,,,,481.931,4487.0,4487.0,,,,,,,204.702,1953.0,1953.0
2013-05-01,,,,,,,508.956,4739.0,4739.0,,,,,,,230.375,2198.0,2198.0
2013-06-01,,,,,,,602.131,5606.0,5606.0,,,,,,,293.588,2801.0,2801.0
2013-07-01,,,,,,,764.036,7114.0,7114.0,,,,,,,276.992,2643.0,2643.0
2013-08-01,,,,,,,779.212,7255.0,7255.0,,,,,,,372.776,3557.0,3557.0
2013-09-01,,,,,,,777.264,7237.0,7237.0,,,,,,,362.365,3457.0,3457.0
2013-10-01,,,,,,,674.416,6279.0,6279.0,,,,,,,320.81,3061.0,3061.0
2013-11-01,,,,,,,665.224,6194.0,6194.0,,,,,,,319.348,3047.0,3047.0
2013-12-01,,,,,,,774.66,7213.0,7213.0,,,,,,,333.248,3180.0,3180.0
2014-01-01,,,,,,,604.26,5112.0,5112.0,,,,,,,96.297,916.0,916.0
2014-02-01,,,,,,,564.273,4773.0,4773.0,,,,,,,109.827,1044.0,1044.0
2014-03-01,,,,,,,489.665,4142.0,4142.0,,,,,,,193.361,1839.0,1839.0
2014-04-01,,,,,,,465.605,3938.0,3938.0,,,,,,,228.822,2176.0,2176.0
2014-05-01,,,,,,,469.487,3971.0,3971.0,,,,,,,262.871,2500.0,2500.0
2014-06-01,,,,,,,462.832,3915.0,3915.0,,,,,,,291.547,2773.0,2773.0
2014-07-01,,,,,,,654.852,5539.0,5539.0,,,,,,,269.794,2566.0,2566.0
2014-08-01,,,,,,,675.971,5718.0,5718.0,,,,,,,291.928,2776.0,2776.0
2014-09-01,,,,,,,707.079,5981.0,5981.0,,,,,,,284.833,2709.0,2709.0
2014-10-01,,,,,,,697.526,5900.0,5900.0,,,,,,,257.213,2446.0,2446.0
2014-11-01,,,,,,,504.102,4264.0,4264.0,,,,,,,213.747,2033.0,2033.0
2014-12-01,,,,,,,548.348,4638.0,4638.0,,,,,,,145.76,1386.0,1386.0
2015-01-01,,,,,,,605.441,6293.0,6293.0,,,,,,,114.32,1065.0,1065.0
2015-02-01,,,,,,,448.311,4661.0,4661.0,,,,,,,144.081,1343.0,1343.0
2015-03-01,,,,,,,525.21,5459.0,5459.0,,,,,,,211.143,1968.0,1968.0
2015-04-01,,,,,,,504.001,5239.0,5239.0,,,,,,,236.976,2208.0,2208.0
2015-05-01,,,,,,,492.037,5115.0,5115.0,,,,,,,238.198,2220.0,2220.0
2015-06-01,,,,,,,,,,0.0,0.0,0.0,,,,245.423,2287.0,2287.0
2015-07-01,,,,,,,,,,0.0,0.0,0.0,,,,254.001,2367.0,2367.0
2015-08-01,,,,,,,,,,0.0,0.0,0.0,,,,257.087,2396.0,2396.0
2015-09-01,,,,,,,,,,0.0,0.0,0.0,,,,212.168,1977.0,1977.0
2015-10-01,,,,,,,,,,0.0,0.0,0.0,,,,178.735,1666.0,1666.0
2015-11-01,,,,,,,,,,0.0,0.0,0.0,,,,165.575,1543.0,1543.0
2015-12-01,,,,,,,,,,0.0,0.0,0.0,,,,136.293,1270.0,1270.0
2016-01-01,,,,,,,,,,0.0,0.0,0.0,,,,86.419,798.0,798.0
2016-02-01,,,,,,,,,,0.0,0.0,0.0,,,,144.245,1332.0,1332.0
2016-03-01,,,,,,,,,,0.0,0.0,0.0,,,,159.217,1470.0,1470.0
2016-04-01,,,,,,,,,,0.0,0.0,0.0,,,,185.478,1712.0,1712.0
2016-05-01,,,,605.239,3442.0,7569.0,,,,,,,,,,230.557,2129.0,2129.0
2016-06-01,,,,920.768,5236.0,11514.0,,,,,,,,,,221.131,2041.0,2041.0
2016-07-01,,,,1086.06,6176.0,13581.0,,,,,,,,,,258.146,2383.0,2383.0
2016-08-01,,,,1201.222,6831.0,15021.0,,,,,,,,,,254.572,2350.0,2350.0
2016-09-01,,,,994.425,5655.0,12435.0,,,,,,,,,,224.607,2074.0,2074.0
2016-10-01,,,,980.928,5578.0,12267.0,,,,,,,,,,189.342,1748.0,1748.0
2016-11-01,,,,754.25,4289.0,9432.0,,,,,,,,,,162.654,1502.0,1502.0
2016-12-01,,,,854.108,4857.0,10681.0,,,,,,,,,,118.632,1095.0,1095.0
2017-01-01,,,,709.408,4116.0,10591.0,,,,,,,,,,94.215,868.0,868.0
