measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2003-01-01,65.873,714.0,714.0,25.526,191.0,191.0,,,,,,
2003-02-01,55.147000000000006,598.0,598.0,21.369,160.0,160.0,,,,,,
2003-03-01,61.781000000000006,670.0,670.0,23.94,179.0,179.0,,,,,,
2003-04-01,54.297000000000004,589.0,589.0,21.04,158.0,158.0,,,,,,
2003-05-01,53.626000000000005,581.0,581.0,20.78,156.0,156.0,,,,,,
2003-06-01,60.342000000000006,654.0,654.0,23.383000000000003,175.0,175.0,,,,,,
2003-07-01,65.682,712.0,712.0,25.452,191.0,191.0,,,,,,
2003-08-01,68.226,740.0,740.0,26.438000000000002,198.0,198.0,,,,,,
2003-09-01,59.412000000000006,644.0,644.0,23.022000000000002,172.0,172.0,,,,,,
2003-10-01,62.875,682.0,682.0,24.364,183.0,183.0,,,,,,
2003-11-01,53.133,576.0,576.0,20.589000000000002,154.0,154.0,,,,,,
2003-12-01,59.608000000000004,646.0,646.0,23.098000000000003,173.0,173.0,,,,,,
2004-01-01,7.811,83.0,83.0,20.083000000000002,208.0,208.0,,,,,,
2004-02-01,3.918,41.0,41.0,20.083000000000002,208.0,208.0,,,,,,
2004-03-01,43.663000000000004,462.0,462.0,20.083000000000002,208.0,208.0,,,,,,
2004-04-01,61.989000000000004,655.0,655.0,20.083000000000002,208.0,208.0,,,,,,
2004-05-01,108.534,1147.0,1147.0,20.083000000000002,208.0,208.0,,,,,,
2004-06-01,34.785,368.0,368.0,20.083000000000002,208.0,208.0,,,,,,
2004-07-01,37.877,400.0,400.0,20.083000000000002,208.0,208.0,,,,,,
2004-08-01,109.07300000000001,1153.0,1153.0,20.083000000000002,208.0,208.0,,,,,,
2004-09-01,28.496000000000002,301.0,301.0,20.083000000000002,208.0,208.0,,,,,,
2004-10-01,41.847,442.0,442.0,20.083000000000002,208.0,208.0,,,,,,
2004-11-01,7.57,80.0,80.0,20.083000000000002,208.0,208.0,,,,,,
2004-12-01,4.436,47.0,47.0,20.083000000000002,208.0,208.0,,,,,,
2005-01-01,34.612,393.51,393.51,23.45,289.38,289.38,,,,,,
2005-02-01,11.892000000000001,135.2,135.2,18.76,231.5,231.5,,,,,,
2005-03-01,13.18,149.85,149.85,26.033,321.25,321.25,,,,,,
2005-04-01,15.965,181.51,181.51,24.712,304.95,304.95,,,,,,
2005-05-01,14.828000000000001,168.58,168.58,23.63,291.61,291.61,,,,,,
2005-06-01,19.245,218.79,218.79,44.608000000000004,550.47,550.47,,,,,,
2005-07-01,19.589000000000002,222.71,222.71,58.724000000000004,724.66,724.66,,,,,,
2005-08-01,23.012,261.63,261.63,58.336000000000006,719.88,719.88,,,,,,
2005-09-01,15.064,171.26,171.26,35.319,435.84,435.84,,,,,,
2005-10-01,16.729,190.19,190.19,25.043000000000003,309.04,309.04,,,,,,
2005-11-01,13.448,152.89,152.89,21.948,270.85,270.85,,,,,,
2005-12-01,28.436,323.29,323.29,27.437,338.58,338.58,,,,,,
2006-01-01,26.09,310.0,310.0,33.078,384.0,384.0,,,,,,
2006-02-01,13.652000000000001,162.0,162.0,37.391000000000005,434.0,434.0,,,,,,
2006-03-01,11.468,136.0,136.0,49.273,572.0,572.0,,,,,,
2006-04-01,21.968,261.0,261.0,40.775,473.0,473.0,,,,,,
2006-05-01,20.534000000000002,244.0,244.0,53.711000000000006,623.0,623.0,,,,,,
2006-06-01,18.664,222.0,222.0,69.186,803.0,803.0,,,,,,
2006-07-01,27.035,321.0,321.0,123.80600000000001,1437.0,1437.0,,,,,,
2006-08-01,26.224,312.0,312.0,110.012,1277.0,1277.0,,,,,,
2006-09-01,12.048,143.0,143.0,64.711,751.0,751.0,,,,,,
2006-10-01,12.726,151.0,151.0,70.095,813.0,813.0,,,,,,
2006-11-01,14.986,178.0,178.0,47.125,547.0,547.0,,,,,,
2006-12-01,16.604,197.0,197.0,47.837,555.0,555.0,,,,,,
2007-01-01,30.45,452.0,452.0,119.44300000000001,1779.0,1779.0,,,,,,
2007-02-01,67.63600000000001,1009.0,1009.0,151.15900000000002,2252.0,2252.0,,,,,,
2007-03-01,18.324,273.0,273.0,62.331,928.0,928.0,,,,,,
2007-04-01,17.76,267.0,267.0,57.671,859.0,859.0,,,,,,
2007-05-01,19.95,296.0,296.0,94.739,1411.0,1411.0,,,,,,
2007-06-01,56.661,841.0,841.0,82.881,1234.0,1234.0,,,,,,
2007-07-01,35.252,528.0,528.0,90.902,1353.0,1353.0,,,,,,
2007-08-01,27.413,406.0,406.0,108.74600000000001,1619.0,1619.0,,,,,,
2007-09-01,19.437,290.0,290.0,24.209,361.0,361.0,,,,,,
2007-10-01,31.71,470.0,470.0,77.5,1155.0,1155.0,,,,,,
2007-11-01,18.861,278.0,278.0,58.313,868.0,868.0,,,,,,
2007-12-01,23.397000000000002,348.0,348.0,125.257,1865.0,1865.0,,,,,,
2008-01-01,4.897,143.0,143.0,9.638,277.0,277.0,,,,,,
2008-02-01,4.412,125.0,125.0,7.957000000000001,229.0,229.0,,,,,,
2008-03-01,5.307,154.0,154.0,6.448,186.0,186.0,,,,,,
2008-04-01,3.3000000000000003,97.0,97.0,2.0060000000000002,58.0,58.0,,,,,,
2008-05-01,2.4130000000000003,68.0,68.0,1.074,31.0,31.0,,,,,,
2008-06-01,8.378,239.0,239.0,6.333,183.0,183.0,,,,,,
2008-07-01,2.428,68.0,68.0,9.426,272.0,272.0,,,,,,
2008-08-01,2.355,68.0,68.0,9.543000000000001,275.0,275.0,,,,,,
2008-09-01,4.977,143.0,143.0,2.7590000000000003,80.0,80.0,,,,,,
2008-10-01,2.374,68.0,68.0,5.562,160.0,160.0,,,,,,
2008-11-01,1.518,46.0,46.0,6.578,190.0,190.0,,,,,,
2008-12-01,2.725,80.0,80.0,10.592,305.0,305.0,,,,,,
2009-01-01,2.666,35.0,35.0,10.48,141.0,141.0,,,,,,
2009-02-01,3.24,41.0,41.0,5.473,74.0,74.0,,,,,,
2009-03-01,3.629,47.0,47.0,6.985,94.0,94.0,,,,,,
2009-04-01,3.311,47.0,47.0,4.5520000000000005,62.0,62.0,,,,,,
2009-05-01,8.862,122.0,122.0,3.59,48.0,48.0,,,,,,
2009-06-01,3.4240000000000004,47.0,47.0,7.223000000000001,98.0,98.0,,,,,,
2009-07-01,4.507000000000001,58.0,58.0,10.644,144.0,144.0,,,,,,
2009-08-01,6.293,87.0,87.0,10.985,148.0,148.0,,,,,,
2009-09-01,3.008,41.0,41.0,5.332,72.0,72.0,,,,,,
2009-10-01,5.482,76.0,76.0,1.845,25.0,25.0,,,,,,
2009-11-01,4.446000000000001,58.0,58.0,2.991,40.0,40.0,,,,,,
2009-12-01,5.15,70.0,70.0,3.882,52.0,52.0,,,,0.0,0.0,0.0
2010-01-01,6.9750000000000005,83.0,83.0,3.886,45.0,45.0,,,,374.267,3651.0,3651.0
2010-02-01,1.663,17.0,17.0,2.585,29.0,29.0,,,,329.199,3212.0,3212.0
2010-03-01,2.218,28.0,28.0,0.8320000000000001,9.0,9.0,,,,430.728,4202.0,4202.0
2010-04-01,3.8360000000000003,44.0,44.0,1.2730000000000001,14.0,14.0,,,,459.63,4484.0,4484.0
2010-05-01,7.45,83.0,83.0,3.068,34.0,34.0,,,,390.331,3808.0,3808.0
2010-06-01,4.939,55.0,55.0,7.277,82.0,82.0,,,,282.156,2753.0,2753.0
2010-07-01,3.1420000000000003,33.0,33.0,17.519000000000002,198.0,198.0,,,,230.607,2250.0,2250.0
2010-08-01,3.419,39.0,39.0,16.402,185.0,185.0,,,,303.214,2958.0,2958.0
2010-09-01,2.922,33.0,33.0,2.545,28.0,28.0,,,,378.32800000000003,3691.0,3691.0
2010-10-01,5.264,61.0,61.0,1.0390000000000001,12.0,12.0,,,,442.54,4317.0,4317.0
2010-11-01,5.534000000000001,61.0,61.0,2.061,23.0,23.0,,,,565.101,5513.0,5513.0
2010-12-01,2.3160000000000003,28.0,28.0,4.835,55.0,55.0,,,,464.899,4536.0,4536.0
2011-01-01,2.535,43.0,43.0,4.376,56.0,56.0,,,,339.825,3302.0,3302.0
2011-02-01,6.33,79.0,79.0,2.309,29.0,29.0,,,,415.746,4039.0,4039.0
2011-03-01,2.889,37.0,37.0,3.465,44.0,44.0,,,,367.032,3566.0,3566.0
2011-04-01,8.853,110.0,110.0,1.489,19.0,19.0,,,,447.716,4350.0,4350.0
2011-05-01,7.623,98.0,98.0,1.766,22.0,22.0,,,,474.553,4611.0,4611.0
2011-06-01,12.671,159.0,159.0,4.711,60.0,60.0,,,,357.919,3478.0,3478.0
2011-07-01,6.124,79.0,79.0,27.161,346.0,346.0,,,,204.356,1986.0,1986.0
2011-08-01,5.336,67.0,67.0,18.85,240.0,240.0,,,,175.091,1701.0,1701.0
2011-09-01,3.979,49.0,49.0,4.403,57.0,57.0,,,,241.026,2342.0,2342.0
2011-10-01,5.593,73.0,73.0,1.281,16.0,16.0,,,,462.719,4496.0,4496.0
2011-11-01,8.698,110.0,110.0,1.128,14.0,14.0,,,,528.937,5139.0,5139.0
