measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2004-01-01,0.0,0.0,0.0,,,,,,
2004-02-01,0.0,0.0,0.0,,,,,,
2004-03-01,0.0,0.0,0.0,,,,,,
2004-04-01,0.0,0.0,0.0,,,,,,
2004-05-01,0.0,0.0,0.0,,,,,,
2004-06-01,0.0,0.0,0.0,,,,,,
2004-07-01,0.0,0.0,0.0,,,,,,
2004-08-01,0.0,0.0,0.0,,,,,,
2004-09-01,0.0,0.0,0.0,,,,,,
2004-10-01,0.0,0.0,0.0,,,,,,
2004-11-01,0.0,0.0,0.0,,,,,,
2004-12-01,0.0,0.0,0.0,,,,,,
2007-02-01,0.0,0.0,0.0,,,,,,
2007-03-01,0.0,0.0,0.0,,,,,,
2007-04-01,12251.992,148008.0,148008.0,90.00800000000001,1087.0,1087.0,,,
2007-05-01,26853.35,312096.0,312096.0,37.65,438.0,438.0,,,
2007-06-01,38970.042,473475.0,473475.0,16.958000000000002,206.0,206.0,,,
2007-07-01,39815.051,482225.0,482225.0,18.949,230.0,230.0,,,
2007-08-01,42743.751000000004,517275.0,517275.0,7.2490000000000006,88.0,88.0,,,
2007-09-01,37150.956,449950.0,449950.0,20.044,243.0,243.0,,,
2007-10-01,41546.536,524475.0,524475.0,6.464,82.0,82.0,,,
2007-11-01,32039.98,414787.0,414787.0,16.02,207.0,207.0,,,
2007-12-01,37686.97,488904.0,488904.0,13.03,169.0,169.0,,,
2008-01-01,38636.995,499222.0,499222.0,14.005,181.0,181.0,,,
2008-02-01,28026.292,366143.0,366143.0,34.708,453.0,453.0,,,
2008-03-01,31090.0,414955.0,414955.0,0.0,0.0,0.0,,,
2008-04-01,28908.515,357259.0,357259.0,17.485,216.0,216.0,,,
2008-05-01,16969.261,232622.0,232622.0,29.739,408.0,408.0,,,
2008-06-01,27983.384,362291.0,362291.0,52.616,681.0,681.0,,,
2008-07-01,30814.796,407649.0,407649.0,45.204,598.0,598.0,,,
2008-08-01,5078.866,53206.0,53206.0,50.134,525.0,525.0,,,
2008-09-01,8859.691,107031.0,107031.0,38.309000000000005,463.0,463.0,,,
2008-10-01,2344.963,28510.0,28510.0,24.037000000000003,292.0,292.0,,,
2008-11-01,14505.524000000001,174526.0,174526.0,29.476000000000003,355.0,355.0,,,
2008-12-01,20499.104,247133.0,247133.0,23.896,288.0,288.0,,,
2009-01-01,38244.227,448574.0,448574.0,19.773,232.0,232.0,,,
2009-02-01,12100.501,161575.0,161575.0,15.499,207.0,207.0,,,
2009-03-01,7081.93,105688.0,105688.0,20.07,300.0,300.0,,,
2009-04-01,1553.9460000000001,21057.0,21057.0,10.054,136.0,136.0,,,
2009-05-01,916.0,12495.0,12495.0,0.0,0.0,0.0,,,
2009-06-01,9518.449,126317.0,126317.0,46.551,618.0,618.0,,,
2009-07-01,3548.5620000000004,48094.0,48094.0,9.438,128.0,128.0,,,
2009-08-01,9916.354000000001,120346.0,120346.0,16.646,202.0,202.0,,,
2009-09-01,950.226,11783.0,11783.0,16.774,208.0,208.0,,,
2009-10-01,915.221,11256.0,11256.0,7.779000000000001,96.0,96.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,18585.314,225780.0,225780.0,22.686,276.0,276.0,,,
2010-01-01,25974.389,304547.0,304547.0,15.611,183.0,183.0,,,
2010-02-01,25044.846,330365.0,330365.0,3.1540000000000004,42.0,42.0,,,
