measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,27919.0,285918.48,285918.48
2003-02-01,20338.0,208281.46,208281.46
2003-03-01,30864.0,316078.22,316078.22
2003-04-01,30006.0,307291.45,307291.45
2003-05-01,30599.0,313364.36,313364.36
2003-06-01,29944.0,306656.5,306656.5
2003-07-01,30052.0,307762.53,307762.53
2003-08-01,28798.0,294920.32,294920.32
2003-09-01,30083.0,308080.0,308080.0
2003-10-01,27612.0,282774.49,282774.49
2003-11-01,27651.0,283173.89,283173.89
2003-12-01,30893.0,316375.21,316375.21
2004-01-01,29341.0,294055.5,294055.5
2004-02-01,17790.0,178291.38,178291.38
2004-03-01,15937.0,159720.61,159720.61
2004-04-01,30169.0,302353.72,302353.72
2004-05-01,31104.0,311724.29,311724.29
2004-06-01,29756.0,298214.63,298214.63
2004-07-01,30477.0,305440.49,305440.49
2004-08-01,27814.0,278751.91,278751.91
2004-09-01,27533.0,275935.73,275935.73
2004-10-01,30548.0,306152.06,306152.06
2004-11-01,28521.0,285837.46,285837.46
2004-12-01,30863.0,309308.99,309308.99
2005-01-01,30382.0,303789.62,303789.62
2005-02-01,27512.0,275092.49,275092.49
2005-03-01,22416.0,224137.58,224137.58
2005-04-01,29491.0,294880.51,294880.51
2005-05-01,30303.0,302999.7,302999.7
2005-06-01,29835.0,298320.17,298320.17
2005-07-01,28941.0,289381.06,289381.06
2005-08-01,28444.0,284411.56,284411.56
2005-09-01,28135.0,281321.87,281321.87
2005-10-01,30909.0,309059.09,309059.09
2005-11-01,29998.0,299950.0,299950.0
2005-12-01,28556.0,285531.44,285531.44
2006-01-01,24666.0,244662.05,244662.05
2006-02-01,20975.0,208051.03,208051.03
2006-03-01,31191.0,309383.53,309383.53
2006-04-01,22909.0,227234.37,227234.37
2006-05-01,30088.0,298442.87,298442.87
2006-06-01,29730.0,294891.87,294891.87
2006-07-01,25044.0,248411.44,248411.44
2006-08-01,28725.0,284923.28,284923.28
2006-09-01,25216.0,250117.5,250117.5
2006-10-01,28108.0,278803.25,278803.25
2006-11-01,29041.0,288057.68,288057.68
2006-12-01,30231.0,299861.29,299861.29
2007-01-01,28977.0,286408.67,286408.67
2007-02-01,25777.0,254779.87,254779.87
2007-03-01,11479.0,113458.44,113458.44
2007-04-01,27243.0,269269.81,269269.81
2007-05-01,30619.0,302638.2,302638.2
2007-06-01,29306.0,289660.5,289660.5
2007-07-01,23647.0,233726.95,233726.95
2007-08-01,29518.0,291755.91,291755.91
2007-09-01,25470.0,251745.48,251745.48
2007-10-01,26221.0,259168.36,259168.36
2007-11-01,27568.0,272482.11,272482.11
2007-12-01,27485.0,271661.74,271661.74
2008-01-01,28138.883,277280.55,277280.55
2008-02-01,25452.74,250811.30000000002,250811.30000000002
2008-03-01,26764.974000000002,263742.05,263742.05
